"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0770011""","Manchester School District","Math",1913,"36.0%","56.2%"
"=""0780011""","Mansfield School District","ELA",490,"51.8%","70.7%"
"=""0780011""","Mansfield School District","Math",486,"54.3%","70.9%"
"=""0790011""","Marlborough School District","ELA",172,"52.3%","73.0%"
"=""0790011""","Marlborough School District","Math",172,"57.0%","79.2%"
"=""0800011""","Meriden School District","ELA",3066,"38.6%","58.5%"
"=""0800011""","Meriden School District","Math",3033,"43.2%","61.0%"
"=""0830011""","Middletown School District","ELA",1558,"31.3%","50.4%"
"=""0830011""","Middletown School District","Math",1550,"33.4%","52.8%"
"=""0840011""","Milford School District","ELA",1777,"41.4%","61.4%"
"=""0840011""","Milford School District","Math",1776,"55.6%","74.7%"
"=""0850011""","Monroe School District","ELA",1236,"43.9%","63.1%"
"=""0850011""","Monroe School District","Math",1228,"39.7%","58.3%"
"=""0860011""","Montville School District","ELA",756,"35.4%","55.3%"
"=""0860011""","Montville School District","Math",754,"37.1%","54.8%"
"=""0880011""","Naugatuck School District","ELA",1402,"38.6%","61.1%"
"=""0880011""","Naugatuck School District","Math",1401,"34.3%","54.4%"
"=""2800013""","New Beginnings Inc Family Academy District","ELA",81,"29.6%","51.9%"
"=""2800013""","New Beginnings Inc Family Academy District","Math",81,"37.0%","54.4%"
"=""0890011""","New Britain School District","ELA",3282,"28.9%","50.3%"
"=""0890011""","New Britain School District","Math",3234,"29.7%","50.2%"
"=""0900011""","New Canaan School District","ELA",1505,"59.8%","75.0%"
"=""0900011""","New Canaan School District","Math",1504,"70.5%","84.5%"
"=""0910011""","New Fairfield School District","ELA",738,"47.8%","65.2%"
"=""0910011""","New Fairfield School District","Math",736,"50.0%","67.0%"
"=""0920011""","New Hartford School District","ELA",169,"40.8%","61.6%"
"=""0920011""","New Hartford School District","Math",169,"42.0%","65.2%"
"=""0930011""","New Haven School District","ELA",6085,"31.6%","54.8%"
"=""0930011""","New Haven School District","Math",6039,"34.4%","54.6%"
"=""0950011""","New London School District","ELA",937,"30.9%","55.3%"
