district,district_code,fiscal_year,expenditure_category,amount,source_format,cpi_u,deflator,amount_real
Ledyard School District,0720011,2022,Purchased Services Other Than Transportation,1218371,current_long,292.626,1.1002508321201807,1340513.7065810966
Ledyard School District,0720011,2022,Special Education Tuition,2012029,current_long,292.626,1.1002508321201807,2213736.581499935
Ledyard School District,0720011,2022,Supplies,154871,current_long,292.626,1.1002508321201807,170396.9466212845
Ledyard School District,0720011,2022,Property Services,23702,current_long,292.626,1.1002508321201807,26078.145222912524
Ledyard School District,0720011,2022,Purchased Services For Transportation,814115,current_long,292.626,1.1002508321201807,895730.7061915209
Ledyard School District,0720011,2022,Equipment,18686,current_long,292.626,1.1002508321201807,20559.287048997696
Ledyard School District,0720011,2022,All Other Expenditures,900,current_long,292.626,1.1002508321201807,990.2257489081626
Ledyard School District,0720011,2022,Total,11163718,current_long,292.626,1.1002508321201807,12282890.019055039
Lisbon School District,0730011,2022,Teacher Salaries,846224,current_long,292.626,1.1002508321201807,931058.6601600678
Lisbon School District,0730011,2022,Instructional Aide Salaries,142205,current_long,292.626,1.1002508321201807,156461.1695816503
Lisbon School District,0730011,2022,Other Salaries,120346,current_long,292.626,1.1002508321201807,132410.78664233527
Lisbon School District,0730011,2022,Employee Benefits,284125,current_long,292.626,1.1002508321201807,312608.76767614635
Lisbon School District,0730011,2022,Purchased Services Other Than Transportation,319693,current_long,292.626,1.1002508321201807,351742.48927299696
Lisbon School District,0730011,2022,Special Education Tuition,1071732,current_long,292.626,1.1002508321201807,1179174.0248098255
Lisbon School District,0730011,2022,Supplies,12594,current_long,292.626,1.1002508321201807,13856.558979721556
Lisbon School District,0730011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Lisbon School District,0730011,2022,Purchased Services For Transportation,221909,current_long,292.626,1.1002508321201807,244155.56190495717
Lisbon School District,0730011,2022,Equipment,5242,current_long,292.626,1.1002508321201807,5767.5148619739875
Lisbon School District,0730011,2022,All Other Expenditures,369,current_long,292.626,1.1002508321201807,405.9925570523467
Lisbon School District,0730011,2022,Total,3024439,current_long,292.626,1.1002508321201807,3327641.526446727
Litchfield School District,0740011,2022,Teacher Salaries,771816,current_long,292.626,1.1002508321201807,849191.1962436694
Litchfield School District,0740011,2022,Instructional Aide Salaries,513122,current_long,292.626,1.1002508321201807,564562.9074791714
Litchfield School District,0740011,2022,Other Salaries,9880,current_long,292.626,1.1002508321201807,10870.478221347385
Litchfield School District,0740011,2022,Employee Benefits,472972,current_long,292.626,1.1002508321201807,520387.83656954614
Litchfield School District,0740011,2022,Purchased Services Other Than Transportation,14264,current_long,292.626,1.1002508321201807,15693.977869362257
Litchfield School District,0740011,2022,Special Education Tuition,541566,current_long,292.626,1.1002508321201807,595858.4421479978
Litchfield School District,0740011,2022,Supplies,10711,current_long,292.626,1.1002508321201807,11784.786662839255
Litchfield School District,0740011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Litchfield School District,0740011,2022,Purchased Services For Transportation,159614,current_long,292.626,1.1002508321201807,175615.43631803052
Litchfield School District,0740011,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
Litchfield School District,0740011,2022,All Other Expenditures,0,current_long,292.626,1.1002508321201807,0.0
Litchfield School District,0740011,2022,Total,2493945,current_long,292.626,1.1002508321201807,2743965.061511964
Madison School District,0760011,2022,Teacher Salaries,4835263,current_long,292.626,1.1002508321201807,5320002.139269921
Madison School District,0760011,2022,Instructional Aide Salaries,18308,current_long,292.626,1.1002508321201807,20143.392234456267
Madison School District,0760011,2022,Other Salaries,1745496,current_long,292.626,1.1002508321201807,1920483.426462447
Madison School District,0760011,2022,Employee Benefits,1917688,current_long,292.626,1.1002508321201807,2109937.817746885
Madison School District,0760011,2022,Purchased Services Other Than Transportation,913195,current_long,292.626,1.1002508321201807,1004743.5586379884
Madison School District,0760011,2022,Special Education Tuition,2792540,current_long,292.626,1.1002508321201807,3072494.4587288895
Madison School District,0760011,2022,Supplies,67288,current_long,292.626,1.1002508321201807,74033.67799170272
Madison School District,0760011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Madison School District,0760011,2022,Purchased Services For Transportation,1538535,current_long,292.626,1.1002508321201807,1692774.4139960222
Madison School District,0760011,2022,Equipment,24253,current_long,292.626,1.1002508321201807,26684.383431410744
Madison School District,0760011,2022,All Other Expenditures,0,current_long,292.626,1.1002508321201807,0.0
Madison School District,0760011,2022,Total,13852566,current_long,292.626,1.1002508321201807,15241297.268499723
Manchester School District,0770011,2022,Teacher Salaries,8111839,current_long,292.626,1.1002508321201807,8925057.609774934
Manchester School District,0770011,2022,Instructional Aide Salaries,3225673,current_long,292.626,1.1002508321201807,3549049.4023975995
Manchester School District,0770011,2022,Other Salaries,3970898,current_long,292.626,1.1002508321201807,4368983.828764361
Manchester School District,0770011,2022,Employee Benefits,2534172,current_long,292.626,1.1002508321201807,2788224.8517356627
Manchester School District,0770011,2022,Purchased Services Other Than Transportation,4069511,current_long,292.626,1.1002508321201807,4477482.864072229
Manchester School District,0770011,2022,Special Education Tuition,5502158,current_long,292.626,1.1002508321201807,6053753.917956709
Manchester School District,0770011,2022,Supplies,98189,current_long,292.626,1.1002508321201807,108032.52895504843
Manchester School District,0770011,2022,Property Services,46107,current_long,292.626,1.1002508321201807,50729.26511656517
Manchester School District,0770011,2022,Purchased Services For Transportation,2611646,current_long,292.626,1.1002508321201807,2873465.6847033417
Manchester School District,0770011,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
Manchester School District,0770011,2022,All Other Expenditures,5204,current_long,292.626,1.1002508321201807,5725.70533035342
Manchester School District,0770011,2022,Total,30175396,current_long,292.626,1.1002508321201807,33200504.55855597
Mansfield School District,0780011,2022,Teacher Salaries,1526617,current_long,292.626,1.1002508321201807,1679661.624578814
Mansfield School District,0780011,2022,Instructional Aide Salaries,929187,current_long,292.626,1.1002508321201807,1022338.7699452543
Mansfield School District,0780011,2022,Other Salaries,312744,current_long,292.626,1.1002508321201807,344096.8462405938
Mansfield School District,0780011,2022,Employee Benefits,511844,current_long,292.626,1.1002508321201807,563156.7869157217
Mansfield School District,0780011,2022,Purchased Services Other Than Transportation,380053,current_long,292.626,1.1002508321201807,418153.62949977105
Mansfield School District,0780011,2022,Special Education Tuition,364592,current_long,292.626,1.1002508321201807,401142.6513843609
Mansfield School District,0780011,2022,Supplies,41436,current_long,292.626,1.1002508321201807,45589.993479731806
Mansfield School District,0780011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Mansfield School District,0780011,2022,Purchased Services For Transportation,142465,current_long,292.626,1.1002508321201807,156747.23479800153
Mansfield School District,0780011,2022,Equipment,1502,current_long,292.626,1.1002508321201807,1652.5767498445114
Mansfield School District,0780011,2022,All Other Expenditures,2479,current_long,292.626,1.1002508321201807,2727.521812825928
Mansfield School District,0780011,2022,Total,4212919,current_long,292.626,1.1002508321201807,4635267.635404919
Marlborough School District,0790011,2022,Teacher Salaries,632026,current_long,292.626,1.1002508321201807,695387.1324215893
Marlborough School District,0790011,2022,Instructional Aide Salaries,367545,current_long,292.626,1.1002508321201807,404391.6920916118
Marlborough School District,0790011,2022,Other Salaries,201761,current_long,292.626,1.1002508321201807,221987.7081393998
Marlborough School District,0790011,2022,Employee Benefits,99491,current_long,292.626,1.1002508321201807,109465.05553846889
Marlborough School District,0790011,2022,Purchased Services Other Than Transportation,44872,current_long,292.626,1.1002508321201807,49370.45533889675
Marlborough School District,0790011,2022,Special Education Tuition,343506,current_long,292.626,1.1002508321201807,377942.7623382748
Marlborough School District,0790011,2022,Supplies,20340,current_long,292.626,1.1002508321201807,22379.101925324474
Marlborough School District,0790011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Marlborough School District,0790011,2022,Purchased Services For Transportation,125219,current_long,292.626,1.1002508321201807,137772.3089472569
Marlborough School District,0790011,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
Marlborough School District,0790011,2022,All Other Expenditures,1143,current_long,292.626,1.1002508321201807,1257.5867011133666
Marlborough School District,0790011,2022,Total,1835902,current_long,292.626,1.1002508321201807,2019952.703191104
Meriden School District,0800011,2022,Teacher Salaries,7434392,current_long,292.626,1.1002508321201807,8179695.984307614
Meriden School District,0800011,2022,Instructional Aide Salaries,2779307,current_long,292.626,1.1002508321201807,3057934.839467443
Meriden School District,0800011,2022,Other Salaries,6207261,current_long,292.626,1.1002508321201807,6829544.080437145
Meriden School District,0800011,2022,Employee Benefits,4572763,current_long,292.626,1.1002508321201807,5031186.295838374
Meriden School District,0800011,2022,Purchased Services Other Than Transportation,961646,current_long,292.626,1.1002508321201807,1058051.8117050433
Meriden School District,0800011,2022,Special Education Tuition,7979884,current_long,292.626,1.1002508321201807,8779874.011222515
Meriden School District,0800011,2022,Supplies,428008,current_long,292.626,1.1002508321201807,470916.1581540943
Meriden School District,0800011,2022,Property Services,106389,current_long,292.626,1.1002508321201807,117054.5857784339
Meriden School District,0800011,2022,Purchased Services For Transportation,3375044,current_long,292.626,1.1002508321201807,3713394.969442223
Meriden School District,0800011,2022,Equipment,10831,current_long,292.626,1.1002508321201807,11916.816762693677
Meriden School District,0800011,2022,All Other Expenditures,1503,current_long,292.626,1.1002508321201807,1653.6770006766317
Meriden School District,0800011,2022,Total,33857029,current_long,292.626,1.1002508321201807,37251224.33036709
Middletown School District,0830011,2022,Teacher Salaries,7170070,current_long,292.626,1.1002508321201807,7888875.483859944
Middletown School District,0830011,2022,Instructional Aide Salaries,4291500,current_long,292.626,1.1002508321201807,4721726.446043756
Middletown School District,0830011,2022,Other Salaries,1075716,current_long,292.626,1.1002508321201807,1183557.4241249922
Middletown School District,0830011,2022,Employee Benefits,3604322,current_long,292.626,1.1002508321201807,3965658.279729074
Middletown School District,0830011,2022,Purchased Services Other Than Transportation,994389,current_long,292.626,1.1002508321201807,1094077.3247011544
Middletown School District,0830011,2022,Special Education Tuition,5738528,current_long,292.626,1.1002508321201807,6313820.207144956
Middletown School District,0830011,2022,Supplies,160826,current_long,292.626,1.1002508321201807,176948.94032656017
Middletown School District,0830011,2022,Property Services,12817,current_long,292.626,1.1002508321201807,14101.914915284357
Middletown School District,0830011,2022,Purchased Services For Transportation,2250016,current_long,292.626,1.1002508321201807,2475581.9762837207
Middletown School District,0830011,2022,Equipment,5407,current_long,292.626,1.1002508321201807,5949.056249273817
Middletown School District,0830011,2022,All Other Expenditures,750,current_long,292.626,1.1002508321201807,825.1881240901355
Middletown School District,0830011,2022,Total,25304342,current_long,292.626,1.1002508321201807,27841123.34175364
Milford School District,0840011,2022,Teacher Salaries,10029717,current_long,292.626,1.1002508321201807,11035204.475179922
Milford School District,0840011,2022,Instructional Aide Salaries,3526400,current_long,292.626,1.1002508321201807,3879924.534388605
Milford School District,0840011,2022,Other Salaries,1706087,current_long,292.626,1.1002508321201807,1877123.6414194228
Milford School District,0840011,2022,Employee Benefits,4572743,current_long,292.626,1.1002508321201807,5031164.290821731
Milford School District,0840011,2022,Purchased Services Other Than Transportation,506922,current_long,292.626,1.1002508321201807,557741.3523200263
Milford School District,0840011,2022,Special Education Tuition,6169869,current_long,292.626,1.1002508321201807,6788403.501322507
Milford School District,0840011,2022,Supplies,218936,current_long,292.626,1.1002508321201807,240884.5161810639
Milford School District,0840011,2022,Property Services,2513,current_long,292.626,1.1002508321201807,2764.930341118014
Milford School District,0840011,2022,Purchased Services For Transportation,2645362,current_long,292.626,1.1002508321201807,2910561.7417591056
Milford School District,0840011,2022,Equipment,119482,current_long,292.626,1.1002508321201807,131460.16992338342
Milford School District,0840011,2022,All Other Expenditures,28029,current_long,292.626,1.1002508321201807,30838.930573496546
Milford School District,0840011,2022,Total,29526060,current_long,292.626,1.1002508321201807,32486072.084230382
Monroe School District,0850011,2022,Teacher Salaries,5003527,current_long,292.626,1.1002508321201807,5505134.745285791
Monroe School District,0850011,2022,Instructional Aide Salaries,228545,current_long,292.626,1.1002508321201807,251456.82642690671
Monroe School District,0850011,2022,Other Salaries,2292574,current_long,292.626,1.1002508321201807,2522406.451197091
Monroe School District,0850011,2022,Employee Benefits,1637396,current_long,292.626,1.1002508321201807,1801546.3115102553
Monroe School District,0850011,2022,Purchased Services Other Than Transportation,1387970,current_long,292.626,1.1002508321201807,1527115.1474578471
Monroe School District,0850011,2022,Special Education Tuition,1900797,current_long,292.626,1.1002508321201807,2091353.4809415431
Monroe School District,0850011,2022,Supplies,125890,current_long,292.626,1.1002508321201807,138510.57725560956
Monroe School District,0850011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Monroe School District,0850011,2022,Purchased Services For Transportation,958568,current_long,292.626,1.1002508321201807,1054665.2396437775
Monroe School District,0850011,2022,Equipment,190208,current_long,292.626,1.1002508321201807,209276.51027591532
Monroe School District,0850011,2022,All Other Expenditures,2119,current_long,292.626,1.1002508321201807,2331.431513262663
Monroe School District,0850011,2022,Total,13727593,current_long,292.626,1.1002508321201807,15103795.621257167
Montville School District,0860011,2022,Teacher Salaries,3867687,current_long,292.626,1.1002508321201807,4255425.8401304055
Montville School District,0860011,2022,Instructional Aide Salaries,1476020,current_long,292.626,1.1002508321201807,1623992.2332260292
Montville School District,0860011,2022,Other Salaries,1058135,current_long,292.626,1.1002508321201807,1164213.9142454874
Montville School District,0860011,2022,Employee Benefits,1277464,current_long,292.626,1.1002508321201807,1405530.8290035746
Montville School District,0860011,2022,Purchased Services Other Than Transportation,594991,current_long,292.626,1.1002508321201807,654639.3428540184
Montville School District,0860011,2022,Special Education Tuition,2400447,current_long,292.626,1.1002508321201807,2641093.8092103912
Montville School District,0860011,2022,Supplies,136337,current_long,292.626,1.1002508321201807,150004.89769876908
Montville School District,0860011,2022,Property Services,476285,current_long,292.626,1.1002508321201807,524032.9675763603
Montville School District,0860011,2022,Purchased Services For Transportation,267,current_long,292.626,1.1002508321201807,293.76697217608825
Montville School District,0860011,2022,Equipment,10446,current_long,292.626,1.1002508321201807,11493.220192327408
Montville School District,0860011,2022,All Other Expenditures,1231,current_long,292.626,1.1002508321201807,1354.4087743399425
Montville School District,0860011,2022,Total,11299310,current_long,292.626,1.1002508321201807,12432075.22988388
Naugatuck School District,0880011,2022,Teacher Salaries,6886646,current_long,292.626,1.1002508321201807,7577037.992017114
Naugatuck School District,0880011,2022,Instructional Aide Salaries,2325848,current_long,292.626,1.1002508321201807,2559016.1973850583
Naugatuck School District,0880011,2022,Other Salaries,1105340,current_long,292.626,1.1002508321201807,1216151.2547757206
Naugatuck School District,0880011,2022,Employee Benefits,3741423,current_long,292.626,1.1002508321201807,4116503.7690635826
Naugatuck School District,0880011,2022,Purchased Services Other Than Transportation,427468,current_long,292.626,1.1002508321201807,470322.0227047494
Naugatuck School District,0880011,2022,Special Education Tuition,2940226,current_long,292.626,1.1002508321201807,3234986.1031213906
Naugatuck School District,0880011,2022,Supplies,90738,current_long,292.626,1.1002508321201807,99834.56000492096
Naugatuck School District,0880011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
Naugatuck School District,0880011,2022,Purchased Services For Transportation,1310735,current_long,292.626,1.1002508321201807,1442137.274439045
Naugatuck School District,0880011,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
Naugatuck School District,0880011,2022,All Other Expenditures,750,current_long,292.626,1.1002508321201807,825.1881240901355
Naugatuck School District,0880011,2022,Total,18829173,current_long,292.626,1.1002508321201807,20716813.26138484
New Beginnings Inc Family Academy District,2800013,2022,Teacher Salaries,155992,current_long,292.626,1.1002508321201807,171630.32780409124
New Beginnings Inc Family Academy District,2800013,2022,Instructional Aide Salaries,64787,current_long,292.626,1.1002508321201807,71281.95066057015
New Beginnings Inc Family Academy District,2800013,2022,Other Salaries,38014,current_long,292.626,1.1002508321201807,41824.93513221655
New Beginnings Inc Family Academy District,2800013,2022,Employee Benefits,41457,current_long,292.626,1.1002508321201807,45613.098747206335
New Beginnings Inc Family Academy District,2800013,2022,Purchased Services Other Than Transportation,73587,current_long,292.626,1.1002508321201807,80964.15798322773
New Beginnings Inc Family Academy District,2800013,2022,Special Education Tuition,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,Supplies,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,Purchased Services For Transportation,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,All Other Expenditures,0,current_long,292.626,1.1002508321201807,0.0
New Beginnings Inc Family Academy District,2800013,2022,Total,373837,current_long,292.626,1.1002508321201807,411314.470327312
New Britain School District,0890011,2022,Teacher Salaries,18270838,current_long,292.626,1.1002508321201807,20102504.713033017
New Britain School District,0890011,2022,Instructional Aide Salaries,9553184,current_long,292.626,1.1002508321201807,10510898.645397196
New Britain School District,0890011,2022,Other Salaries,4242514,current_long,292.626,1.1002508321201807,4667829.558781517
New Britain School District,0890011,2022,Employee Benefits,4819113,current_long,292.626,1.1002508321201807,5302233.088331181
New Britain School District,0890011,2022,Purchased Services Other Than Transportation,5600934,current_long,292.626,1.1002508321201807,6162432.294150212
New Britain School District,0890011,2022,Special Education Tuition,10002056,current_long,292.626,1.1002508321201807,11004770.436912647
New Britain School District,0890011,2022,Supplies,203864,current_long,292.626,1.1002508321201807,224301.53563934853
New Britain School District,0890011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Britain School District,0890011,2022,Purchased Services For Transportation,5761708,current_long,292.626,1.1002508321201807,6339324.021433502
New Britain School District,0890011,2022,Equipment,58150,current_long,292.626,1.1002508321201807,63979.58588778851
New Britain School District,0890011,2022,All Other Expenditures,0,current_long,292.626,1.1002508321201807,0.0
New Britain School District,0890011,2022,Total,58512362,current_long,292.626,1.1002508321201807,64378274.97981724
New Canaan School District,0900011,2022,Teacher Salaries,7652057,current_long,292.626,1.1002508321201807,8419182.081681054
New Canaan School District,0900011,2022,Instructional Aide Salaries,2644859,current_long,292.626,1.1002508321201807,2910008.3155905493
New Canaan School District,0900011,2022,Other Salaries,2572412,current_long,292.626,1.1002508321201807,2830298.443555938
New Canaan School District,0900011,2022,Employee Benefits,2752911,current_long,292.626,1.1002508321201807,3028892.618502799
New Canaan School District,0900011,2022,Purchased Services Other Than Transportation,799684,current_long,292.626,1.1002508321201807,879852.9864331946
New Canaan School District,0900011,2022,Special Education Tuition,1778382,current_long,292.626,1.1002508321201807,1956666.2753275512
New Canaan School District,0900011,2022,Supplies,115987,current_long,292.626,1.1002508321201807,127614.7932651234
New Canaan School District,0900011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Canaan School District,0900011,2022,Purchased Services For Transportation,62983,current_long,292.626,1.1002508321201807,69297.09815942534
New Canaan School District,0900011,2022,Equipment,31404,current_long,292.626,1.1002508321201807,34552.277131902156
New Canaan School District,0900011,2022,All Other Expenditures,1437,current_long,292.626,1.1002508321201807,1581.0604457566997
New Canaan School District,0900011,2022,Total,18412116,current_long,292.626,1.1002508321201807,20257945.95009329
New Fairfield School District,0910011,2022,Teacher Salaries,4688463,current_long,292.626,1.1002508321201807,5158485.317114679
New Fairfield School District,0910011,2022,Instructional Aide Salaries,1437010,current_long,292.626,1.1002508321201807,1581071.448265021
New Fairfield School District,0910011,2022,Other Salaries,2788,current_long,292.626,1.1002508321201807,3067.4993199510636
New Fairfield School District,0910011,2022,Employee Benefits,1556325,current_long,292.626,1.1002508321201807,1712347.8762994402
New Fairfield School District,0910011,2022,Purchased Services Other Than Transportation,449497,current_long,292.626,1.1002508321201807,494559.44828552485
New Fairfield School District,0910011,2022,Special Education Tuition,1628662,current_long,292.626,1.1002508321201807,1791936.7207425178
New Fairfield School District,0910011,2022,Supplies,130024,current_long,292.626,1.1002508321201807,143059.01419559438
New Fairfield School District,0910011,2022,Property Services,19572,current_long,292.626,1.1002508321201807,21534.109286256178
New Fairfield School District,0910011,2022,Purchased Services For Transportation,1109143,current_long,292.626,1.1002508321201807,1220335.5086902736
New Fairfield School District,0910011,2022,Equipment,0,current_long,292.626,1.1002508321201807,0.0
New Fairfield School District,0910011,2022,All Other Expenditures,750,current_long,292.626,1.1002508321201807,825.1881240901355
New Fairfield School District,0910011,2022,Total,11022235,current_long,292.626,1.1002508321201807,12127223.23057418
New Hartford School District,0920011,2022,Teacher Salaries,947113,current_long,292.626,1.1002508321201807,1042061.8663618407
New Hartford School District,0920011,2022,Instructional Aide Salaries,521357,current_long,292.626,1.1002508321201807,573623.4730816811
New Hartford School District,0920011,2022,Other Salaries,107024,current_long,292.626,1.1002508321201807,117753.24505683022
New Hartford School District,0920011,2022,Employee Benefits,382592,current_long,292.626,1.1002508321201807,420947.1663625242
New Hartford School District,0920011,2022,Purchased Services Other Than Transportation,127172,current_long,292.626,1.1002508321201807,139921.09882238763
New Hartford School District,0920011,2022,Special Education Tuition,429778,current_long,292.626,1.1002508321201807,472863.602126947
New Hartford School District,0920011,2022,Supplies,6118,current_long,292.626,1.1002508321201807,6731.334590911266
New Hartford School District,0920011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Hartford School District,0920011,2022,Purchased Services For Transportation,139435,current_long,292.626,1.1002508321201807,153413.4747766774
New Hartford School District,0920011,2022,Equipment,8124,current_long,292.626,1.1002508321201807,8938.437760144348
New Hartford School District,0920011,2022,All Other Expenditures,550,current_long,292.626,1.1002508321201807,605.1379576660994
New Hartford School District,0920011,2022,Total,2669263,current_long,292.626,1.1002508321201807,2936858.8368976098
New Haven School District,0930011,2022,Teacher Salaries,23156295,current_long,292.626,1.1002508321201807,25477732.84257038
New Haven School District,0930011,2022,Instructional Aide Salaries,2672862,current_long,292.626,1.1002508321201807,2940818.6396424104
New Haven School District,0930011,2022,Other Salaries,2286184,current_long,292.626,1.1002508321201807,2515375.8483798434
New Haven School District,0930011,2022,Employee Benefits,12246822,current_long,292.626,1.1002508321201807,13474576.096327735
New Haven School District,0930011,2022,Purchased Services Other Than Transportation,3060345,current_long,292.626,1.1002508321201807,3367147.1328248344
New Haven School District,0930011,2022,Special Education Tuition,25073062,current_long,292.626,1.1002508321201807,27586657.329300884
New Haven School District,0930011,2022,Supplies,255743,current_long,292.626,1.1002508321201807,281381.4485589114
New Haven School District,0930011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Haven School District,0930011,2022,Purchased Services For Transportation,10475344,current_long,292.626,1.1002508321201807,11525505.952745141
New Haven School District,0930011,2022,Equipment,45834,current_long,292.626,1.1002508321201807,50428.896639396364
New Haven School District,0930011,2022,All Other Expenditures,69341,current_long,292.626,1.1002508321201807,76292.49295004545
New Haven School District,0930011,2022,Total,79341831,current_long,292.626,1.1002508321201807,87295915.57968874
New London School District,0950011,2022,Teacher Salaries,4231966,current_long,292.626,1.1002508321201807,4656224.113004313
New London School District,0950011,2022,Instructional Aide Salaries,1052466,current_long,292.626,1.1002508321201807,1157976.592278198
New London School District,0950011,2022,Other Salaries,2893413,current_long,292.626,1.1002508321201807,3183480.0609173486
New London School District,0950011,2022,Employee Benefits,2314622,current_long,292.626,1.1002508321201807,2546664.7815436767
New London School District,0950011,2022,Purchased Services Other Than Transportation,966508,current_long,292.626,1.1002508321201807,1063401.2312508116
New London School District,0950011,2022,Special Education Tuition,5509099,current_long,292.626,1.1002508321201807,6061390.758982455
New London School District,0950011,2022,Supplies,77228,current_long,292.626,1.1002508321201807,84970.17126297731
New London School District,0950011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New London School District,0950011,2022,Purchased Services For Transportation,1227566,current_long,292.626,1.1002508321201807,1350630.5129824418
New London School District,0950011,2022,Equipment,29599,current_long,292.626,1.1002508321201807,32566.32437992523
New London School District,0950011,2022,All Other Expenditures,750,current_long,292.626,1.1002508321201807,825.1881240901355
New London School District,0950011,2022,Total,18303217,current_long,292.626,1.1002508321201807,20138129.73472624
New Milford School District,0960011,2022,Teacher Salaries,6175209,current_long,292.626,1.1002508321201807,6794278.840766029
New Milford School District,0960011,2022,Instructional Aide Salaries,2324349,current_long,292.626,1.1002508321201807,2557366.92138771
New Milford School District,0960011,2022,Other Salaries,12579,current_long,292.626,1.1002508321201807,13840.055217239753
New Milford School District,0960011,2022,Employee Benefits,1636346,current_long,292.626,1.1002508321201807,1800391.0481365293
New Milford School District,0960011,2022,Purchased Services Other Than Transportation,2312256,current_long,292.626,1.1002508321201807,2544061.5880748807
New Milford School District,0960011,2022,Special Education Tuition,2526625,current_long,292.626,1.1002508321201807,2779921.2587056514
New Milford School District,0960011,2022,Supplies,107352,current_long,292.626,1.1002508321201807,118114.12732976564
New Milford School District,0960011,2022,Property Services,0,current_long,292.626,1.1002508321201807,0.0
New Milford School District,0960011,2022,Purchased Services For Transportation,917151,current_long,292.626,1.1002508321201807,1009096.1509298559
New Milford School District,0960011,2022,Equipment,7357,current_long,292.626,1.1002508321201807,8094.54537190817
New Milford School District,0960011,2022,All Other Expenditures,1465,current_long,292.626,1.1002508321201807,1611.8674690560647
New Milford School District,0960011,2022,Total,16020690,current_long,292.626,1.1002508321201807,17626777.50363946
Newington School District,0940011,2022,Teacher Salaries,5229317,current_long,292.626,1.1002508321201807,5753560.380670207
Newington School District,0940011,2022,Instructional Aide Salaries,2497720,current_long,292.626,1.1002508321201807,2748118.508403218
Newington School District,0940011,2022,Other Salaries,1373694,current_long,292.626,1.1002508321201807,1511407.9665784994
Newington School District,0940011,2022,Employee Benefits,2029399,current_long,292.626,1.1002508321201807,2232847.9384538624
Newington School District,0940011,2022,Purchased Services Other Than Transportation,1563817,current_long,292.626,1.1002508321201807,1720590.9555336847
Newington School District,0940011,2022,Special Education Tuition,4111245,current_long,292.626,1.1002508321201807,4523400.732299932
Newington School District,0940011,2022,Supplies,95807,current_long,292.626,1.1002508321201807,105411.73147293815
Newington School District,0940011,2022,Property Services,38321,current_long,292.626,1.1002508321201807,42162.712137677445
Newington School District,0940011,2022,Purchased Services For Transportation,739813,current_long,292.626,1.1002508321201807,813979.8688633272
Newington School District,0940011,2022,Equipment,67584,current_long,292.626,1.1002508321201807,74359.3522380103
Newington School District,0940011,2022,All Other Expenditures,720,current_long,292.626,1.1002508321201807,792.1805991265301
Newington School District,0940011,2022,Total,17747437,current_long,292.626,1.1002508321201807,19526632.327250484
Newtown School District,0970011,2022,Teacher Salaries,6578423,current_long,292.626,1.1002508321201807,7237915.379788536
Newtown School District,0970011,2022,Instructional Aide Salaries,1799469,current_long,292.626,1.1002508321201807,1979867.2646244694
Newtown School District,0970011,2022,Other Salaries,2321296,current_long,292.626,1.1002508321201807,2554007.855597247
Newtown School District,0970011,2022,Employee Benefits,2337993,current_long,292.626,1.1002508321201807,2572378.7437411575
Newtown School District,0970011,2022,Purchased Services Other Than Transportation,424230,current_long,292.626,1.1002508321201807,466759.41051034426
Newtown School District,0970011,2022,Special Education Tuition,4253913,current_long,292.626,1.1002508321201807,4680371.318016854
Newtown School District,0970011,2022,Supplies,110701,current_long,292.626,1.1002508321201807,121798.86736653613
Newtown School District,0970011,2022,Property Services,32484,current_long,292.626,1.1002508321201807,35740.54803059195
Newtown School District,0970011,2022,Purchased Services For Transportation,1547297,current_long,292.626,1.1002508321201807,1702414.8117870593
Newtown School District,0970011,2022,Equipment,73195,current_long,292.626,1.1002508321201807,80532.85965703662
Newtown School District,0970011,2022,All Other Expenditures,1239,current_long,292.626,1.1002508321201807,1363.2107809969038
Newtown School District,0970011,2022,Total,19480242,current_long,292.626,1.1002508321201807,21433152.470402494
Norfolk School District,0980011,2022,Teacher Salaries,105144,current_long,292.626,1.1002508321201807,115684.77349244428
