district,fiscal_year,school_year,placement_type,count,percent
Putnam School District,2019,2018-19,Private Schools or Other Settings,14.0,6.7
Redding School District,2019,2018-19,Private Schools or Other Settings,,
Regional School District 01,2019,2018-19,Private Schools or Other Settings,,
Regional School District 04,2019,2018-19,Private Schools or Other Settings,12.0,7.7
Regional School District 05,2019,2018-19,Private Schools or Other Settings,18.0,6.1
Regional School District 06,2019,2018-19,Private Schools or Other Settings,,
Regional School District 07,2019,2018-19,Private Schools or Other Settings,13.0,8.3
Regional School District 08,2019,2018-19,Private Schools or Other Settings,17.0,7.5
Regional School District 09,2019,2018-19,Private Schools or Other Settings,13.0,10.8
Regional School District 10,2019,2018-19,Private Schools or Other Settings,9.0,3.3
Regional School District 11,2019,2018-19,Private Schools or Other Settings,,
Regional School District 12,2019,2018-19,Private Schools or Other Settings,20.0,19.4
Regional School District 13,2019,2018-19,Private Schools or Other Settings,,
Regional School District 14,2019,2018-19,Private Schools or Other Settings,9.0,3.8
Regional School District 15,2019,2018-19,Private Schools or Other Settings,26.0,4.3
Regional School District 16,2019,2018-19,Private Schools or Other Settings,10.0,3.8
Regional School District 17,2019,2018-19,Private Schools or Other Settings,11.0,3.4
Regional School District 18,2019,2018-19,Private Schools or Other Settings,6.0,4.0
Regional School District 19,2019,2018-19,Private Schools or Other Settings,,
Ridgefield School District,2019,2018-19,Private Schools or Other Settings,22.0,3.6
Rocky Hill School District,2019,2018-19,Private Schools or Other Settings,8.0,2.5
Salem School District,2019,2018-19,Private Schools or Other Settings,,
Salisbury School District,2019,2018-19,Private Schools or Other Settings,,
Scotland School District,2019,2018-19,Private Schools or Other Settings,0.0,0.0
Seymour School District,2019,2018-19,Private Schools or Other Settings,14.0,4.4
Sharon School District,2019,2018-19,Private Schools or Other Settings,0.0,0.0
Shelton School District,2019,2018-19,Private Schools or Other Settings,22.0,3.3
Sherman School District,2019,2018-19,Private Schools or Other Settings,0.0,0.0
Simsbury School District,2019,2018-19,Private Schools or Other Settings,51.0,8.8
Somers School District,2019,2018-19,Private Schools or Other Settings,,
South Windsor School District,2019,2018-19,Private Schools or Other Settings,31.0,5.4
Southington School District,2019,2018-19,Private Schools or Other Settings,38.0,4.2
Sprague School District,2019,2018-19,Private Schools or Other Settings,7.0,9.3
Stafford School District,2019,2018-19,Private Schools or Other Settings,10.0,4.6
Stamford School District,2019,2018-19,Private Schools or Other Settings,111.0,5.2
State Total,2019,2018-19,Private Schools or Other Settings,3869.0,5.0
Sterling School District,2019,2018-19,Private Schools or Other Settings,,
Stonington School District,2019,2018-19,Private Schools or Other Settings,32.0,10.5
Stratford School District,2019,2018-19,Private Schools or Other Settings,65.0,6.9
Suffield School District,2019,2018-19,Private Schools or Other Settings,13.0,4.7
Thomaston School District,2019,2018-19,Private Schools or Other Settings,8.0,6.4
Thompson School District,2019,2018-19,Private Schools or Other Settings,8.0,6.6
Tolland School District,2019,2018-19,Private Schools or Other Settings,16.0,5.1
Torrington School District,2019,2018-19,Private Schools or Other Settings,65.0,7.6
Trumbull School District,2019,2018-19,Private Schools or Other Settings,44.0,5.6
Unified School District #2,2019,2018-19,Private Schools or Other Settings,34.0,34.7
Vernon School District,2019,2018-19,Private Schools or Other Settings,23.0,4.3
Voluntown School District,2019,2018-19,Private Schools or Other Settings,,
Wallingford School District,2019,2018-19,Private Schools or Other Settings,37.0,4.6
Waterbury School District,2019,2018-19,Private Schools or Other Settings,155.0,4.4
Waterford School District,2019,2018-19,Private Schools or Other Settings,28.0,6.7
Watertown School District,2019,2018-19,Private Schools or Other Settings,21.0,5.5
West Hartford School District,2019,2018-19,Private Schools or Other Settings,81.0,6.6
West Haven School District,2019,2018-19,Private Schools or Other Settings,87.0,8.1
Westbrook School District,2019,2018-19,Private Schools or Other Settings,,
Weston School District,2019,2018-19,Private Schools or Other Settings,13.0,5.5
Westport School District,2019,2018-19,Private Schools or Other Settings,29.0,4.6
Wethersfield School District,2019,2018-19,Private Schools or Other Settings,31.0,5.9
Willington School District,2019,2018-19,Private Schools or Other Settings,,
Wilton School District,2019,2018-19,Private Schools or Other Settings,34.0,6.4
Winchester School District,2019,2018-19,Private Schools or Other Settings,17.0,8.2
Windham School District,2019,2018-19,Private Schools or Other Settings,18.0,2.8
Windsor Locks School District,2019,2018-19,Private Schools or Other Settings,8.0,3.2
Windsor School District,2019,2018-19,Private Schools or Other Settings,49.0,7.3
Wolcott School District,2019,2018-19,Private Schools or Other Settings,12.0,4.2
Woodbridge School District,2019,2018-19,Private Schools or Other Settings,,
Woodstock School District,2019,2018-19,Private Schools or Other Settings,7.0,5.5
Ansonia School District,2019,2018-19,Public Schools in Other Districts,61.0,11.5
Ashford School District,2019,2018-19,Public Schools in Other Districts,,
Avon School District,2019,2018-19,Public Schools in Other Districts,12.0,3.7
Barkhamsted School District,2019,2018-19,Public Schools in Other Districts,,
Berlin School District,2019,2018-19,Public Schools in Other Districts,14.0,3.6
Bethany School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Bethel School District,2019,2018-19,Public Schools in Other Districts,8.0,2.1
Bloomfield School District,2019,2018-19,Public Schools in Other Districts,77.0,20.4
Bolton School District,2019,2018-19,Public Schools in Other Districts,6.0,7.0
Bozrah School District,2019,2018-19,Public Schools in Other Districts,12.0,32.4
Branford School District,2019,2018-19,Public Schools in Other Districts,20.0,5.3
Bridgeport School District,2019,2018-19,Public Schools in Other Districts,610.0,15.5
Bristol School District,2019,2018-19,Public Schools in Other Districts,92.0,6.0
Brookfield School District,2019,2018-19,Public Schools in Other Districts,13.0,3.4
Brooklyn School District,2019,2018-19,Public Schools in Other Districts,40.0,24.0
Canaan School District,2019,2018-19,Public Schools in Other Districts,,
Canterbury School District,2019,2018-19,Public Schools in Other Districts,23.0,33.3
Canton School District,2019,2018-19,Public Schools in Other Districts,,
Chaplin School District,2019,2018-19,Public Schools in Other Districts,,
Cheshire School District,2019,2018-19,Public Schools in Other Districts,7.0,1.4
Clinton School District,2019,2018-19,Public Schools in Other Districts,11.0,4.6
Colchester School District,2019,2018-19,Public Schools in Other Districts,23.0,6.0
Columbia School District,2019,2018-19,Public Schools in Other Districts,34.0,42.5
Cornwall School District,2019,2018-19,Public Schools in Other Districts,,
Coventry School District,2019,2018-19,Public Schools in Other Districts,12.0,5.3
Cromwell School District,2019,2018-19,Public Schools in Other Districts,15.0,6.7
Danbury School District,2019,2018-19,Public Schools in Other Districts,14.0,1.0
Darien School District,2019,2018-19,Public Schools in Other Districts,,
Deep River School District,2019,2018-19,Public Schools in Other Districts,,
Department of Mental Health and Addiction Services,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Derby School District,2019,2018-19,Public Schools in Other Districts,33.0,12.8
East Granby School District,2019,2018-19,Public Schools in Other Districts,,
East Haddam School District,2019,2018-19,Public Schools in Other Districts,,
East Hampton School District,2019,2018-19,Public Schools in Other Districts,16.0,7.0
East Hartford School District,2019,2018-19,Public Schools in Other Districts,191.0,14.2
East Haven School District,2019,2018-19,Public Schools in Other Districts,76.0,16.3
East Lyme School District,2019,2018-19,Public Schools in Other Districts,13.0,3.7
East Windsor School District,2019,2018-19,Public Schools in Other Districts,13.0,6.0
Eastford School District,2019,2018-19,Public Schools in Other Districts,8.0,18.6
Easton School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Ellington School District,2019,2018-19,Public Schools in Other Districts,17.0,4.7
Enfield School District,2019,2018-19,Public Schools in Other Districts,58.0,6.5
Essex School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Fairfield School District,2019,2018-19,Public Schools in Other Districts,22.0,1.8
Farmington School District,2019,2018-19,Public Schools in Other Districts,10.0,2.1
Franklin School District,2019,2018-19,Public Schools in Other Districts,9.0,52.9
Glastonbury School District,2019,2018-19,Public Schools in Other Districts,42.0,6.2
Granby School District,2019,2018-19,Public Schools in Other Districts,,
Greenwich School District,2019,2018-19,Public Schools in Other Districts,6.0,0.6
Griswold School District,2019,2018-19,Public Schools in Other Districts,19.0,7.0
Groton School District,2019,2018-19,Public Schools in Other Districts,62.0,8.1
Guilford School District,2019,2018-19,Public Schools in Other Districts,18.0,4.7
Hamden School District,2019,2018-19,Public Schools in Other Districts,194.0,17.6
Hartford School District,2019,2018-19,Public Schools in Other Districts,905.0,22.2
Hartland School District,2019,2018-19,Public Schools in Other Districts,12.0,23.5
Hebron School District,2019,2018-19,Public Schools in Other Districts,,
Kent School District,2019,2018-19,Public Schools in Other Districts,,
Killingly School District,2019,2018-19,Public Schools in Other Districts,70.0,17.9
Lebanon School District,2019,2018-19,Public Schools in Other Districts,15.0,10.6
Ledyard School District,2019,2018-19,Public Schools in Other Districts,17.0,3.8
Lisbon School District,2019,2018-19,Public Schools in Other Districts,17.0,23.0
Litchfield School District,2019,2018-19,Public Schools in Other Districts,7.0,5.1
Madison School District,2019,2018-19,Public Schools in Other Districts,7.0,1.9
Manchester School District,2019,2018-19,Public Schools in Other Districts,146.0,13.8
Mansfield School District,2019,2018-19,Public Schools in Other Districts,,
Marlborough School District,2019,2018-19,Public Schools in Other Districts,,
Meriden School District,2019,2018-19,Public Schools in Other Districts,116.0,7.1
Middletown School District,2019,2018-19,Public Schools in Other Districts,31.0,4.7
Milford School District,2019,2018-19,Public Schools in Other Districts,23.0,2.8
Monroe School District,2019,2018-19,Public Schools in Other Districts,16.0,4.0
Montville School District,2019,2018-19,Public Schools in Other Districts,21.0,6.1
Naugatuck School District,2019,2018-19,Public Schools in Other Districts,38.0,5.4
New Britain School District,2019,2018-19,Public Schools in Other Districts,271.0,12.8
New Canaan School District,2019,2018-19,Public Schools in Other Districts,,
New Fairfield School District,2019,2018-19,Public Schools in Other Districts,,
New Hartford School District,2019,2018-19,Public Schools in Other Districts,,
New Haven School District,2019,2018-19,Public Schools in Other Districts,404.0,12.9
New London School District,2019,2018-19,Public Schools in Other Districts,100.0,15.1
New Milford School District,2019,2018-19,Public Schools in Other Districts,14.0,2.4
Newington School District,2019,2018-19,Public Schools in Other Districts,18.0,3.3
Newtown School District,2019,2018-19,Public Schools in Other Districts,17.0,3.1
Norfolk School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
North Branford School District,2019,2018-19,Public Schools in Other Districts,17.0,6.8
North Canaan School District,2019,2018-19,Public Schools in Other Districts,,
North Haven School District,2019,2018-19,Public Schools in Other Districts,19.0,5.2
North Stonington School District,2019,2018-19,Public Schools in Other Districts,,
Norwalk School District,2019,2018-19,Public Schools in Other Districts,77.0,4.7
Norwich School District,2019,2018-19,Public Schools in Other Districts,338.0,33.2
Old Saybrook School District,2019,2018-19,Public Schools in Other Districts,7.0,4.2
Orange School District,2019,2018-19,Public Schools in Other Districts,,
Oxford School District,2019,2018-19,Public Schools in Other Districts,11.0,5.4
Plainfield School District,2019,2018-19,Public Schools in Other Districts,18.0,5.5
Plainville School District,2019,2018-19,Public Schools in Other Districts,11.0,3.6
Plymouth School District,2019,2018-19,Public Schools in Other Districts,12.0,4.9
Pomfret School District,2019,2018-19,Public Schools in Other Districts,26.0,39.4
Portland School District,2019,2018-19,Public Schools in Other Districts,6.0,3.9
Preston School District,2019,2018-19,Public Schools in Other Districts,27.0,28.7
Putnam School District,2019,2018-19,Public Schools in Other Districts,11.0,5.3
Redding School District,2019,2018-19,Public Schools in Other Districts,,
Regional School District 01,2019,2018-19,Public Schools in Other Districts,,
Regional School District 04,2019,2018-19,Public Schools in Other Districts,,
Regional School District 05,2019,2018-19,Public Schools in Other Districts,14.0,4.7
Regional School District 06,2019,2018-19,Public Schools in Other Districts,,
Regional School District 07,2019,2018-19,Public Schools in Other Districts,,
Regional School District 08,2019,2018-19,Public Schools in Other Districts,25.0,11.0
Regional School District 09,2019,2018-19,Public Schools in Other Districts,10.0,8.3
Regional School District 10,2019,2018-19,Public Schools in Other Districts,19.0,7.0
Regional School District 11,2019,2018-19,Public Schools in Other Districts,15.0,25.9
Regional School District 12,2019,2018-19,Public Schools in Other Districts,,
Regional School District 13,2019,2018-19,Public Schools in Other Districts,,
Regional School District 14,2019,2018-19,Public Schools in Other Districts,,
Regional School District 15,2019,2018-19,Public Schools in Other Districts,17.0,2.8
Regional School District 16,2019,2018-19,Public Schools in Other Districts,6.0,2.3
Regional School District 17,2019,2018-19,Public Schools in Other Districts,,
Regional School District 18,2019,2018-19,Public Schools in Other Districts,,
Regional School District 19,2019,2018-19,Public Schools in Other Districts,7.0,4.8
Ridgefield School District,2019,2018-19,Public Schools in Other Districts,7.0,1.1
Rocky Hill School District,2019,2018-19,Public Schools in Other Districts,14.0,4.4
Salem School District,2019,2018-19,Public Schools in Other Districts,28.0,31.1
Salisbury School District,2019,2018-19,Public Schools in Other Districts,,
Scotland School District,2019,2018-19,Public Schools in Other Districts,,
Seymour School District,2019,2018-19,Public Schools in Other Districts,12.0,3.8
Sharon School District,2019,2018-19,Public Schools in Other Districts,,
Shelton School District,2019,2018-19,Public Schools in Other Districts,22.0,3.3
Sherman School District,2019,2018-19,Public Schools in Other Districts,18.0,34.0
Simsbury School District,2019,2018-19,Public Schools in Other Districts,19.0,3.3
Somers School District,2019,2018-19,Public Schools in Other Districts,9.0,4.7
South Windsor School District,2019,2018-19,Public Schools in Other Districts,22.0,3.8
Southington School District,2019,2018-19,Public Schools in Other Districts,34.0,3.8
Sprague School District,2019,2018-19,Public Schools in Other Districts,19.0,25.3
Stafford School District,2019,2018-19,Public Schools in Other Districts,9.0,4.2
Stamford School District,2019,2018-19,Public Schools in Other Districts,129.0,6.1
State Total,2019,2018-19,Public Schools in Other Districts,6276.0,8.2
Sterling School District,2019,2018-19,Public Schools in Other Districts,24.0,32.0
Stonington School District,2019,2018-19,Public Schools in Other Districts,14.0,4.6
Stratford School District,2019,2018-19,Public Schools in Other Districts,59.0,6.3
Suffield School District,2019,2018-19,Public Schools in Other Districts,6.0,2.2
Thomaston School District,2019,2018-19,Public Schools in Other Districts,6.0,4.8
Thompson School District,2019,2018-19,Public Schools in Other Districts,,
Tolland School District,2019,2018-19,Public Schools in Other Districts,17.0,5.5
Torrington School District,2019,2018-19,Public Schools in Other Districts,83.0,9.7
Trumbull School District,2019,2018-19,Public Schools in Other Districts,38.0,4.9
Unified School District #2,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Vernon School District,2019,2018-19,Public Schools in Other Districts,39.0,7.3
Voluntown School District,2019,2018-19,Public Schools in Other Districts,18.0,28.6
Wallingford School District,2019,2018-19,Public Schools in Other Districts,34.0,4.2
Waterbury School District,2019,2018-19,Public Schools in Other Districts,66.0,1.9
Waterford School District,2019,2018-19,Public Schools in Other Districts,23.0,5.5
Watertown School District,2019,2018-19,Public Schools in Other Districts,10.0,2.6
West Hartford School District,2019,2018-19,Public Schools in Other Districts,34.0,2.8
West Haven School District,2019,2018-19,Public Schools in Other Districts,132.0,12.3
Westbrook School District,2019,2018-19,Public Schools in Other Districts,,
Weston School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Westport School District,2019,2018-19,Public Schools in Other Districts,,
Wethersfield School District,2019,2018-19,Public Schools in Other Districts,37.0,7.1
Willington School District,2019,2018-19,Public Schools in Other Districts,,
Wilton School District,2019,2018-19,Public Schools in Other Districts,,
Winchester School District,2019,2018-19,Public Schools in Other Districts,92.0,44.2
Windham School District,2019,2018-19,Public Schools in Other Districts,40.0,6.2
Windsor Locks School District,2019,2018-19,Public Schools in Other Districts,15.0,6.1
Windsor School District,2019,2018-19,Public Schools in Other Districts,117.0,17.5
Wolcott School District,2019,2018-19,Public Schools in Other Districts,15.0,5.2
Woodbridge School District,2019,2018-19,Public Schools in Other Districts,0.0,0.0
Woodstock School District,2019,2018-19,Public Schools in Other Districts,41.0,32.0
Andover School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Ansonia School District,2018,2017-18,Private Schools or Other Settings,27.0,5.3
Ashford School District,2018,2017-18,Private Schools or Other Settings,,
Avon School District,2018,2017-18,Private Schools or Other Settings,14.0,4.5
Barkhamsted School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Berlin School District,2018,2017-18,Private Schools or Other Settings,18.0,4.9
Bethany School District,2018,2017-18,Private Schools or Other Settings,,
Bethel School District,2018,2017-18,Private Schools or Other Settings,13.0,3.6
Bloomfield School District,2018,2017-18,Private Schools or Other Settings,12.0,3.4
Bolton School District,2018,2017-18,Private Schools or Other Settings,6.0,6.9
Bozrah School District,2018,2017-18,Private Schools or Other Settings,,
Branford School District,2018,2017-18,Private Schools or Other Settings,19.0,4.8
Bridgeport School District,2018,2017-18,Private Schools or Other Settings,118.0,3.1
Bristol School District,2018,2017-18,Private Schools or Other Settings,117.0,8.1
Brookfield School District,2018,2017-18,Private Schools or Other Settings,15.0,4.1
Brooklyn School District,2018,2017-18,Private Schools or Other Settings,11.0,7.4
Canaan School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Canterbury School District,2018,2017-18,Private Schools or Other Settings,,
Canton School District,2018,2017-18,Private Schools or Other Settings,7.0,3.7
Chaplin School District,2018,2017-18,Private Schools or Other Settings,,
Cheshire School District,2018,2017-18,Private Schools or Other Settings,19.0,3.9
Clinton School District,2018,2017-18,Private Schools or Other Settings,,
Colchester School District,2018,2017-18,Private Schools or Other Settings,13.0,3.4
Columbia School District,2018,2017-18,Private Schools or Other Settings,6.0,6.2
Connecticut Technical Education and Career System,2018,2017-18,Private Schools or Other Settings,,
Cornwall School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Coventry School District,2018,2017-18,Private Schools or Other Settings,8.0,3.4
Cromwell School District,2018,2017-18,Private Schools or Other Settings,12.0,5.4
Danbury School District,2018,2017-18,Private Schools or Other Settings,33.0,2.4
Darien School District,2018,2017-18,Private Schools or Other Settings,29.0,4.6
Deep River School District,2018,2017-18,Private Schools or Other Settings,,
Department of Mental Health and Addiction Services,2018,2017-18,Private Schools or Other Settings,,
Derby School District,2018,2017-18,Private Schools or Other Settings,,
East Granby School District,2018,2017-18,Private Schools or Other Settings,10.0,9.8
East Haddam School District,2018,2017-18,Private Schools or Other Settings,6.0,4.7
East Hampton School District,2018,2017-18,Private Schools or Other Settings,8.0,4.0
East Hartford School District,2018,2017-18,Private Schools or Other Settings,23.0,1.8
East Haven School District,2018,2017-18,Private Schools or Other Settings,22.0,5.0
East Lyme School District,2018,2017-18,Private Schools or Other Settings,,
East Windsor School District,2018,2017-18,Private Schools or Other Settings,14.0,7.0
Eastford School District,2018,2017-18,Private Schools or Other Settings,,
Easton School District,2018,2017-18,Private Schools or Other Settings,,
Ellington School District,2018,2017-18,Private Schools or Other Settings,6.0,1.8
Enfield School District,2018,2017-18,Private Schools or Other Settings,38.0,4.5
Essex School District,2018,2017-18,Private Schools or Other Settings,,
Fairfield School District,2018,2017-18,Private Schools or Other Settings,49.0,4.1
Farmington School District,2018,2017-18,Private Schools or Other Settings,17.0,3.6
Franklin School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Glastonbury School District,2018,2017-18,Private Schools or Other Settings,13.0,2.0
Granby School District,2018,2017-18,Private Schools or Other Settings,8.0,3.5
Greenwich School District,2018,2017-18,Private Schools or Other Settings,28.0,2.9
Griswold School District,2018,2017-18,Private Schools or Other Settings,6.0,2.4
Groton School District,2018,2017-18,Private Schools or Other Settings,37.0,4.9
Guilford School District,2018,2017-18,Private Schools or Other Settings,26.0,6.4
Hamden School District,2018,2017-18,Private Schools or Other Settings,69.0,6.3
Hartford School District,2018,2017-18,Private Schools or Other Settings,432.0,11.0
Hartland School District,2018,2017-18,Private Schools or Other Settings,,
Hebron School District,2018,2017-18,Private Schools or Other Settings,,
Kent School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Killingly School District,2018,2017-18,Private Schools or Other Settings,28.0,7.3
Lebanon School District,2018,2017-18,Private Schools or Other Settings,6.0,4.3
Ledyard School District,2018,2017-18,Private Schools or Other Settings,10.0,2.4
Lisbon School District,2018,2017-18,Private Schools or Other Settings,,
Litchfield School District,2018,2017-18,Private Schools or Other Settings,,
Madison School District,2018,2017-18,Private Schools or Other Settings,15.0,4.0
Manchester School District,2018,2017-18,Private Schools or Other Settings,81.0,8.1
Mansfield School District,2018,2017-18,Private Schools or Other Settings,,
Marlborough School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Meriden School District,2018,2017-18,Private Schools or Other Settings,69.0,4.3
Middletown School District,2018,2017-18,Private Schools or Other Settings,57.0,8.8
Milford School District,2018,2017-18,Private Schools or Other Settings,59.0,7.3
Monroe School District,2018,2017-18,Private Schools or Other Settings,14.0,3.8
Montville School District,2018,2017-18,Private Schools or Other Settings,19.0,5.5
Naugatuck School District,2018,2017-18,Private Schools or Other Settings,11.0,1.6
New Britain School District,2018,2017-18,Private Schools or Other Settings,63.0,3.1
New Canaan School District,2018,2017-18,Private Schools or Other Settings,17.0,3.6
New Fairfield School District,2018,2017-18,Private Schools or Other Settings,8.0,3.2
New Hartford School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
New Haven School District,2018,2017-18,Private Schools or Other Settings,103.0,3.4
New London School District,2018,2017-18,Private Schools or Other Settings,57.0,8.6
New Milford School District,2018,2017-18,Private Schools or Other Settings,30.0,5.2
Newington School District,2018,2017-18,Private Schools or Other Settings,35.0,6.6
Newtown School District,2018,2017-18,Private Schools or Other Settings,22.0,4.2
North Branford School District,2018,2017-18,Private Schools or Other Settings,7.0,2.8
North Canaan School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
North Haven School District,2018,2017-18,Private Schools or Other Settings,23.0,6.5
North Stonington School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Norwalk School District,2018,2017-18,Private Schools or Other Settings,82.0,5.1
Norwich School District,2018,2017-18,Private Schools or Other Settings,114.0,11.4
Old Saybrook School District,2018,2017-18,Private Schools or Other Settings,8.0,4.6
Orange School District,2018,2017-18,Private Schools or Other Settings,,
Oxford School District,2018,2017-18,Private Schools or Other Settings,13.0,6.0
Plainfield School District,2018,2017-18,Private Schools or Other Settings,20.0,6.2
Plainville School District,2018,2017-18,Private Schools or Other Settings,13.0,4.3
Plymouth School District,2018,2017-18,Private Schools or Other Settings,13.0,5.4
Pomfret School District,2018,2017-18,Private Schools or Other Settings,,
Portland School District,2018,2017-18,Private Schools or Other Settings,10.0,7.0
Preston School District,2018,2017-18,Private Schools or Other Settings,,
Putnam School District,2018,2017-18,Private Schools or Other Settings,11.0,5.5
Redding School District,2018,2017-18,Private Schools or Other Settings,,
Regional School District 01,2018,2017-18,Private Schools or Other Settings,,
Regional School District 04,2018,2017-18,Private Schools or Other Settings,12.0,8.0
Regional School District 05,2018,2017-18,Private Schools or Other Settings,17.0,6.0
Regional School District 06,2018,2017-18,Private Schools or Other Settings,,
Regional School District 07,2018,2017-18,Private Schools or Other Settings,11.0,8.0
Regional School District 08,2018,2017-18,Private Schools or Other Settings,21.0,9.3
Regional School District 09,2018,2017-18,Private Schools or Other Settings,15.0,13.2
Regional School District 10,2018,2017-18,Private Schools or Other Settings,8.0,3.0
Regional School District 11,2018,2017-18,Private Schools or Other Settings,,
Regional School District 12,2018,2017-18,Private Schools or Other Settings,20.0,19.8
Regional School District 13,2018,2017-18,Private Schools or Other Settings,,
Regional School District 14,2018,2017-18,Private Schools or Other Settings,16.0,6.9
Regional School District 15,2018,2017-18,Private Schools or Other Settings,24.0,4.2
Regional School District 16,2018,2017-18,Private Schools or Other Settings,8.0,2.8
Regional School District 17,2018,2017-18,Private Schools or Other Settings,13.0,3.7
Regional School District 18,2018,2017-18,Private Schools or Other Settings,,
Regional School District 19,2018,2017-18,Private Schools or Other Settings,9.0,5.6
Ridgefield School District,2018,2017-18,Private Schools or Other Settings,25.0,4.6
Rocky Hill School District,2018,2017-18,Private Schools or Other Settings,8.0,2.8
Salem School District,2018,2017-18,Private Schools or Other Settings,,
Salisbury School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Scotland School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Seymour School District,2018,2017-18,Private Schools or Other Settings,10.0,3.3
Sharon School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Shelton School District,2018,2017-18,Private Schools or Other Settings,22.0,3.4
Sherman School District,2018,2017-18,Private Schools or Other Settings,,
Simsbury School District,2018,2017-18,Private Schools or Other Settings,49.0,8.6
Somers School District,2018,2017-18,Private Schools or Other Settings,7.0,3.6
South Windsor School District,2018,2017-18,Private Schools or Other Settings,27.0,4.7
Southington School District,2018,2017-18,Private Schools or Other Settings,39.0,4.4
Sprague School District,2018,2017-18,Private Schools or Other Settings,,
Stafford School District,2018,2017-18,Private Schools or Other Settings,13.0,6.0
Stamford School District,2018,2017-18,Private Schools or Other Settings,117.0,5.8
State Total,2018,2017-18,Private Schools or Other Settings,3875.0,5.2
Sterling School District,2018,2017-18,Private Schools or Other Settings,,
Stonington School District,2018,2017-18,Private Schools or Other Settings,38.0,12.2
Stratford School District,2018,2017-18,Private Schools or Other Settings,64.0,7.0
Suffield School District,2018,2017-18,Private Schools or Other Settings,14.0,5.0
Thomaston School District,2018,2017-18,Private Schools or Other Settings,6.0,4.6
Thompson School District,2018,2017-18,Private Schools or Other Settings,10.0,7.6
Tolland School District,2018,2017-18,Private Schools or Other Settings,19.0,6.1
Torrington School District,2018,2017-18,Private Schools or Other Settings,70.0,8.2
Trumbull School District,2018,2017-18,Private Schools or Other Settings,33.0,4.3
Unified School District #2,2018,2017-18,Private Schools or Other Settings,19.0,14.7
Union School District,2018,2017-18,Private Schools or Other Settings,0.0,0.0
Vernon School District,2018,2017-18,Private Schools or Other Settings,23.0,4.6
Voluntown School District,2018,2017-18,Private Schools or Other Settings,,
Wallingford School District,2018,2017-18,Private Schools or Other Settings,38.0,4.8
Waterbury School District,2018,2017-18,Private Schools or Other Settings,167.0,4.9
Waterford School District,2018,2017-18,Private Schools or Other Settings,20.0,5.0
Watertown School District,2018,2017-18,Private Schools or Other Settings,23.0,6.2
West Hartford School District,2018,2017-18,Private Schools or Other Settings,96.0,7.8
West Haven School District,2018,2017-18,Private Schools or Other Settings,89.0,8.4
Westbrook School District,2018,2017-18,Private Schools or Other Settings,,
Weston School District,2018,2017-18,Private Schools or Other Settings,13.0,6.0
Westport School District,2018,2017-18,Private Schools or Other Settings,27.0,4.4
Wethersfield School District,2018,2017-18,Private Schools or Other Settings,34.0,6.3
Willington School District,2018,2017-18,Private Schools or Other Settings,,
Wilton School District,2018,2017-18,Private Schools or Other Settings,31.0,5.7
Winchester School District,2018,2017-18,Private Schools or Other Settings,27.0,11.6
Windham School District,2018,2017-18,Private Schools or Other Settings,22.0,3.5
Windsor Locks School District,2018,2017-18,Private Schools or Other Settings,8.0,3.5
Windsor School District,2018,2017-18,Private Schools or Other Settings,41.0,6.4
Wolcott School District,2018,2017-18,Private Schools or Other Settings,9.0,3.4
Woodbridge School District,2018,2017-18,Private Schools or Other Settings,6.0,7.3
Woodstock School District,2018,2017-18,Private Schools or Other Settings,7.0,5.5
Andover School District,2018,2017-18,Public Schools in Other Districts,,
Ansonia School District,2018,2017-18,Public Schools in Other Districts,63.0,12.3
Ashford School District,2018,2017-18,Public Schools in Other Districts,,
Avon School District,2018,2017-18,Public Schools in Other Districts,13.0,4.1
Barkhamsted School District,2018,2017-18,Public Schools in Other Districts,,
Berlin School District,2018,2017-18,Public Schools in Other Districts,22.0,6.0
Bethany School District,2018,2017-18,Public Schools in Other Districts,,
Bethel School District,2018,2017-18,Public Schools in Other Districts,6.0,1.7
Bloomfield School District,2018,2017-18,Public Schools in Other Districts,72.0,20.2
Bolton School District,2018,2017-18,Public Schools in Other Districts,,
Bozrah School District,2018,2017-18,Public Schools in Other Districts,14.0,41.2
Branford School District,2018,2017-18,Public Schools in Other Districts,19.0,4.8
Bridgeport School District,2018,2017-18,Public Schools in Other Districts,565.0,14.9
