District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Meriden School District,2007,59149773.0,2033598.0,1459267.0,7882379.0,11118264.0,12501109.0,4675047.0,11170607.0,806210.0,110796254.0
Middletown School District,2007,39341209.0,909869.0,1440491.0,2988217.0,5140734.0,6851173.0,5417871.0,4234107.0,1220272.0,67543943.0
Milford School District,2007,61752005.0,3027240.0,1918668.0,2950425.0,8256036.0,9799174.0,2896971.0,2478246.0,796524.0,93875289.0
Monroe School District,2007,27025864.0,565693.0,1928966.0,3414535.0,4287640.0,5520343.0,2221317.0,1000941.0,436078.0,46401377.0
Montville School District,2007,20365666.0,1137852.0,958388.0,2045823.0,3114639.0,3694532.0,1897586.0,674047.0,476252.0,34364785.0
Naugatuck School District,2007,37173880.0,975133.0,520612.0,3280545.0,5113478.0,5542667.0,2660067.0,1658922.0,566247.0,57491551.0
New Beginnings Inc Family Academy District,2007,1642587.0,73665.0,293605.0,122322.0,705281.0,312986.0,35440.0,0.0,141845.0,3327731.0
New Britain School District,2007,79570793.0,2484069.0,3289596.0,4430674.0,10312430.0,10941309.0,9439871.0,7819675.0,237700.0,128526117.0
New Canaan School District,2007,33945645.0,647883.0,1177935.0,5354402.0,9246410.0,8521270.0,3575668.0,1503499.0,1056341.0,65029053.0
New Fairfield School District,2007,19679835.0,843551.0,608862.0,2271613.0,3240305.0,3248192.0,1320505.0,621150.0,279413.0,32113426.0
New Hartford School District,2007,4152795.0,157784.0,48660.0,375446.0,728018.0,959069.0,563668.0,114046.0,0.0,7099486.0
New Haven School District,2007,172279951.0,5238713.0,8831925.0,10102659.0,33304161.0,32104649.0,16615302.0,13909242.0,4315515.0,296702117.0
New London School District,2007,25264385.0,1220889.0,1496077.0,2784495.0,4846609.0,4963371.0,2161227.0,2457738.0,509617.0,45704408.0
New Milford School District,2007,31767458.0,950689.0,1124571.0,3553334.0,5214141.0,6195574.0,3828958.0,1883357.0,775744.0,55293826.0
Newington School District,2007,29401197.0,1937765.0,2110466.0,2904113.0,5755143.0,6472574.0,2418322.0,1926658.0,672846.0,53599084.0
Newtown School District,2007,34454655.0,1384582.0,1744862.0,4249458.0,5818969.0,8280013.0,4544969.0,1626500.0,793234.0,62897242.0
Norfolk School District,2007,1334027.0,39565.0,78470.0,46966.0,387739.0,300410.0,179224.0,37034.0,0.0,2403435.0
North Branford School District,2007,13319668.0,575015.0,1453066.0,2237965.0,2777171.0,3021313.0,1857084.0,1128994.0,553275.0,26923551.0
North Canaan School District,2007,3120223.0,192175.0,11064.0,230379.0,624867.0,532041.0,296308.0,0.0,1416.0,5008473.0
North Haven School District,2007,22353070.0,412217.0,1114835.0,3763355.0,5445697.0,3317128.0,2766504.0,1934286.0,427176.0,41534268.0
North Stonington School District,2007,6785217.0,563172.0,132611.0,654081.0,1460933.0,1122679.0,830691.0,281096.0,0.0,11830480.0
Norwalk School District,2007,94709094.0,4139695.0,2307468.0,8678388.0,15510941.0,14349831.0,5686218.0,5364789.0,1393231.0,152139655.0
Norwich School District,2007,27903910.0,590848.0,330938.0,4676172.0,3668800.0,3904802.0,4537319.0,5051592.0,0.0,50664381.0
Odyssey Community School District,2007,865662.0,46153.0,75999.0,27164.0,195161.0,198197.0,0.0,0.0,0.0,1408336.0
Old Saybrook School District,2007,10165815.0,266294.0,1252480.0,1166866.0,1953656.0,2199998.0,847223.0,646389.0,375084.0,18873805.0
Orange School District,2007,10365977.0,265954.0,225496.0,1327014.0,1599824.0,1373612.0,820583.0,212797.0,40492.0,16231749.0
Oxford School District,2007,9712365.0,524413.0,416420.0,712543.0,2717570.0,1905154.0,1434444.0,1018950.0,64736.0,18506595.0
Park City Prep Charter School District,2007,529383.0,143468.0,494.0,81797.0,447589.0,262352.0,5609.0,0.0,40471.0,1511163.0
Plainfield School District,2007,17333804.0,561002.0,1023829.0,2223264.0,3094961.0,3334486.0,2307060.0,1758025.0,280452.0,31916883.0
Plainville School District,2007,18187354.0,666532.0,1180983.0,1486530.0,3256997.0,3045608.0,1751312.0,2336285.0,390239.0,32301840.0
Plymouth School District,2007,11546721.0,619256.0,380897.0,1520370.0,1757022.0,2474347.0,2130616.0,1509408.0,302572.0,22241209.0
Pomfret School District,2007,3777604.0,167250.0,91628.0,115385.0,464284.0,540187.0,518949.0,498067.0,5114.0,6178468.0
Portland School District,2007,9223020.0,379530.0,593337.0,1180911.0,1848372.0,2315533.0,852822.0,589456.0,270836.0,17253817.0
Preston School District,2007,4618818.0,355845.0,0.0,387223.0,637257.0,636994.0,609668.0,776187.0,6675.0,8028667.0
Putnam School District,2007,8967077.0,437916.0,298675.0,1622312.0,1810801.0,1804434.0,670980.0,833057.0,310837.0,16756089.0
Redding School District,2007,12246248.0,332210.0,329622.0,214815.0,1690608.0,1980252.0,1169347.0,176733.0,2858.0,18142693.0
Regional School District 01,2007,4880897.0,206024.0,386965.0,644079.0,990976.0,1159005.0,176668.0,682705.0,344377.0,9471696.0
Regional School District 04,2007,6651393.0,271215.0,375072.0,719886.0,2447889.0,1662590.0,543021.0,476510.0,35451.0,13183027.0
Regional School District 05,2007,17747687.0,578953.0,1123919.0,1550587.0,4697019.0,3436662.0,1917726.0,1365781.0,900938.0,33319272.0
Regional School District 06,2007,7861513.0,258649.0,553283.0,975641.0,1612840.0,2083203.0,747175.0,286340.0,179711.0,14558355.0
Regional School District 07,2007,8491580.0,416612.0,314172.0,716706.0,1546457.0,1814927.0,1210679.0,395819.0,361791.0,15268743.0
Regional School District 08,2007,11046565.0,469019.0,852461.0,860996.0,1822525.0,1985469.0,1177348.0,1050302.0,378266.0,19642951.0
Regional School District 09,2007,10178026.0,391808.0,208108.0,157056.0,1286010.0,1799111.0,843736.0,1360669.0,0.0,16224524.0
Regional School District 10,2007,16179922.0,1042016.0,2059369.0,1732794.0,2671305.0,3466935.0,2150583.0,1024637.0,0.0,30327561.0
Regional School District 11,2007,2796844.0,130799.0,94861.0,356241.0,919925.0,1244037.0,448264.0,660664.0,161124.0,6812759.0
Regional School District 12,2007,9681968.0,590773.0,784498.0,1346580.0,1943426.0,2135272.0,1238696.0,469740.0,353332.0,18544285.0
Regional School District 13,2007,14457828.0,348718.0,1272376.0,2240127.0,2247985.0,3145398.0,1919609.0,993381.0,361544.0,26986966.0
Regional School District 14,2007,14515268.0,780841.0,1471151.0,2038058.0,2496551.0,2776967.0,1423592.0,1315880.0,581291.0,27399599.0
Regional School District 15,2007,29769398.0,832965.0,1585754.0,4821971.0,4426730.0,6025832.0,3206014.0,827015.0,1014381.0,52510060.0
Regional School District 16,2007,15157932.0,566811.0,1805504.0,1880701.0,3087279.0,3059877.0,1757543.0,856113.0,429116.0,28600876.0
Regional School District 17,2007,17049602.0,585329.0,1055810.0,1835438.0,2978822.0,4416840.0,2331370.0,621385.0,493633.0,31368229.0
Regional School District 18,2007,11713364.0,405504.0,1019447.0,1533159.0,3397098.0,3691638.0,1073802.0,1045149.0,459183.0,24338344.0
Regional School District 19,2007,9013510.0,703989.0,361478.0,1071082.0,1831610.0,1337414.0,1070370.0,667972.0,629379.0,16686804.0
Ridgefield School District,2007,39769134.0,1107547.0,4008027.0,3324442.0,5463811.0,9167803.0,4453714.0,2353519.0,1033195.0,70681192.0
Rocky Hill School District,2007,16745514.0,557184.0,1393334.0,1673886.0,2196817.0,3632692.0,1192333.0,1335093.0,59756.0,28786609.0
Salem School District,2007,4072931.0,350386.0,27955.0,130951.0,1019421.0,664629.0,608266.0,364562.0,0.0,7239101.0
Salisbury School District,2007,3177679.0,139818.0,176542.0,198375.0,513726.0,619587.0,351055.0,0.0,8539.0,5185321.0
Scotland School District,2007,1378945.0,97261.0,70596.0,109778.0,251048.0,137391.0,161545.0,71015.0,17852.0,2295431.0
Seymour School District,2007,15448340.0,704697.0,642361.0,1890303.0,3914433.0,3215763.0,1240371.0,738771.0,399731.0,28194770.0
Sharon School District,2007,2177534.0,91315.0,123480.0,270244.0,430782.0,459331.0,259595.0,76007.0,31726.0,3920014.0
Shelton School District,2007,34826218.0,1802749.0,3094171.0,4697634.0,5792646.0,6840309.0,3042196.0,1485457.0,656396.0,62237776.0
Sherman School District,2007,3747545.0,152197.0,293540.0,39329.0,411207.0,480678.0,442804.0,266945.0,33826.0,5868071.0
