school_year,fiscal_year,lea_id,lea_name,isp
2025-26,2026,24400,Area Cooperative Educational Services (ACES),0.5903
2025-26,2026,24500,LEARN,0.45990000000000003
2025-26,2026,25300,Eastern Connecticut Regional Educational Service Center,0.32130000000000003
2025-26,2026,26400,Integrated Day Charter School District,0.4215
2025-26,2026,26500,Interdistrict School for Arts and Communication District,0.5719
2025-26,2026,26800,Common Ground High School District,0.6117
2025-26,2026,26900,The Bridge Academy District,0.6418
2025-26,2026,27900,Amistad Academy District,0.7339
2025-26,2026,28000,New Beginnings Inc Family Academy District,0.8085
2025-26,2026,28300,Park City Prep Charter School District,0.6072
2025-26,2026,28500,Achievement First Bridgeport Academy District,0.6859999999999999
2025-26,2026,28600,Highville Charter School District,0.6431999999999999
2025-26,2026,28900,Elm City College Preparatory School District,0.7368000000000001
2025-26,2026,29000,Brass City Charter School District,0.6378
2025-26,2026,29400,Great Oaks Charter School District,0.8054000000000001
2025-26,2026,29600,Stamford Charter School for Excellence District,0.4143
2025-26,2026,29700,Capital Preparatory Harbor School District,0.6445000000000001
2025-26,2026,30101,Connecticut Technical Education & Career System (CTECS),0.44170000000000004
2025-26,2026,90100,Norwich Free Academy,0.47159999999999996
2025-26,2026,90200,The Gilbert School,0.44439999999999996
2025-26,2026,98601,Klingberg Family Center,0.5172
