district,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Colchester School District,2013,All Students,253.0,236.0,93.3
Common Ground High School District,2013,All Students,38.0,34.0,89.5
Connecticut Technical Education and Career System,2013,All Students,2483.0,2392.0,96.3
Coventry School District,2013,All Students,138.0,125.0,90.6
Cromwell School District,2013,All Students,145.0,133.0,91.7
Danbury School District,2013,All Students,779.0,588.0,75.5
Darien School District,2013,All Students,316.0,307.0,97.2
Department of Mental Health and Addiction Services,2013,All Students,,,
Derby School District,2013,All Students,91.0,59.0,64.8
East Granby School District,2013,All Students,71.0,67.0,94.4
East Haddam School District,2013,All Students,100.0,96.0,96.0
East Hampton School District,2013,All Students,132.0,127.0,96.2
East Hartford School District,2013,All Students,556.0,432.0,77.7
East Haven School District,2013,All Students,246.0,182.0,74.0
East Lyme School District,2013,All Students,311.0,293.0,94.2
East Windsor School District,2013,All Students,96.0,79.0,82.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2013,All Students,69.0,54.0,78.3
Ellington School District,2013,All Students,198.0,182.0,91.9
Elm City College Preparatory School District,2013,All Students,13.0,8.0,
Enfield School District,2013,All Students,445.0,389.0,87.4
Explorations District,2013,All Students,32.0,21.0,65.6
Fairfield School District,2013,All Students,708.0,656.0,92.7
Farmington School District,2013,All Students,326.0,310.0,95.1
Glastonbury School District,2013,All Students,552.0,536.0,97.1
Granby School District,2013,All Students,197.0,192.0,97.5
Greenwich School District,2013,All Students,691.0,655.0,94.8
Griswold School District,2013,All Students,170.0,148.0,87.1
Groton School District,2013,All Students,327.0,269.0,82.3
Guilford School District,2013,All Students,281.0,262.0,93.2
Hamden School District,2013,All Students,455.0,388.0,85.3
Hartford School District,2013,All Students,1418.0,1009.0,71.2
Killingly School District,2013,All Students,223.0,167.0,74.9
Learn,2013,All Students,43.0,35.0,81.4
Lebanon School District,2013,All Students,118.0,110.0,93.2
Ledyard School District,2013,All Students,232.0,208.0,89.7
Lisbon School District,2013,All Students,6.0,,
Litchfield School District,2013,All Students,88.0,87.0,98.9
Madison School District,2013,All Students,317.0,313.0,98.7
Manchester School District,2013,All Students,479.0,358.0,74.7
Meriden School District,2013,All Students,639.0,448.0,70.1
Middletown School District,2013,All Students,379.0,307.0,81.0
Milford School District,2013,All Students,525.0,446.0,85.0
Monroe School District,2013,All Students,309.0,300.0,97.1
Montville School District,2013,All Students,188.0,161.0,85.6
Naugatuck School District,2013,All Students,335.0,261.0,77.9
New Britain School District,2013,All Students,654.0,398.0,60.9
New Canaan School District,2013,All Students,339.0,331.0,97.6
New Fairfield School District,2013,All Students,258.0,247.0,95.7
New Haven School District,2013,All Students,1315.0,939.0,71.4
New London School District,2013,All Students,257.0,165.0,64.2
New Milford School District,2013,All Students,392.0,340.0,86.7
Newington School District,2013,All Students,376.0,339.0,90.2
Newtown School District,2013,All Students,471.0,443.0,94.1
North Branford School District,2013,All Students,170.0,163.0,95.9
North Haven School District,2013,All Students,314.0,275.0,87.6
North Stonington School District,2013,All Students,48.0,46.0,95.8
Norwalk School District,2013,All Students,780.0,661.0,84.7
Norwich Free Academy District,2013,All Students,615.0,499.0,81.1
Old Saybrook School District,2013,All Students,139.0,132.0,95.0
Oxford School District,2013,All Students,155.0,151.0,97.4
Plainfield School District,2013,All Students,203.0,172.0,84.7
Plainville School District,2013,All Students,206.0,183.0,88.8
Plymouth School District,2013,All Students,128.0,109.0,85.2
Portland School District,2013,All Students,93.0,80.0,86.0
Putnam School District,2013,All Students,96.0,74.0,77.1
Regional School District 01,2013,All Students,109.0,99.0,90.8
Regional School District 04,2013,All Students,163.0,155.0,95.1
Regional School District 05,2013,All Students,396.0,380.0,96.0
Regional School District 06,2013,All Students,97.0,93.0,95.9
Regional School District 07,2013,All Students,194.0,184.0,94.8
Regional School District 08,2013,All Students,285.0,262.0,91.9
Regional School District 09,2013,All Students,240.0,226.0,94.2
Regional School District 10,2013,All Students,198.0,183.0,92.4
Regional School District 11,2013,All Students,44.0,38.0,86.4
Regional School District 12,2013,All Students,91.0,78.0,85.7
Regional School District 13,2013,All Students,153.0,144.0,94.1
Regional School District 14,2013,All Students,201.0,187.0,93.0
Regional School District 15,2013,All Students,320.0,302.0,94.4
Regional School District 16,2013,All Students,186.0,166.0,89.2
Regional School District 17,2013,All Students,164.0,158.0,96.3
Regional School District 18,2013,All Students,114.0,108.0,94.7
Regional School District 19,2013,All Students,316.0,277.0,87.7
Ridgefield School District,2013,All Students,414.0,398.0,96.1
Rocky Hill School District,2013,All Students,177.0,159.0,89.8
Seymour School District,2013,All Students,181.0,155.0,85.6
Shelton School District,2013,All Students,394.0,355.0,90.1
Simsbury School District,2013,All Students,400.0,389.0,97.3
Somers School District,2013,All Students,146.0,141.0,96.6
South Windsor School District,2013,All Students,386.0,364.0,94.3
Southington School District,2013,All Students,490.0,446.0,91.0
Stafford School District,2013,All Students,129.0,112.0,86.8
Stamford Academy District,2013,All Students,37.0,10.0,27.0
Stamford School District,2013,All Students,1218.0,1083.0,88.9
Stonington School District,2013,All Students,202.0,192.0,95.0
Stratford School District,2013,All Students,569.0,504.0,88.6
Suffield School District,2013,All Students,220.0,204.0,92.7
The Bridge Academy District,2013,All Students,36.0,32.0,88.9
The Gilbert School District,2013,All Students,94.0,71.0,75.5
The Woodstock Academy District,2013,All Students,284.0,270.0,95.1
Thomaston School District,2013,All Students,80.0,73.0,91.3
Thompson School District,2013,All Students,87.0,78.0,89.7
Tolland School District,2013,All Students,244.0,229.0,93.9
Torrington School District,2013,All Students,278.0,235.0,84.5
Trumbull School District,2013,All Students,550.0,538.0,97.8
Unified School District #1,2013,All Students,372.0,,
Unified School District #2,2013,All Students,63.0,12.0,19.0
Vernon School District,2013,All Students,242.0,197.0,81.4
Wallingford School District,2013,All Students,535.0,486.0,90.8
Waterbury School District,2013,All Students,1300.0,864.0,66.5
Waterford School District,2013,All Students,243.0,222.0,91.4
Watertown School District,2013,All Students,272.0,236.0,86.8
West Hartford School District,2013,All Students,835.0,778.0,93.2
West Haven School District,2013,All Students,439.0,306.0,69.7
