"Student Counts by District and Race"
"All Districts"
"2022-23"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Oxford School District","=""1080011""","*",45,41,179,"*",24,1421,1717
"Park City Prep Charter School District","=""2830013""","*","*",192,158,0,"*",21,383
"Plainfield School District","=""1090011""",14,29,63,200,11,43,1584,1944
"Plainville School District","=""1100011""","*",67,126,541,"*",109,1440,2291
"Plymouth School District","=""1110011""","*",28,"*",189,0,66,1000,1306
"Pomfret School District","=""1120011""",0,"*","*",11,0,"*",346,370
"Portland School District","=""1130011""",0,17,48,224,0,60,891,1240
"Preston School District","=""1140011""","*",10,"*",33,6,21,363,440
"Putnam School District","=""1160011""","*",10,20,180,"*",8,964,1185
"Redding School District","=""1170011""","*",20,13,105,"*",29,662,832
"Regional School District 01","=""2010012""","*",6,"*",36,0,18,262,326
"Regional School District 04","=""2040012""","*",11,"*",63,0,30,639,751
"Regional School District 05","=""2050012""","*",312,"*",178,0,79,1424,2075
"Regional School District 06","=""2060012""","*","*",11,46,"*",28,764,853
"Regional School District 07","=""2070012""","*","*",7,37,"*",20,819,890
"Regional School District 08","=""2080012""","*",14,12,96,"*",32,1049,1206
"Regional School District 09","=""2090012""",0,35,13,63,0,30,638,779
"Regional School District 10","=""2100012""",0,14,8,157,0,518,1450,2147
"Regional School District 11","=""2110012""",0,"*","*",17,0,"*",197,225
"Regional School District 12","=""2120012""","*",7,6,79,"*",30,680,804
"Regional School District 13","=""2130012""","*",17,"*",112,0,39,1188,1365
"Regional School District 14","=""2140012""","*",20,23,172,"*",46,1351,1617
"Regional School District 15","=""2150012""","*",165,82,286,"*",110,2819,3469
"Regional School District 16","=""2160012""","*","*",76,181,0,52,1620,1958
"Regional School District 17","=""2170012""","*",30,"*",86,0,52,1627,1814
"Regional School District 18","=""2180012""",0,35,7,84,0,52,1110,1288
"Regional School District 19","=""2190012""","*",71,43,139,"*",12,857,1126
"Ridgefield School District","=""1180011""","*",299,34,409,"*",211,3607,4568
"Rocky Hill School District","=""1190011""","*",740,97,301,"*",96,1312,2550
"Salem School District","=""1210011""","*","*","*",34,0,25,330,401
"Salisbury School District","=""1220011""",0,"*",11,31,"*",16,233,296
"Scotland School District","=""1230011""",0,0,0,"*",0,"*",86,97
"Seymour School District","=""1240011""","*",76,150,472,0,"*",1391,2133
"Sharon School District","=""1250011""",0,"*",0,6,"*","*",85,97
"Shelton School District","=""1260011""","*",228,371,1039,"*",195,2671,4512
"Sherman School District","=""1270011""",0,"*","*",22,0,16,219,265
"Side By Side Charter School District","=""2700013""",0,6,60,136,0,10,24,236
"Simsbury School District","=""1280011""","*",270,235,461,"*",218,2938,4125
"Somers School District","=""1290011""","*","*",32,74,0,27,1195,1345
"South Windsor School District","=""1320011""","*",1501,291,513,"*",236,2330,4877
"Southington School District","=""1310011""","*",275,160,754,"*",308,4777,6284
"Sprague School District","=""1330011""","*","*",7,49,"*",40,174,276
"Stafford School District","=""1340011""","*",11,"*",122,0,50,1204,1401
