"Student Counts by District and Race"
"All Districts"
"2009-10"

"",,"Race",,,,,,
"District","District Code","Black, not of Hispanic Origin","Hispanic/Latino","White, not of Hispanic Origin","Total","American Indian","Asian","Not Reported"
"Tolland School District","=""1420011""",63,59,2934,3168,"*",103,"*"
"Torrington School District","=""1430011""",297,691,3596,4746,11,151,0
"Trailblazers Academy District","=""2780013""",100,"*","*",165,0,0,0
"Trumbull School District","=""1440011""",306,435,5859,7039,13,426,0
"Unified School District #1","=""3360015""",513,320,154,990,"*","*",0
"Unified School District #2","=""3470015""",121,"*",107,330,0,"*",0
"Union School District","=""1450011""","*",0,"*","*",0,0,0
"Vernon School District","=""1460011""",470,393,2608,3701,21,209,0
"Voluntown School District","=""1470011""",9,11,266,303,11,6,0
"Wallingford School District","=""1480011""",195,703,5485,6701,"*",308,"*"
"Waterbury School District","=""1510011""",5133,8098,4652,18260,57,320,0
"Waterford School District","=""1520011""",128,186,2372,2890,29,175,0
"Watertown School District","=""1530011""",72,129,2956,3250,21,72,0
"West Hartford School District","=""1550011""",1005,1507,6536,10237,"*",1156,"*"
"West Haven School District","=""1560011""",1561,1644,2824,6303,"*",246,"*"
"Westbrook School District","=""1540011""","*",42,902,976,"*",19,0
"Weston School District","=""1570011""","*",53,2369,2572,"*",100,0
"Westport School District","=""1580011""",99,164,5204,5738,12,259,0
"Wethersfield School District","=""1590011""",199,498,2959,3833,11,166,0
"Willington School District","=""1600011""","*",28,502,545,0,"*",0
"Wilton School District","=""1610011""","*",84,3967,4358,"*",254,0
"Winchester School District","=""1620011""",42,81,815,972,12,22,0
"Windham School District","=""1630011""",232,2117,1077,3493,26,41,0
"Windsor Locks School District","=""1650011""",181,"*",1348,1815,"*",158,0
"Windsor School District","=""1640011""",1954,446,1192,3797,17,188,0
"Wolcott School District","=""1660011""",64,102,2536,2763,"*","*",0
"Woodbridge School District","=""1670011""","*",28,592,733,"*",87,0
"Woodstock School District","=""1690011""",10,28,856,923,7,22,0
"Total","=""""",79140,100343,361438,567792,2181,24671,19

