District,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Southington School District,2023,Math,High Needs,152.0,141.0,92.8,139.0,18.0,440.0
Sprague School District,2023,Math,High Needs,,,,,,
Stafford School District,2023,Math,Non-High Needs,65.0,65.0,100.0,65.0,53.8,531.0
Stafford School District,2023,Math,High Needs,35.0,33.0,94.3,33.0,36.4,474.0
Stamford School District,2023,Math,Non-High Needs,455.0,437.0,96.0,435.0,50.3,542.0
Stamford School District,2023,Math,High Needs,678.0,579.0,85.4,578.0,13.3,425.0
Stonington School District,2023,Math,Non-High Needs,99.0,98.0,99.0,98.0,,530.0
Stonington School District,2023,Math,High Needs,39.0,37.0,94.9,37.0,24.3,463.0
Stratford School District,2023,Math,Non-High Needs,284.0,276.0,97.2,276.0,,482.0
Stratford School District,2023,Math,High Needs,283.0,267.0,94.3,266.0,20.3,441.0
Suffield School District,2023,Math,Non-High Needs,144.0,144.0,100.0,144.0,54.9,537.0
Suffield School District,2023,Math,High Needs,53.0,50.0,94.3,50.0,14.0,446.0
The Bridge Academy District,2023,Math,Non-High Needs,,,,,,
The Bridge Academy District,2023,Math,High Needs,,,,,,425.0
The Gilbert School District,2023,Math,Non-High Needs,26.0,26.0,100.0,26.0,42.3,493.0
The Gilbert School District,2023,Math,High Needs,37.0,37.0,100.0,36.0,,435.0
The Woodstock Academy District,2023,Math,Non-High Needs,210.0,207.0,98.6,207.0,,495.0
The Woodstock Academy District,2023,Math,High Needs,22.0,21.0,95.5,21.0,,400.0
Thomaston School District,2023,Math,Non-High Needs,24.0,24.0,100.0,24.0,,507.0
Thomaston School District,2023,Math,High Needs,19.0,18.0,,18.0,,
Thompson School District,2023,Math,Non-High Needs,27.0,26.0,96.3,26.0,,479.0
Thompson School District,2023,Math,High Needs,36.0,24.0,66.7,24.0,,427.0
Tolland School District,2023,Math,Non-High Needs,147.0,147.0,100.0,147.0,,577.0
Tolland School District,2023,Math,High Needs,44.0,39.0,88.6,38.0,18.4,447.0
Torrington School District,2023,Math,Non-High Needs,93.0,86.0,92.5,86.0,27.9,463.0
Torrington School District,2023,Math,High Needs,148.0,124.0,83.8,123.0,8.9,403.0
Trumbull School District,2023,Math,Non-High Needs,367.0,365.0,99.5,365.0,68.2,566.0
Trumbull School District,2023,Math,High Needs,176.0,169.0,96.0,169.0,43.8,503.0
Unified School District #2,2023,Math,High Needs,15.0,13.0,,13.0,,
Vernon School District,2023,Math,Non-High Needs,111.0,108.0,97.3,108.0,,495.0
Vernon School District,2023,Math,High Needs,130.0,121.0,93.1,118.0,11.0,420.0
Wallingford School District,2023,Math,Non-High Needs,242.0,239.0,98.8,239.0,,508.0
Wallingford School District,2023,Math,High Needs,158.0,146.0,92.4,144.0,12.5,430.0
Waterbury School District,2023,Math,Non-High Needs,175.0,171.0,97.7,168.0,20.8,452.0
Waterbury School District,2023,Math,High Needs,990.0,947.0,95.7,918.0,6.5,396.0
Waterford School District,2023,Math,Non-High Needs,108.0,107.0,99.1,107.0,,552.0
Waterford School District,2023,Math,High Needs,63.0,62.0,98.4,61.0,24.6,461.0
Watertown School District,2023,Math,Non-High Needs,115.0,114.0,99.1,113.0,37.2,503.0
Watertown School District,2023,Math,High Needs,70.0,63.0,90.0,60.0,10.0,432.0
West Hartford School District,2023,Math,Non-High Needs,469.0,466.0,99.4,466.0,73.2,588.0
West Hartford School District,2023,Math,High Needs,261.0,232.0,88.9,230.0,27.4,460.0
West Haven School District,2023,Math,Non-High Needs,167.0,166.0,99.4,164.0,19.5,452.0
West Haven School District,2023,Math,High Needs,264.0,240.0,90.9,233.0,12.0,412.0
Westbrook School District,2023,Math,Non-High Needs,28.0,28.0,100.0,28.0,,512.0
Westbrook School District,2023,Math,High Needs,22.0,20.0,90.9,20.0,,462.0
Weston School District,2023,Math,Non-High Needs,156.0,154.0,98.7,153.0,,586.0
Weston School District,2023,Math,High Needs,25.0,18.0,72.0,18.0,,
Westport School District,2023,Math,Non-High Needs,339.0,338.0,99.7,337.0,,641.0
Westport School District,2023,Math,High Needs,76.0,75.0,98.7,74.0,,485.0
Wethersfield School District,2023,Math,Non-High Needs,184.0,184.0,100.0,184.0,44.6,518.0
Wethersfield School District,2023,Math,High Needs,84.0,80.0,95.2,80.0,7.5,408.0
Wilton School District,2023,Math,Non-High Needs,250.0,246.0,98.4,246.0,87.0,624.0
Wilton School District,2023,Math,High Needs,66.0,65.0,98.5,65.0,,514.0
