District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Achievement First Hartford Academy District,2880013,2021,15673166.0,13465.0,1164.0,1164.0,19.0,1560689.0,0.0,0.0,10038109.0,,45868.0,821.0,0.0,197049.0,2415244.0,1415385.0,1341.0,0.0,0.0,8624.0,,39.0,43.0,0.0,169.0,2075.0,1216.0,270.973,1.1881700390813843,15998.70957623084,18622386.258749023,1854363.9101238865,0.0,0.0,11926980.362833196,,54498.98335258493,975.4876020858165,0.0,234127.7180309477,2869720.557871079,1681718.0507652052,1593.3360224081364,0.0,0.0,10246.778417037858,,46.33863152417399,51.09131168049952,0.0,200.80073660475395,2465.4528310938726,1444.8147675229634
Amistad Academy District,2790013,2021,15211817.0,13414.0,1134.0,1134.0,79.0,1421967.0,0.0,0.0,8590378.0,,766672.0,161341.0,0.0,276518.0,2427660.0,1567281.0,1254.0,0.0,0.0,7575.0,,676.0,2042.0,0.0,244.0,2141.0,1382.0,270.973,1.1881700390813843,15938.112904237689,18074225.199388865,1689538.5859624387,0.0,0.0,10206829.763983864,,910936.700202603,191700.54227542962,0.0,328550.40286670625,2884472.8770763134,1862196.327021511,1489.965229008056,0.0,0.0,9000.388046041486,,803.2029464190158,2426.2432198041865,0.0,289.91348953585776,2543.872053673244,1642.050994010473
Andover School District,0010011,2021,4335305.0,24220.0,179.0,173.0,145.0,204416.0,25487.0,0.0,2738565.0,,517320.0,104027.0,145078.0,224074.0,219824.0,156515.0,1182.0,147.0,0.0,15299.0,,2990.0,717.0,839.0,1295.0,1271.0,905.0,270.973,1.1881700390813843,28777.47834655113,5151079.511279721,242880.96670886024,30282.88978606724,0.0,3253880.8830769113,,614664.1246175817,123601.76465551916,172377.33292984907,266238.0133371221,261188.29067102622,185966.43366682285,1404.4169861941962,174.6609957449635,0.0,18177.813427906098,,3552.628416853339,851.9179180213525,996.8746627892814,1538.6802006103926,1510.1641196724395,1075.2938853686528
Ansonia School District,0020011,2021,43125523.0,17747.0,2430.0,2217.0,2337.0,1711168.0,293587.0,0.0,29693706.0,,4921418.0,2011403.0,371484.0,447081.0,2009799.0,1665876.0,772.0,132.0,0.0,12220.0,,2220.0,861.0,168.0,202.0,907.0,751.0,270.973,1.1881700390813843,21086.45368357733,51240454.348315135,2033158.5494348141,348831.27726378635,0.0,35281171.81849114,,5847481.417395828,2389888.7811184134,441386.158798109,531208.2492425444,2387982.956375727,1979343.9520247402,917.2672701708286,156.83844515874273,0.0,14519.437877574515,,2637.737486760673,1023.0144036490719,199.61256656567255,240.01034789443963,1077.6702254468155,892.3156993501196
Area Cooperative Educational Services,2440014,2021,84447804.0,39628.0,2131.0,2131.0,1964.0,5350263.0,0.0,0.0,41145905.0,,6933327.0,3812853.0,4221451.0,2510329.0,4256259.0,16217419.0,2511.0,0.0,0.0,19308.0,,3254.0,1941.0,1981.0,1178.0,1997.0,7610.0,270.973,1.1881700390813843,47084.802308717095,100338350.57901709,6357022.197805684,0.0,0.0,48888331.55188893,,8237971.412554017,4530317.698021573,5015801.599650149,2982697.7060371325,5057159.422370493,19269051.367029183,2983.494968133356,0.0,0.0,22941.18711458337,,3866.3053071708246,2306.238045856967,2353.7648474202224,1399.6643060378708,2372.7755680455243,9041.973997409335
Ashford School District,0030011,2021,8269125.0,21992.0,376.0,370.0,370.0,603167.0,0.0,24350.0,4845603.0,,665526.0,445479.0,478289.0,298444.0,402691.0,505578.0,1630.0,0.0,66.0,12887.0,,1799.0,1204.0,1293.0,807.0,1088.0,1366.0,270.973,1.1881700390813843,26130.235499477803,9825126.574418852,716664.9579626013,0.0,28931.940451631708,5757400.305882873,,790758.0534296774,529304.800839936,568288.6598221962,354602.2191436046,478465.3812077217,600712.6320186881,1936.7171637026563,0.0,78.41922257937136,15311.947293641799,,2137.5179003074104,1430.5567270539866,1536.30386053223,958.8532215386771,1292.7290025205461,1623.0402733851708
Avon School District,0040011,2021,62306506.0,19428.0,3207.0,3107.0,3004.0,3373443.0,1143338.0,148156.0,40091781.0,,5309138.0,2671182.0,1308879.0,949379.0,3213016.0,4098193.0,1086.0,368.0,48.0,12501.0,,1709.0,889.0,421.0,306.0,1034.0,1319.0,270.973,1.1881700390813843,23083.767519273133,74030723.66904451,4008223.901148822,1358479.9561432318,176034.52031014158,47635852.9976123,,6308158.704948463,3173818.4213334904,1555170.8125828032,1128023.6835330455,3817609.346289113,4869350.136973056,1290.3526624423835,437.2465743819494,57.032161875906446,14853.313658556384,,2030.5825967900857,1056.2831647433507,500.21958645326276,363.5800319589036,1228.5678204101514,1567.196281548346
Barkhamsted School District,0050011,2021,4381913.0,21271.0,206.0,202.0,184.0,107623.0,0.0,0.0,2652956.0,,412734.0,297914.0,217892.0,274371.0,265015.0,153409.0,533.0,0.0,0.0,12878.0,,2043.0,1619.0,1079.0,1358.0,1312.0,759.0,270.973,1.1881700390813843,25273.564901300124,5206457.740461226,127874.42411605582,0.0,0.0,3152162.834201193,,490398.1729102161,353972.4890228915,258892.746155521,325999.4017927985,314882.88290715305,182275.9775254361,633.2946308303779,0.0,0.0,15301.253763290068,,2427.4313898432683,1923.647293272761,1282.0354721688136,1613.5349130725199,1558.879091274776,901.8210596627707
Berlin School District,0070011,2021,54475266.0,19421.0,2805.0,2692.0,2228.0,6002301.0,896763.0,5079.0,36245635.0,,2542364.0,2465721.0,1123324.0,1315933.0,2435588.0,1442558.0,2230.0,333.0,2.0,12922.0,,944.0,1107.0,417.0,489.0,905.0,536.0,270.973,1.1881700390813843,23075.450328999563,64725878.93218881,7131754.213748232,1065506.9287567395,6034.715628494351,43065977.55447959,,3020760.7332391045,2929695.8169337898,1334699.920981057,1563552.1640384833,2893892.689146151,1714004.1952371637,2649.619187151487,395.66062301410096,2.3763400781627686,15353.533245009648,,1121.6325168928267,1315.3042332630923,495.4669062969372,581.0151491107969,1075.2938853686528,636.859140947622
Bethany School District,0080011,2021,7416274.0,19724.0,376.0,369.0,165.0,0.0,20926.0,0.0,4601710.0,,897670.0,369509.0,783867.0,93991.0,307311.0,341290.0,0.0,57.0,0.0,12239.0,,2433.0,2239.0,2124.0,255.0,833.0,925.0,270.973,1.1881700390813843,23435.465850841225,8811794.568418255,0.0,24863.646237817047,0.0,5467613.950541197,,1066584.5989821863,439039.5229709232,931367.2840246075,111677.29014329839,365137.7228801393,405510.5526380857,0.0,67.7256922276389,0.0,14542.013108317062,,2890.817705085008,2660.3127175032196,2523.6731630088602,302.983359965753,989.7456425547931,1099.0572861502806
Bethel School District,0090011,2021,53939611.0,17266.0,3124.0,3080.0,3159.0,2435562.0,0.0,0.0,32399361.0,,4651417.0,2449498.0,574533.0,4865057.0,2775716.0,3788467.0,791.0,0.0,0.0,10371.0,,1510.0,775.0,187.0,1580.0,901.0,1230.0,270.973,1.1881700390813843,20514.943894779182,64089429.70990466,2893861.7967251344,0.0,0.0,38495950.02558188,,5526674.318673816,2910420.1343897725,682642.897063545,5780514.965823162,3298022.588198824,4501342.983448534,939.842500913375,0.0,0.0,12322.511475313036,,1794.1367590128903,920.8317802880729,222.18779730821888,1877.3086617485872,1070.5412052123272,1461.4491480701026
Bloomfield School District,0110011,2021,57543688.0,21496.0,2677.0,2060.0,1802.0,2299764.0,507639.0,0.0,35678900.0,,6294891.0,2428270.0,2207514.0,1140051.0,3226345.0,3760317.0,1116.0,246.0,0.0,13328.0,,3056.0,1348.0,1072.0,553.0,1566.0,1825.0,270.973,1.1881700390813843,25540.903160093436,68371686.01984699,2732510.6817579605,603161.4504692348,0.0,42392600.007380806,,7479400.885483054,2885197.660800153,2622901.995652703,1354574.4412247713,3833446.4647400286,4467895.996848394,1325.9977636148249,292.28982961402056,0.0,15835.93028087669,,3631.0476394327106,1601.653212681706,1273.718281895244,657.0580316120055,1860.674281201448,2168.410321323526
Bolton School District,0120011,2021,14943646.0,19183.0,779.0,749.0,660.0,656693.0,191548.0,0.0,8543272.0,,1564263.0,555714.0,608792.0,577572.0,1242047.0,1003745.0,877.0,256.0,0.0,10967.0,,2088.0,842.0,813.0,771.0,1658.0,1340.0,270.973,1.1881700390813843,22792.665859698194,17755592.45183837,780262.9474744715,227591.594645961,0.0,10150859.826122897,,1858610.4298435634,660282.7250980724,723348.4144324341,686253.7458123133,1475763.0325309162,1192619.7358777442,1042.025124274374,304.1715300048344,0.0,13030.660818605542,,2480.8990416019305,1000.4391729065255,965.9822417731655,916.0791001317473,1969.9859247969353,1592.147852369055
Booker T. Washington Academy District,2950013,2021,6519921.0,13583.0,480.0,480.0,210.0,0.0,0.0,0.0,3592527.0,,1065709.0,19123.0,0.0,504440.0,752342.0,585780.0,0.0,0.0,0.0,7484.0,,2220.0,91.0,0.0,1051.0,1567.0,1220.0,270.973,1.1881700390813843,16138.913640842444,7746774.7893775385,0.0,0.0,0.0,4268532.945990928,,1266243.504179383,22721.375657353314,0.0,599360.4945142135,893910.2235425669,696006.2454930933,0.0,0.0,0.0,8892.26457248508,,2637.737486760673,108.12347355640597,0.0,1248.766711074535,1861.8624512405293,1449.5674476792888
Bozrah School District,0130011,2021,6560823.0,25041.0,262.0,173.0,261.0,148422.0,0.0,84737.0,4278096.0,,742565.0,345533.0,251276.0,52589.0,203391.0,454214.0,858.0,0.0,490.0,16329.0,,4292.0,1324.0,1452.0,304.0,1176.0,2626.0,270.973,1.1881700390813843,29752.965948636946,7795373.320316045,176350.5735405372,0.0,100681.96460163927,5083105.4915139135,,882293.4850704682,410551.95811390795,298558.6147402139,62484.67418525092,241663.09241880183,539683.4661313118,1019.4498935318277,0.0,582.2033191498783,19401.628568159926,,5099.625807737301,1573.137131743753,1725.22289674617,361.20369188074085,1397.287965959708,3120.1345226277153
Branford School District,0140011,2021,59717022.0,22399.0,2666.0,2579.0,2640.0,1581803.0,885175.0,0.0,33926733.0,,6262127.0,2357798.0,1820749.0,5280589.0,2849409.0,4752638.0,613.0,343.0,0.0,12726.0,,2428.0,893.0,706.0,2048.0,1105.0,1843.0,270.973,1.1881700390813843,26613.82070538393,70953976.36356388,1879450.932329051,1051738.4143438644,0.0,40310727.67451369,,7440471.682322592,2801464.94180601,2163359.4104873915,6274237.638502728,3385582.402888848,5646942.0781996725,728.3482339568885,407.54232340491484,0.0,15120.651917349696,,2884.876854889601,1061.0358448996762,838.8480475914573,2433.372240038675,1312.9278931849296,2189.7973820269913
Brass City Charter School District,2900013,2021,4740683.0,13132.0,361.0,361.0,360.0,136025.0,0.0,0.0,3040744.0,,357384.0,322579.0,199909.0,76445.0,317207.0,290390.0,377.0,0.0,0.0,8423.0,,990.0,896.0,554.0,212.0,879.0,804.0,270.973,1.1881700390813843,15603.04895321674,5632737.505382454,161620.8295660453,0.0,0.0,3612920.9173164847,,424632.96124706144,383278.70303683385,237525.88434272044,90829.65863757642,376895.8535868887,345032.69764884317,447.9401047336819,0.0,0.0,10007.9562391825,,1176.2883386905705,1064.6003550169203,658.246201651087,251.89204828525348,1044.4014643525368,955.2887114214329
Bridgeport School District,0150011,2021,334892993.0,16439.0,20372.0,19656.0,11705.0,15783667.0,520076.0,0.0,227133205.0,,30595873.0,20956042.0,1811873.0,5136478.0,16593893.0,16361887.0,803.0,26.0,0.0,11149.0,,1557.0,1790.0,92.0,261.0,844.0,832.0,270.973,1.1881700390813843,19532.327272458875,397909820.5808918,18753680.236237556,617938.72124529,0.0,269872869.06153005,,36353099.61813907,24899341.242131133,2152813.213220505,6103009.26600067,19716366.49432231,19440703.916235194,954.1005413823516,30.892421016115993,0.0,13246.907765718353,,1849.9807508497154,2126.824369955678,109.31164359548735,310.1123802002413,1002.8155129846883,988.5574725157118
Bristol School District,0170011,2021,139267998.0,17292.0,8054.0,7613.0,3055.0,6723822.0,2067506.0,0.0,89937050.0,,12237950.0,7188569.0,1643022.0,6130117.0,7187104.0,6152859.0,883.0,272.0,0.0,11167.0,,1608.0,2353.0,216.0,805.0,944.0,808.0,270.973,1.1881700390813843,20545.8363157953,165474062.62644616,7989043.848516271,2456548.6848209966,0.0,106860508.2133644,,14540765.529776027,8541242.309669228,1952189.5139515742,7283621.355463458,8539501.640561974,7310642.718492247,1049.1541445088624,323.18225063013654,0.0,13268.29482642182,,1910.5774228428659,2795.764101958497,256.644728441579,956.4768814605144,1121.6325168928267,960.0413915777585
Brookfield School District,0180011,2021,48132354.0,18322.0,2627.0,2548.0,2649.0,1519077.0,701845.0,0.0,29922268.0,,3132595.0,2997837.0,1225582.0,2207378.0,2926666.0,3499106.0,596.0,275.0,0.0,11390.0,,1229.0,1132.0,481.0,866.0,1149.0,1373.0,270.973,1.1881700390813843,21769.651456049123,57189420.933259025,1804921.778457632,833911.2010790742,0.0,35552742.33896366,,3722055.5235761493,3561940.1054496197,1456199.8128374412,2622740.404527388,3477376.8555981587,4157532.912769906,708.149343292505,326.7467607473807,0.0,13533.256745136967,,1460.2609780310213,1345.008484240127,571.5097887981458,1028.9552538444789,1365.2073749045105,1631.3574636587407
Brooklyn School District,0190011,2021,20296021.0,17215.0,1179.0,816.0,1172.0,511101.0,0.0,0.0,15500739.0,,997209.0,1027252.0,535029.0,84740.0,781698.0,858252.0,626.0,0.0,0.0,13147.0,,1222.0,876.0,656.0,104.0,958.0,1052.0,270.973,1.1881700390813843,20454.34722278603,24115124.064766597,607274.8951445346,0.0,0.0,18417513.66342034,,1184853.856502308,1220550.0489864303,635705.4278396739,100685.5291117565,928790.1432098399,1019749.3123816763,743.7944444649465,0.0,0.0,15620.871503802959,,1451.9437877574517,1040.8369542352928,779.439545637388,123.56968406446397,1138.2668974399662,1249.9548811136162
Canaan School District,0210011,2021,2389649.0,34138.0,70.0,68.0,104.0,31002.0,797.0,0.0,1395125.0,,272032.0,150096.0,52104.0,85581.0,213677.0,189235.0,456.0,12.0,0.0,19930.0,,4000.0,1443.0,766.0,1259.0,3142.0,2783.0,270.973,1.1881700390813843,40561.748794160296,2839309.345720791,36835.647551601076,946.9715211478633,0.0,1657645.7257734162,,323220.27207138715,178339.57018595946,61908.41171629645,101684.78011462395,253884.60944079296,224843.35734556575,541.8055378211112,14.258040468976612,0.0,23680.22887889199,,4752.680156325538,1714.5293663944376,910.1382499363403,1495.906079203463,3733.2302627937092,3306.6772187634924
Canterbury School District,0220011,2021,12329287.0,19727.0,625.0,428.0,653.0,255321.0,0.0,61911.0,8883428.0,,1101220.0,709878.0,221290.0,68846.0,506937.0,520458.0,597.0,0.0,145.0,14213.0,,2573.0,1087.0,517.0,161.0,1184.0,1216.0,270.973,1.1881700390813843,23439.03036095847,14649289.416635603,303364.7625482981,0.0,73560.79528956758,10555022.993936663,,1308436.610437202,843455.7710030149,262930.14794831956,81800.75451059698,602327.3551017997,618392.6022002191,709.3375133315865,0.0,172.28465566680072,16887.460765463715,,3057.161510556402,1291.5408324814648,614.2839102050757,191.29537629210287,1406.793326272359,1444.8147675229634
Canton School District,0230011,2021,29572187.0,19165.0,1543.0,1500.0,717.0,1836855.0,564701.0,22233.0,17374703.0,,2422407.0,1459019.0,599380.0,544345.0,1568624.0,3179920.0,1225.0,376.0,15.0,11260.0,,1615.0,2035.0,400.0,363.0,1046.0,2120.0,270.973,1.1881700390813843,22771.278798994732,35136786.58351201,2182496.077136836,670960.8092392968,26416.584478896417,20644101.542537443,,2878231.419861019,1733562.6622504822,712165.3580246001,646774.4199237562,1863792.0393839974,3778285.6706756754,1455.5082978746957,446.7519346946005,17.822550586220764,13378.794640056387,,1918.8946131164357,2417.926029530617,475.2680156325537,431.3057241865425,1242.825860879128,2518.920482852535
Capital Preparatory Harbor School District,2970013,2021,10171570.0,12957.0,785.0,785.0,487.0,1439400.0,0.0,0.0,5017738.0,,1452886.0,291395.0,433648.0,410858.0,805685.0,319960.0,1834.0,0.0,0.0,6392.0,,1851.0,598.0,552.0,523.0,1026.0,408.0,270.973,1.1881700390813843,15395.119196377496,12085554.724419037,1710251.9542537446,0.0,0.0,5961925.955560147,,1726275.615400796,346226.80853811995,515247.56110756414,488169.1659168994,957290.7779372851,380166.8857044797,2179.1038516752587,0.0,0.0,7594.782889808209,,2199.3027423396425,710.5256833706678,655.8698615729242,621.412930439564,1219.0624600975002,484.7733759452048
Capitol Region Education Council,2410014,2021,232429801.0,25601.0,9079.0,9079.0,6477.0,13084513.0,0.0,0.0,111784765.0,,29383601.0,22451926.0,6332269.0,8895178.0,18353171.0,22144378.0,1441.0,0.0,0.0,12312.0,,3236.0,3466.0,697.0,980.0,2021.0,2439.0,270.973,1.1881700390813843,30418.34117052252,276166125.7378484,15546626.32257088,0.0,0.0,132819308.59875336,,34912714.34852181,26676705.792872347,7523812.305203838,10568983.99189587,21806687.904337328,26311286.473692946,1712.1530263162747,0.0,0.0,14628.749521170004,,3844.9182464673595,4118.197355456078,828.1545172397249,1164.4066382997567,2401.2916489834774,2897.946725319496
Chaplin School District,0240011,2021,4128464.0,28670.0,144.0,130.0,196.0,107918.0,0.0,0.0,2348120.0,,445529.0,246472.0,145413.0,448775.0,194968.0,191269.0,830.0,0.0,0.0,16306.0,,3427.0,1258.0,1119.0,3452.0,1500.0,1471.0,270.973,1.1881700390813843,34064.83502046329,4905317.232226088,128224.93427758483,0.0,0.0,2789965.83216778,,529364.2093418901,292850.64587246696,172775.36989294132,533221.0092887483,231655.13617961932,227260.0952050573,986.181132437549,0.0,0.0,19374.300657261054,,4071.858723931904,1494.7179091643814,1329.5622737320691,4101.5629749089385,1782.2550586220764,1747.7981274887163
Cheshire School District,0250011,2021,76483030.0,18372.0,4163.0,4109.0,2795.0,2356450.0,979993.0,0.0,47205920.0,,7877680.0,3789464.0,886207.0,3431771.0,3583194.0,6372352.0,573.0,238.0,0.0,11339.0,,1917.0,1356.0,216.0,835.0,872.0,1551.0,270.973,1.1881700390813843,21829.059958003192,90874844.7441627,2799863.288593328,1164398.321109483,0.0,56088659.8112727,,9360023.35347064,4502527.588977499,1052964.6058241962,4077527.4831883614,4257443.755016182,7571437.724880338,680.8214323936332,282.7844693013695,0.0,13472.660073143816,,2277.7219649190138,1611.1585729943572,256.644728441579,992.1219826329559,1036.0842740789672,1842.851730615227
Chester School District,0260011,2021,5042022.0,23561.0,214.0,201.0,204.0,53149.0,0.0,78560.0,3218847.0,,461959.0,128986.0,250474.0,73024.0,457563.0,319460.0,264.0,0.0,391.0,15041.0,,2298.0,632.0,1246.0,363.0,2276.0,1589.0,270.973,1.1881700390813843,27994.474290796494,5990779.4767892,63150.049407136496,0.0,93342.63827023355,3824537.5657869964,,548885.8430839973,153257.30066095144,297605.70236887067,86764.92893387901,543662.6475921954,379572.800684939,313.67689031748546,0.0,464.57448528082125,17871.265557823102,,2730.414749809021,750.9234646994349,1480.4598686954048,431.3057241865425,2704.2750089492306,1888.0021921003197
Clinton School District,0270011,2021,34024910.0,21453.0,1586.0,1563.0,1458.0,1835960.0,0.0,8162.0,21384292.0,,1974240.0,1555590.0,2369856.0,858733.0,1250360.0,2787716.0,1175.0,0.0,5.0,13483.0,,1263.0,1067.0,1516.0,549.0,800.0,1784.0,270.973,1.1881700390813843,25489.811848412937,40427378.644440584,2181432.664951858,0.0,9697.843858982258,25408175.061367735,,2345732.817956032,1848305.4310946106,2815791.896137253,1020320.8221704743,1485640.2900657996,3312280.6286678,1396.0997959206265,0.0,5.940850195406922,16020.096636934304,,1500.6587593597883,1267.777431699837,1801.2657792473785,652.30535145568,950.5360312651075,2119.69534972119
Colchester School District,0280011,2021,43116230.0,19002.0,2269.0,2185.0,2225.0,1027648.0,602833.0,43304.0,26399966.0,,4069786.0,2257444.0,1796111.0,1113799.0,2505360.0,3299978.0,470.0,276.0,20.0,11635.0,,1863.0,1015.0,822.0,510.0,1147.0,1510.0,270.973,1.1881700390813843,22577.607082624465,51229412.684141956,1221020.5643219063,716268.1091695481,51452.515372380265,31367648.633967217,,4835597.79067287,2682227.3257040363,2134085.277064504,1323382.6013588067,2976793.689112937,3920934.9892277084,558.4399183682506,327.9349307864621,23.763400781627688,13824.358404711906,,2213.560782808619,1205.992589667605,976.6757721248979,605.966719931506,1362.8310348263478,1794.1367590128903
Colebrook School District,0290011,2021,2183471.0,27639.0,79.0,75.0,82.0,66548.0,0.0,20389.0,1324473.0,,192964.0,130947.0,124037.0,47522.0,160247.0,116344.0,887.0,0.0,272.0,16765.0,,2573.0,1597.0,1654.0,634.0,2137.0,1551.0,270.973,1.1881700390813843,32839.83171017038,2594334.8234030693,79070.33976078796,0.0,24225.598926830346,1573699.1361722383,,229274.04342130024,155587.30210759002,147377.04713753765,56464.216597225546,190400.6842526746,138236.45502688456,1053.906824665188,0.0,323.18225063013654,19919.67070519941,,3057.161510556402,1897.5075524129707,1965.2332446406097,753.2998047775976,2539.119373516918,1842.851730615227
Columbia School District,0300011,2021,12778242.0,20219.0,632.0,400.0,612.0,135068.0,374786.0,0.0,7658786.0,,437397.0,656562.0,604439.0,113444.0,580242.0,2217519.0,338.0,937.0,0.0,12118.0,,1093.0,1073.0,1511.0,284.0,1451.0,5544.0,270.973,1.1881700390813843,24023.61002018651,15182724.296531387,160483.75083864442,445309.4962671557,0.0,9099940.06093596,,519702.01058408024,780107.2971993518,718176.3102523128,134790.76191354857,689426.1598166606,2634789.6368937124,401.6014732095079,1113.3153266192571,0.0,14398.244533588215,,1298.669852715953,1274.9064519343253,1795.3249290519716,337.44029109911315,1724.0347267070886,6587.214696667194
Common Ground High School District,2680013,2021,4529315.0,19192.0,236.0,236.0,236.0,0.0,0.0,0.0,1723479.0,,352690.0,63488.0,318567.0,444381.0,608460.0,1018251.0,0.0,0.0,0.0,7303.0,,1494.0,269.0,1350.0,1883.0,2578.0,4315.0,270.973,1.1881700390813843,22803.35939004993,5381596.3805619,0.0,0.0,0.0,2047786.110785945,,419055.69108361343,75434.53944119893,378511.76484003937,528000.1901370246,722953.9419794591,1209855.3304646586,0.0,0.0,0.0,8677.20579541135,,1775.126038387588,319.6177405128924,1604.0295527598687,2237.324183590247,3063.1023607518086,5126.953718636173
Connecticut Technical Education and Career System,9000016,2021,0.0,0.0,11394.0,11394.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,270.973,1.1881700390813843,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2021,34030308.0,35301.0,964.0,964.0,167.0,116749.0,85280.0,0.0,29464535.0,,0.0,186560.0,1027122.0,426616.0,1469912.0,1253535.0,121.0,88.0,0.0,30565.0,,0.0,1117.0,1065.0,443.0,1525.0,1300.0,270.973,1.1881700390813843,41943.590549611945,40433792.386311546,138717.66389271253,101327.14093286045,0.0,35008877.70246482,,0.0,221665.00249102304,1220395.5868813496,506892.34939274384,1746505.3984861958,1489412.729939883,143.7685747288475,104.55896343916181,0.0,36316.41724452251,,0.0,1327.1859336539062,1265.4010916216744,526.3593273130532,1811.959309599111,1544.6210508057995
Cornwall School District,0310011,2021,3035482.0,28106.0,108.0,104.0,112.0,42441.0,1102.0,0.0,1753698.0,,291427.0,153215.0,107821.0,208214.0,270590.0,206974.0,408.0,11.0,0.0,16238.0,,2802.0,1368.0,1037.0,2002.0,2602.0,1990.0,270.973,1.1881700390813843,33394.707118421386,3606668.7665708386,50427.12462865303,1309.3633830676854,0.0,2083691.4211969455,,346264.8299793706,182045.4725378543,128109.68178379393,247393.63651729136,321506.9308750318,245920.30566883044,484.7733759452048,13.069870429895227,0.0,19293.50509460352,,3329.252449506039,1625.4166134633338,1232.1323305273954,2378.7164182409315,3091.6184416897618,2364.458377771955
Coventry School District,0320011,2021,29561359.0,17628.0,1677.0,1602.0,1473.0,2338331.0,0.0,0.0,18735504.0,,2614880.0,1551864.0,601719.0,356621.0,1672177.0,1690263.0,1460.0,0.0,0.0,11172.0,,1632.0,1054.0,376.0,223.0,1044.0,1055.0,270.973,1.1881700390813843,20945.06144892664,35123921.07832883,2778334.8356552124,0.0,0.0,22260964.519889433,,3106922.07179313,1843878.3095289934,714944.4877460115,423726.3875072423,1986830.611440992,2008319.8547678178,1734.728257058821,0.0,0.0,13274.235676617225,,1939.0935037808192,1252.3312211917792,446.7519346946005,264.9619187151487,1240.4495208009653,1253.5193912308605
Cromwell School District,0330011,2021,35288174.0,16780.0,2103.0,1975.0,2019.0,744099.0,436727.0,134671.0,21577995.0,,3533157.0,1576787.0,1471555.0,490034.0,2402689.0,2920459.0,377.0,221.0,68.0,10261.0,,1789.0,781.0,745.0,248.0,1217.0,1479.0,270.973,1.1881700390813843,19937.49325578563,41928351.08069069,884116.137910419,518905.93665789574,160012.0473331291,25638327.162447914,,4197991.290770667,1873491.0714130187,1748457.5618604065,582243.7169312071,2854803.083030412,3470001.8841655804,447.9401047336819,262.58557863698593,80.79556265753413,12191.812771014083,,2125.6361999165965,927.9608005225612,885.1866791156313,294.6661696921833,1446.0029375620447,1757.3034878013673
Danbury School District,0340011,2021,166093362.0,13972.0,11888.0,11813.0,9063.0,6401248.0,1396431.0,0.0,120749880.0,,10786955.0,8127684.0,2868823.0,3658034.0,5750790.0,6353518.0,542.0,118.0,0.0,10157.0,,913.0,897.0,243.0,310.0,487.0,538.0,270.973,1.1881700390813843,16601.1117860451,197347156.41869852,7605771.086329633,1659197.4758444566,0.0,143471389.63867247,,12816736.743919134,9657070.615921142,3408649.536027574,4346366.400741032,6832916.379048834,7549059.730364279,643.9881611821103,140.20406461160334,0.0,12068.24308694962,,1084.7992456813038,1065.7885250560016,288.72531949677636,368.3327121152291,578.6388090326342,639.2354810257848
Darien School District,0350011,2021,108679886.0,23163.0,4692.0,4653.0,1375.0,4546373.0,1905170.0,592300.0,63985614.0,,10694721.0,3366907.0,3734009.0,4861338.0,5061590.0,9931863.0,977.0,409.0,127.0,13637.0,,2298.0,2449.0,802.0,1045.0,1088.0,2135.0,270.973,1.1881700390813843,27521.582615242103,129130184.39598039,5401864.185088551,2263665.913356681,703753.1141479039,76025789.48702636,,12707147.0685345,4000458.0217733863,4436637.619460241,5776096.161447818,6014029.588113944,11800742.048860954,1160.8421281825124,485.9615459842862,150.89759496333582,16203.074822952838,,2730.414749809021,2909.82842571031,952.9123713432703,1241.6376908400466,1292.7290025205461,2536.7430334387554
