"Smarter Balanced Assessments, Trend"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,"Year",,,,,,,,,
"",,,"2018-19",,"2021-22",,"2022-23",,"2023-24",,"2024-25",
"District","District Code","Subject","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%","Total Number with Scored Tests","Percentage Level 3 or 4 (Met or Exceeded)%"
,,"Math",2442,60.8,2331,47.1,2306,48.1,2230,52.9,2198,60.1
"Monroe School District","=""0850011""","ELA",1414,82.5,1492,75.8,1512,72.9,1506,73.6,1545,73.8
,,"Math",1410,73.3,1484,59.8,1507,64.4,1502,66.2,1539,63.4
"Montville School District","=""0860011""","ELA",964,62.6,960,51.6,942,51.3,933,50.1,973,49.0
,,"Math",960,57.9,958,39.5,943,44.5,928,44.7,971,46.1
"Naugatuck School District","=""0880011""","ELA",1951,54.9,1922,40.1,1907,39.5,1841,38.9,1818,42.7
,,"Math",1953,48.9,1917,32.6,1903,30.3,1840,30.6,1816,31.8
"New Beginnings Inc Family Academy District","=""2800013""","ELA",256,34.4,244,30.7,166,22.3,119,"*",118,29.7
,,"Math",256,21.5,242,12.4,166,15.1,119,16.8,118,21.2
"New Britain School District","=""0890011""","ELA",4654,20.2,4415,16.4,4371,15.9,4368,16.8,4422,17.0
,,"Math",4619,11.3,4382,7.5,4328,10.2,4303,12.5,4404,14.3
"New Canaan School District","=""0900011""","ELA",1967,89.6,1908,84.1,1927,83.3,1893,86.6,1836,87.6
,,"Math",1966,88.3,1908,82.0,1925,82.9,1890,83.9,1835,87.8
"New Fairfield School District","=""0910011""","ELA",959,73.4,949,67.1,938,64.9,934,65.4,916,67.1
,,"Math",956,67.3,948,63.5,935,67.2,933,64.1,915,66.0
"New Hartford School District","=""0920011""","ELA",258,64.0,252,55.6,244,57.8,244,64.8,235,64.7
,,"Math",258,56.6,250,49.2,243,49.8,244,51.6,235,54.9
"New Haven School District","=""0930011""","ELA",9116,34.4,8248,23.6,8023,22.1,7914,23.4,7691,23.8
,,"Math",9086,22.5,8179,11.5,7964,13.5,7848,14.4,7676,17.3
"New London School District","=""0950011""","ELA",1523,31.5,1378,20.8,1322,21.0,1295,20.5,1273,22.5
,,"Math",1519,23.0,1361,11.2,1315,12.3,1282,13.1,1267,12.5
"New Milford School District","=""0960011""","ELA",1744,55.7,1540,44.9,1545,40.0,1507,42.1,1519,44.5
,,"Math",1733,51.5,1525,34.6,1534,31.7,1500,32.7,1512,36.7
"Newington School District","=""0940011""","ELA",1885,56.3,1705,52.3,1718,51.3,1703,50.8,1692,55.2
,,"Math",1880,52.7,1692,42.3,1707,45.2,1695,46.5,1690,47.3
"Newtown School District","=""0970011""","ELA",1854,74.3,1734,71.7,1756,67.9,1745,66.4,1762,70.4
,,"Math",1854,67.4,1732,64.3,1753,64.9,1742,68.1,1763,71.5
"Norfolk School District","=""0980011""","ELA",53,60.4,45,46.7,35,"*",27,"*",31,45.2
,,"Math",53,56.6,42,"*",35,40.0,27,"*",31,54.8
"North Branford School District","=""0990011""","ELA",800,53.0,724,61.0,704,59.9,673,58.7,714,60.2
,,"Math",798,51.1,722,52.9,704,57.0,673,58.2,713,54.4
"North Canaan School District","=""1000011""","ELA",146,63.7,157,66.2,145,64.1,141,63.1,146,63.0
,,"Math",146,47.9,156,48.7,145,55.9,140,55.0,146,56.2
"North Haven School District","=""1010011""","ELA",1377,72.9,1391,65.7,1448,63.0,1431,66.7,1442,69.9
,,"Math",1374,65.1,1388,55.5,1443,58.4,1422,62.2,1439,62.8
"North Stonington School District","=""1020011""","ELA",342,80.1,344,69.8,330,65.2,311,65.3,305,66.2
,,"Math",342,78.4,344,67.2,330,71.5,310,69.0,304,70.7
"Norwalk School District","=""1030011""","ELA",5134,48.2,4865,40.3,4872,38.7,4741,38.7,4736,42.9
,,"Math",5131,40.6,4842,30.0,4856,32.4,4719,34.1,4725,36.8
"Norwich School District","=""1040011""","ELA",2131,35.1,2070,25.3,2077,24.9,2074,25.4,2009,27.5
,,"Math",2126,27.0,2051,16.4,2064,17.8,2059,19.0,2002,18.8
