year,leaid,grade,enrollment
2018,0905160,2,65
2018,0905190,2,281
2018,0905220,2,198
2018,0905250,2,100
2018,0905280,2,152
2018,0905310,2,114
2018,0905370,2,73
2018,0900007,3,69
2018,0900009,3,38
2018,0900010,3,33
2018,0900016,3,21
2018,0900024,3,92
2018,0900028,3,60
2018,0900030,3,22
2018,0900060,3,171
2018,0900070,3,100
2018,0900090,3,46
2018,0900120,3,225
2018,0900150,3,27
2018,0900207,3,40
2018,0900208,3,92
2018,0900210,3,188
2018,0900212,3,85
2018,0900214,3,66
2018,0900215,3,36
2018,0900216,3,18
2018,0900217,3,68
2018,0900220,3,56
2018,0900221,3,47
2018,0900240,3,46
2018,0900270,3,230
2018,0900330,3,141
2018,0900360,3,48
2018,0900390,3,12
2018,0900420,3,197
2018,0900450,3,1586
2018,0900510,3,569
2018,0900540,3,182
2018,0900570,3,91
2018,0900630,3,9
2018,0900660,3,43
2018,0900690,3,119
2018,0900700,3,592
2018,0900720,3,26
2018,0900750,3,292
2018,0900780,3,20
2018,0900810,3,108
2018,0900840,3,151
2018,0900870,3,12
2018,0900900,3,36
2018,0900910,3,69
2018,0900930,3,11
2018,0900960,3,112
2018,0900990,3,142
2018,0901020,3,914
2018,0901050,3,350
2018,0901080,3,37
2018,0901110,3,90
2018,0901170,3,53
2018,0901200,3,80
2018,0901230,3,155
2018,0901260,3,437
2018,0901290,3,189
2018,0901320,3,158
2018,0901350,3,75
2018,0901360,3,11
2018,0901380,3,12
2018,0901410,3,89
2018,0901440,3,191
2018,0901470,3,354
2018,0901500,3,41
2018,0901530,3,695
2018,0901560,3,300
2018,0901590,3,11
2018,0901620,3,391
2018,0901680,3,121
2018,0901710,3,684
2018,0901740,3,118
2018,0901770,3,312
2018,0901800,3,229
2018,0901860,3,379
2018,0901890,3,11
2018,0901920,3,1399
2018,0901950,3,12
2018,0902010,3,92
2018,0902040,3,23
2018,0902070,3,171
2018,0902130,3,70
2018,0902160,3,180
2018,0902190,3,42
2018,0902220,3,64
2018,0902280,3,160
2018,0902310,3,463
2018,0902340,3,113
2018,0902370,3,69
