"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*","*",0,10,0,130,143
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*",124,412,0,18,568
,,"Breakthrough Magnet School, South","=""0643311""","*","*",115,125,0,95,352
,,"Bulkeley High School","=""0647111""","*","*",135,389,0,37,570
,,"Bulkeley High School Lower School","=""0646111""","*","*",177,535,0,38,766
,,"Classical Magnet School","=""0646411""","*","*",349,176,0,167,713
,,"Dr. Joseph Bellizzi Middle School","=""0645311""","*","*",78,325,0,15,435
,,"Global Communications Academy","=""0643611""","*","*",266,106,0,"*",376
,,"HPHS Freshmen Academy","=""0647311""","*","*",119,241,0,7,373
,,"HPHS Law and Government Academy","=""0647411""","*",14,137,216,0,"*",371
,,"Hartford Magnet Trinity College Academy","=""0645411""","*","*",159,263,0,173,611
,,"Kennelly School","=""0641011""",6,8,204,537,0,40,795
,,"Kinsella Magnet School of Performing Arts: PK-8 Campus","=""0641111""","*","*",195,301,"*",116,618
,,"M. D. Fox School","=""0640811""","*","*",128,619,0,41,801
,,"M. L. King, Jr. Middle School","=""0641611""","*","*",437,70,0,0,512
,,"Milner Middle School","=""0641911""","*","*",218,174,0,6,400
,,"Naylor/CCSU Leadership Academy","=""0641411""","*","*",115,439,0,137,702
,,"Pathways Academy of Technology and Design","=""0646611""","*","*",169,112,0,59,351
,,"STEM Magnet at Annie Fisher School","=""0642511""","*",0,219,31,0,"*",253
,,"Simpson-Waverly School","=""0642611""","*","*",339,94,0,"*",437
,,"Sport and Medical Sciences Academy","=""0646511""","*","*",217,246,0,126,602
,,"University High School of Science and Engineering","=""0646711""","*","*",163,104,0,73,362
,,"Webster Micro Society Magnet School","=""0642011""","*","*",285,189,0,126,619
,,"West Middle School","=""0642111""","*",78,327,275,0,"*",698
,,"Betances Learning Lab Magnet School","=""0642811""",0,"*",58,274,0,"*",345
,,"Breakthrough Magnet School, North","=""0643511""",0,"*",80,43,0,"*",129
,,"Burns Latino Studies Academy","=""0640611""",0,"*",84,483,0,"*",584
,,"Burr Middle School","=""0642311""",0,20,125,450,0,30,625
,,"Capital Preparatory Magnet School","=""0646911""",0,6,164,74,0,32,276
,,"Clark School","=""0642411""",0,"*",247,161,0,"*",416
,,"Culinary Arts Academy at Weaver High School","=""0646011""",0,"*",199,64,0,"*",265
,,"Dwight-Bellizzi Dual Language Academy","=""0640711""",0,"*",70,230,0,"*",328
,,"Environmental Sciences Magnet at Hooker School","=""0640911""",0,6,55,264,0,20,345
,,"Expeditionary Learning Academy at Moylan School","=""0643211""",0,"*",88,512,0,"*",610
,,"HPHS Engineering and Green Technology Academy","=""0647211""",0,13,135,218,0,12,378
,,"HPHS Nursing and Health Sciences Academy","=""0647511""",0,10,166,212,0,6,394
,,"Hartford Transitional Learning Academy (Secondary)","=""0649111""",0,"*",27,45,0,"*",75
,,"High School, Inc.","=""0647611""",0,"*",103,89,0,"*",197
,,"Journalism and Media Academy","=""0647711""",0,"*",130,32,0,"*",165
,,"Montessori Magnet at Fisher School","=""0643711""",0,16,74,19,0,40,149
,,"Parkville Community School","=""0641511""",0,12,92,383,0,27,514
,,"Quirk Middle School","=""0645211""",0,"*",68,170,0,"*",243
,,"Rawson School","=""0641711""",0,"*",665,66,0,"*",734
,,"SAND School","=""0640111""",0,"*",128,275,0,"*",413
,,"Sanchez School","=""0643011""",0,"*",69,422,0,"*",493
,,"Weaver High School","=""0646311""",0,"*",303,30,0,"*",335
,,"Wish Museum School","=""0642211""",0,"*",220,198,0,"*",426
,,"Hartford Transitional Learning Academy (Elementary)","=""0649011""",0,0,12,23,0,0,35
,,"McDonough Middle School","=""0641211""",0,0,36,313,0,9,358
,,"OPPortunity High School","=""0647811""",0,0,33,57,0,0,90
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*",6,"*","*",0,214,227
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","*",11,"*",10,0,478,504
,,"Hebron Elementary School","=""0670111""","*",10,"*",8,0,645,668
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","*","*",46,33,0,228,330
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",8,13,20,20,0,441,502
,,"Killingly High School","=""0696111""",9,12,28,27,0,713,789
,,"Killingly Intermediate School","=""0695211""","*","*",31,26,0,714,790
,,"Killingly Memorial School","=""0690311""",6,10,16,32,0,438,502
,,"Goodyear Early Childhood Center","=""0698011""",0,"*","*","*",0,90,98
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","*","*",6,40,"*",17,67
,,"Learn Special Education","=""2459014""","*","*","*","*",0,28,33
,,"Regional Multicultural Magnet School","=""2450114""",7,28,88,143,0,258,524
,,"The Friendship School","=""2450214""",7,37,107,123,0,223,497
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",10,8,7,21,0,448,494
,,"Lebanon Middle School","=""0715111""","*","*",8,11,0,376,404
,,"Lyman Memorial High School","=""0716211""","*","*","*",12,0,531,549
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","*",13,13,"*",0,181,219
,,"Gallup Hill School","=""0720411""",24,23,28,35,0,238,348
,,"Juliet W. Long School","=""0720311""","*","*",17,22,0,261,315
,,"Ledyard Center School","=""0720111""",30,15,22,20,0,318,405
,,"Ledyard High School","=""0726111""",34,43,43,67,0,739,926
,,"Ledyard Middle School","=""0725111""",22,25,29,29,0,343,448
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","*",21,"*",13,0,496,545
,,"Community Connection - The Big Picture High School","=""0736011""",0,0,0,0,0,22,22
"Litchfield School District","=""0740011""","Center School","=""0740211""",0,"*","*",11,0,322,344
,,"Litchfield High School","=""0746111""","*",13,"*",12,0,536,568
,,"Litchfield Intermediate School","=""0740311""","*","*","*",14,0,265,289
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","*",50,16,"*",0,1181,1264
,,"Dr. Robert H. Brown Elementary School","=""0760611""","*",21,"*",11,0,548,587
,,"Island Avenue Elementary School","=""0760211""","*",13,"*",10,0,292,317
,,"Kathleen H. Ryerson Elementary School","=""0760311""","*",18,"*","*",0,285,311
,,"Town Campus Learning Center","=""0769011""","*","*",0,"*",0,25,29
,,"Walter C. Polson Middle School","=""0765211""","*",23,"*","*",0,574,608
,,"J. Milton Jeffrey Elementary School","=""0760111""",0,13,"*","*",0,524,548
"Manchester School District","=""0770011""","Bowers School","=""0770111""","*","*",87,93,0,225,431
,,"Buckley School","=""0770311""","*","*",48,49,0,222,345
,,"Elisabeth M. Bennet Academy","=""0771711""","*","*",99,123,0,195,452
,,"Highland Park School","=""0770411""","*",25,46,"*",0,184,278
,,"Illing Middle School","=""0775311""","*","*",232,207,0,456,949
,,"Keeney School","=""0770611""","*","*",61,48,0,256,401
,,"Manchester High School","=""0776111""",8,110,413,411,0,1036,1978
,,"Martin School","=""0771611""","*","*",39,38,0,151,260
,,"Robertson School","=""0771011""","*",72,110,73,"*",76,335
,,"Verplanck School","=""0771211""","*","*",100,101,0,58,291
,,"Washington School","=""0771411""","*","*",104,98,0,93,310
,,"Nathan Hale School","=""0770911""",0,6,114,94,0,46,260
,,"Manchester Head Start","=""0778011""",0,28,46,57,0,54,185
,,"Manchester Regional Academy","=""0779011""",0,"*",29,"*",0,46,98
,,"Waddell School","=""0771311""",0,41,62,49,0,159,311
"Mansfield School District","=""0780011""","Mansfield Elementary at Goodwin","=""0780211""","*",33,"*",15,0,141,196
,,"Mansfield Elementary at Vinton","=""0780411""","*",19,"*",17,0,228,274
,,"Mansfield Middle School","=""0785111""","*",47,"*",30,0,462,563
,,"Southeast Elementary School","=""0780511""","*",23,"*",15,0,187,238
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","*",29,"*",220,0,242,511
,,"Benjamin Franklin School","=""0800111""","*","*",56,178,0,201,458
,,"Francis T. Maloney High School","=""0806111""","*","*",182,497,0,519,1228
,,"Hanover School","=""0800311""","*","*",36,208,0,296,553
,,"Israel Putnam School","=""0800411""","*","*",92,257,0,173,544
,,"John Barry School","=""0800511""","*","*",68,346,0,102,522
,,"Lincoln Middle School","=""0805211""","*","*",96,304,0,331,742
,,"Nathan Hale School","=""0800711""","*",19,74,276,"*",238,610
,,"Orville H. Platt High School","=""0806211""","*","*",160,464,0,472,1114
,,"Roger Sherman School","=""0800811""","*","*",66,285,0,153,526
,,"Washington Middle School","=""0805411""","*","*",147,388,0,317,873
,,"Casimir Pulaski School","=""0801111""",0,17,134,318,0,211,680
"Middletown School District","=""0830011""","Beman Middle School","=""0835411""","*","*",191,99,0,421,744
,,"Bielefield School","=""0830211""","*","*",84,40,0,181,322
,,"Farm Hill School","=""0830511""","*","*",54,42,0,197,307
,,"Lawrence School","=""0831311""","*",58,76,"*",0,174,346
,,"Middletown High School","=""0836211""",7,62,342,140,0,773,1324
,,"Moody School","=""0831211""","*","*",72,67,0,270,438
,,"Wesley School","=""0831411""","*","*",86,39,0,226,372
,,"Keigwin Middle School","=""0831511""",0,17,95,69,0,188,369
,,"Snow School","=""0831111""",0,29,93,36,0,195,353
,,"Spencer School","=""0830111""",0,21,83,46,0,229,379
,,"DEAL Program","=""0839011""",0,0,7,"*",0,"*",16
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","*",16,"*",13,0,265,302
,,"East Shore Middle School","=""0845111""","*",25,"*",23,0,495,560
,,"Harborside Middle School","=""0845211""","*",38,"*",23,0,504,584
,,"J. F. Kennedy School","=""0841911""","*",23,"*",16,0,307,359
,,"Jonathan Law High School","=""0846211""","*","*",59,86,0,805,1006
,,"Joseph A. Foran High School","=""0846311""","*","*",42,48,0,919,1052
,,"Live Oaks School","=""0841611""","*",27,14,"*",0,274,328
,,"Mathewson School","=""0841711""","*",63,27,"*",0,388,488
,,"Orange Avenue School","=""0840811""","*",40,"*",15,0,398,469
,,"Pumpkin Delight School","=""0841011""","*","*",15,26,0,234,290
,,"Simon Lake School","=""0841411""","*",36,"*",41,0,253,359
,,"Meadowside School","=""0840711""",0,71,18,23,0,246,358
,,"Orchard Hills School","=""0841811""",0,30,13,17,0,354,414
,,"West Shore Middle School","=""0845311""",0,40,28,50,0,442,560
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""","*",20,"*",27,0,514,577
,,"Fawn Hollow Elementary School","=""0850511""","*",20,13,"*",0,487,530
,,"Jockey Hollow School","=""0855211""","*",21,"*",31,0,616,677
,,"Masuk High School","=""0856111""","*",42,"*",57,0,1164,1302
,,"Monroe Elementary School","=""0850111""","*","*","*",11,0,336,358
,,"Stepney Elementary School","=""0850311""",0,19,8,16,0,407,450
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",8,13,12,27,0,304,364
,,"Leonard J. Tyl Middle School","=""0865111""","*",53,39,36,"*",508,659
,,"Mohegan School","=""0860111""",29,80,29,29,0,245,412
,,"Montville High School","=""0866111""",22,64,43,46,0,617,792
,,"Oakdale School","=""0860511""",14,29,24,24,0,350,441
,,"The Palmer School","=""0869011""",0,"*","*",0,0,18,21
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","*",19,"*",40,0,160,227
,,"City Hill Middle School","=""0885111""","*",9,51,46,"*",362,471
,,"Cross Street Intermediate School","=""0880211""","*","*",38,37,0,299,388
,,"Hillside Intermediate School","=""0880411""","*","*",46,52,0,255,368
,,"Hillside Middle School","=""0885211""","*","*",27,45,0,212,306
,,"Hop Brook Elementary School","=""0880511""","*","*",32,51,0,204,320
,,"Maple Hill School","=""0880311""","*","*",43,38,0,349,459
,,"Naugatuck High School","=""0886111""","*","*",116,163,0,1115,1434
,,"Salem School","=""0880611""","*","*",36,36,0,163,246
,,"Western School","=""0880711""","*","*",21,41,0,205,274
,,"Central Avenue School","=""0880111""",0,14,27,57,0,186,284
,,"Head Start","=""0888111""",0,6,14,26,0,58,104
"New Britain School District","=""0890011""","Holmes Elementary School","=""0890611""","*","*",55,286,0,112,468
,,"Chamberlain Elementary School","=""0890311""","*","*",101,276,0,89,475
,,"House of Arts Letters and Science (HALS) Academy","=""0895411""","*","*",27,44,0,74,155
,,"Jefferson Elementary School","=""0890711""","*","*",60,187,0,118,423
,,"Lincoln Elementary School","=""0890811""","*","*",99,377,0,118,611
,,"New Britain High School","=""0896111""","*","*",490,1470,0,741,2759
,,"Northend Elementary School","=""0890911""","*","*",53,194,0,44,296
,,"Slade Middle School","=""0895211""","*","*",159,406,0,135,716
,,"DiLoreto Elementary & Middle School","=""0891111""",0,6,84,607,0,97,794
,,"Gaffney Elementary School","=""0890511""",0,19,80,262,0,161,522
,,"Pulaski Middle School","=""0895311""",0,14,89,442,0,104,649
,,"Roosevelt Middle School","=""0895111""",0,"*",104,273,0,"*",442
,,"Smalley Elementary School","=""0891211""",0,13,165,440,0,93,711
,,"Smith Elementary School","=""0891311""",0,11,115,335,0,150,611
,,"Vance Elementary School","=""0891511""",0,12,113,247,0,151,523
,,"Academic Extension Center","=""0899211""",0,0,"*",18,0,"*",21
,,"Behavior Support Program","=""0899311""",0,0,"*","*",0,"*",12
,,"The Catalyst Academy","=""0899011""",0,0,8,20,0,8,36
"New Canaan School District","=""0900011""","East School","=""0900411""","*",27,"*",20,0,480,539
,,"New Canaan High School","=""0906111""","*",35,"*",27,0,1209,1287
,,"Saxe Middle School","=""0905111""","*",33,"*",18,0,1153,1218
,,"South School","=""0900211""","*",25,"*",19,0,491,541
,,"West School","=""0900311""",0,12,"*","*",0,469,492
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","*",17,"*",38,0,579,649
,,"New Fairfield Elementary School","=""0910211""","*","*",8,25,0,597,637
,,"New Fairfield High School","=""0916111""",0,16,11,27,0,966,1020
,,"New Fairfield Middle School","=""0915211""",0,7,9,24,0,683,723
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","*","*",56,171,0,293,533
,,"Barnard Environmental Magnet School","=""0930211""","*",0,328,96,0,"*",504
,,"Clarence Rogers School","=""0930511""","*",0,101,37,0,"*",150
,,"Conte/West Hills Magnet School","=""0933111""","*","*",343,253,0,34,635
,,"Davis Academy for Arts & Design Innovation","=""0930911""","*","*",269,50,0,81,413
,,"East Rock Community Magnet School","=""0934611""","*","*",265,181,0,29,503
,,"Edgewood School","=""0931211""","*","*",274,60,0,115,459
,,"Fair Haven School","=""0931611""","*","*",108,487,0,22,619
,,"John S. Martinez Sea and Sky STEM School","=""0930811""","*",0,90,479,0,"*",588
,,"Katherine Brennan School","=""0930411""","*","*",134,32,0,8,176
,,"King/Robinson Magnet School","=""0933011""","*","*",355,48,0,57,475
,,"Lincoln-Bassett School","=""0932011""","*",0,292,19,0,"*",317
,,"Mauro-Sheridan Magnet School","=""0931911""","*","*",238,219,0,124,596
,,"Roberto Clemente Leadership Academy for Global Awareness","=""0934211""","*",0,225,145,0,"*",383
,,"Ross/Woodward School","=""0931011""","*","*",234,213,0,70,536
,,"Truman School","=""0932911""","*",0,121,416,0,"*",549
,,"Wilbur Cross High School","=""0936111""","*","*",679,725,0,181,1620
,,"Worthington Hooker School","=""0933811""","*",98,95,"*",0,214,433
,,"Zigler PreK Center","=""0938311""","*","*",197,68,0,"*",274
,,"Augusta Lewis Troup School","=""0931511""",0,"*",347,162,0,"*",525
,,"Barack H. Obama Magnet University School","=""0932811""",0,"*",103,136,"*",16,267
,,"Beecher School","=""0930311""",0,6,358,70,0,44,478
,,"Benjamin Jepson Magnet School","=""0931811""",0,"*",185,178,0,"*",496
,,"Betsy Ross Arts and Design Academy","=""0935511""",0,8,232,119,0,114,473
,,"Bishop Woods Architecture and Design Magnet School","=""0934311""",0,23,179,200,0,45,447
,,"Celentano BioTech, Health and Medical Magnet School","=""0934811""",0,17,298,95,0,55,465
,,"Clinton Avenue School","=""0930611""",0,"*",119,319,0,"*",455
,,"Cooperative High School - Inter-District Magnet","=""0936411""",0,8,273,122,0,138,541
,,"Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",0,"*",144,38,0,"*",192
,,"Early Learning Center","=""0938111""",0,"*",102,14,0,"*",118
,,"Engineering - Science University Magnet School","=""0931711""",0,12,78,28,0,40,158
,,"High School In The Community","=""0936611""",0,"*",158,100,0,"*",327
,,"Hill Regional Career High School","=""0936311""",0,26,340,200,0,133,699
,,"James Hillhouse High School","=""0936211""",0,"*",786,148,0,"*",948
,,"John C. Daniels","=""0931311""",0,"*",111,365,0,"*",532
,,"Lulac","=""0938011""",0,"*",129,306,0,"*",441
,,"Metropolitan Business Academy","=""0936011""",0,"*",104,62,0,"*",184
,,"New Haven Academy","=""0937011""",0,"*",133,62,"*",41,239
,,"Polly T. McCabe Center","=""0939211""",0,"*",14,10,0,"*",26
,,"Sound School","=""0936711""",0,"*","*",73,0,227,328
,,"West Rock Authors Academy","=""0934911""",0,"*",125,68,0,"*",230
,,"Wexler/Grant - Lincoln/Bassett Community School","=""0933211""",0,"*",420,31,0,"*",461
,,"Dwight Early Childhood Program","=""0938211""",0,0,40,7,0,0,47
,,"Family Academy of Multilingual Exploration","=""0934111""",0,0,"*",392,0,"*",427
,,"Hill Central Music Academy","=""0930711""",0,0,"*",276,0,"*",365
,,"Riverside Education Academy","=""0939111""",0,0,137,"*",0,"*",190
,,"Urban Youth Center Middle School","=""0939011""",0,0,26,"*",0,"*",34
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",10,8,211,297,0,84,610
,,"C.B. Jennings International Elementary Magnet","=""0950311""","*","*",92,405,0,42,544
,,"Harbor School","=""0950211""",8,6,123,86,0,65,288
,,"Nathan Hale Arts Magnet School","=""0950911""","*","*",99,94,0,67,273
,,"New London High School","=""0956111""",23,"*",301,373,"*",215,935
,,"Winthrop STEM Elementary Magnet School","=""0950811""","*","*",92,97,0,24,224
,,"Shoreline Academy","=""0950511""",0,"*",40,"*",0,35,103
,,"New London Clinical Day Program","=""0959111""",0,0,"*",10,0,"*",22
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","*",35,"*",35,0,363,449
,,"John Pettibone School","=""0960711""","*",17,"*",40,0,375,448
,,"Sarah Noble Intermediate School","=""0960911""","*",47,"*",90,0,915,1086
,,"New Milford High School","=""0966111""",0,61,23,103,0,1379,1566
,,"Northville Elementary School","=""0960811""",0,12,10,23,0,489,534
,,"Schaghticoke Middle School","=""0965211""",0,27,14,58,0,675,774
,,"Litchfield Hills Transition Center","=""0969011""",0,0,0,"*",0,"*",7
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*",58,"*",45,0,321,445
,,"Elizabeth Green School","=""0940211""","*","*",21,29,0,236,308
,,"John Wallace Middle School","=""0945311""","*",65,"*",69,0,546,728
,,"Martin Kellogg Middle School","=""0945111""","*","*",46,87,0,459,633
,,"Newington High School","=""0946111""","*",119,"*",133,0,1142,1468
,,"Ruth Chaffee School","=""0940711""","*","*",41,51,0,264,395
,,"John Paterson School","=""0940811""",0,51,42,45,0,352,490
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*",10,"*",11,0,349,375
,,"Newtown High School","=""0976111""","*",57,"*",54,0,1601,1731
,,"Newtown Middle School","=""0975111""","*",28,"*",38,0,818,896
,,"Hawley Elementary School","=""0970111""",0,21,"*","*",0,389,420
,,"Middle Gate Elementary School","=""0970311""",0,18,6,16,0,455,495
,,"Newtown Preschool","=""0978011""",0,"*","*","*",0,78,87
,,"Reed Intermediate School","=""0970511""",0,21,16,23,0,801,861
,,"Sandy Hook Elementary School","=""0970211""",0,31,12,24,0,558,625
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*",8,"*",11,0,300,327
,,"North Branford High School","=""0996111""","*","*",17,24,0,628,686
,,"North Branford Intermediate School","=""0995111""","*",15,"*",20,0,562,609
,,"Stanley T. Williams School","=""0990511""","*",6,"*",7,0,234,251
,,"Totoket Valley Elementary School","=""0990611""",0,6,8,7,0,444,465
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","*",20,14,"*",0,348,396
,,"Green Acres Elementary School","=""1010711""","*",35,28,"*",0,312,393
,,"Montowese Elementary School","=""1010211""",0,24,10,16,0,365,415
,,"North Haven High School","=""1016111""",0,73,76,72,0,960,1181
,,"North Haven Middle School","=""1015211""",0,51,38,35,0,748,872
,,"Ridge Road Elementary School","=""1010311""",0,36,15,15,0,362,428
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",14,7,6,13,0,343,383
,,"Wheeler High School","=""1026111""","*","*","*","*",0,210,226
,,"Wheeler Middle School","=""1025111""","*","*",8,7,0,158,182
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",6,81,512,532,0,563,1694
,,"Jefferson Marine Science Elementary School","=""1030711""","*","*",130,253,0,96,539
,,"Kendall College & Career Academy","=""1030811""","*","*",136,231,0,87,483
,,"Marvin Elementary School","=""1032211""","*","*",76,174,0,192,457
,,"Nathan Hale Middle School","=""1035211""","*","*",88,152,0,311,588
,,"Norwalk High School","=""1036111""","*","*",315,447,0,683,1503
,,"Rowayton School","=""1031311""","*","*",66,95,0,288,468
,,"Silvermine Dual Language Magnet School","=""1032311""","*","*",54,193,0,76,337
,,"Tracey Magnet School","=""1031411""","*","*",98,181,0,102,401
,,"Brookside Elementary School","=""1030211""",0,15,100,260,0,108,483
,,"Concord Magnet School","=""1030311""",0,38,85,46,0,179,348
,,"Cranbury Elementary School","=""1030411""",0,24,71,106,0,280,481
,,"Fox Run Elementary School","=""1032011""",0,20,108,96,0,236,460
,,"Naramake Elementary School","=""1032111""",0,19,59,118,0,241,437
,,"Norwalk Pathways Academy at Briggs","=""1036311""",0,"*",50,29,0,"*",99
,,"Ponus Ridge STEAM Academy","=""1035311""",0,44,193,237,0,212,686
,,"Roton Middle School","=""1035511""",0,7,89,143,0,161,400
,,"West Rocks Middle School","=""1035411""",0,22,154,227,0,260,663
,,"Wolfpit Integrated Arts Elementary School","=""1032411""",0,12,52,105,0,160,329
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",38,159,342,282,0,1600,2421
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",9,13,46,37,0,68,173
,,"Deborah-Tennant Zinewicz  School","=""1049111""","*",0,9,"*",0,29,47
,,"Greeneville School","=""1040611""",7,6,109,128,0,78,328
,,"Hickory Street School","=""1049011""","*",0,"*","*",0,9,19
,,"John B. Stanton School","=""1041411""",9,45,75,67,0,157,353
,,"Kelly STEAM Magnet Middle School","=""1045111""",22,22,165,139,0,283,631
,,"Moriarty Magnet School","=""1042011""",8,17,70,69,0,202,366
,,"Samuel Huntington School","=""1040811""","*","*",72,60,0,245,411
,,"Teachers' Memorial Middle School","=""1045211""",18,70,119,108,0,205,520
,,"Thames River Academy","=""1046111""","*","*",23,18,0,40,85
,,"Thomas W. Mahan School","=""1041711""",7,70,53,58,0,112,300
,,"Uncas Elementary School","=""1041911""","*","*",53,39,0,56,169
,,"Veterans' Memorial School","=""1041811""",9,11,60,61,0,92,233
,,"Wequonnoc Magnet School","=""1041511""","*","*",70,49,0,106,236
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*","*",48,33,0,89,180
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","*",23,"*",21,0,413,465
,,"Old Saybrook Middle School","=""1065211""","*",33,"*",22,0,528,598
,,"Old Saybrook Senior High School","=""1066111""","*",31,"*",14,0,476,528
"Orange School District","=""1070011""","Peck Place School","=""1070511""","*",47,"*",9,0,346,411
,,"Mary L. Tracy School","=""1070211""",0,17,"*","*",0,161,186
,,"Race Brook School","=""1070311""",0,54,7,21,0,318,400
,,"Turkey Hill School","=""1070411""",0,33,"*","*",0,246,300
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","*","*",14,19,0,519,565
,,"Oxford Middle School","=""1085111""","*","*",17,23,0,452,505
,,"Quaker Farms School","=""1080311""","*",10,"*",11,0,521,550
,,"Great Oak Elementary School","=""1080111""",0,"*","*",14,0,511,536
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""","*",8,"*",22,0,237,274
,,"Moosup Elementary School","=""1090111""","*","*",6,20,"*",259,295
,,"Plainfield Central School","=""1095111""",13,11,21,19,0,509,573
,,"Plainfield High School","=""1096111""",8,17,17,30,0,780,852
,,"Plainfield Memorial School","=""1090311""",8,11,18,17,0,365,419
,,"Shepard Hill Elementary School","=""1090411""","*","*",15,20,0,260,309
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","*","*",13,39,0,350,413
,,"Louis Toffolon School","=""1100511""","*","*",16,26,0,303,350
,,"Plainville High School","=""1106111""","*","*",59,56,0,719,862
,,"Frank T. Wheeler School","=""1100411""",0,12,33,29,0,209,283
,,"Middle School of Plainville","=""1105211""",0,14,39,54,0,467,574
,,"Prekindergarten Program","=""1108011""",0,"*","*",6,0,42,54
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","*","*",13,13,0,205,237
,,"Portland High School","=""1136111""","*","*",13,13,0,328,362
,,"Valley View School","=""1130211""","*","*",19,12,0,306,349
,,"Gildersleeve School","=""1130411""",0,6,11,11,0,220,248
,,"Portland Middle School","=""1135111""",0,"*",10,"*",0,224,240
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",6,"*","*","*",0,130,148
,,"Preston Veterans' Memorial School","=""1140411""",10,10,"*","*",0,256,284
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","*","*",19,21,0,593,644
,,"Putnam High School","=""1166111""","*","*",12,14,0,294,327
,,"Putnam Middle School","=""1165111""","*","*","*",15,0,230,254
,,"Helping Hands","=""1169011""",0,0,0,0,0,"*","*"
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*",23,"*",9,0,554,595
,,"Redding Elementary School","=""1170111""","*",41,"*",23,0,596,670
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","*","*",6,12,0,331,354
,,"Valley Regional High School","=""2046112""","*",16,"*",16,0,579,618
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","*",48,"*",13,0,357,430
,,"Amity Regional High School","=""2056112""","*",156,51,"*",0,1369,1630
,,"Amity Middle School: Bethany","=""2055112""",0,28,11,18,0,366,423
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","*",7,"*",8,0,515,536
,,"Goshen Center School","=""2060112""",0,"*","*","*",0,212,218
,,"James Morris School","=""2060212""",0,"*","*","*",0,199,207
,,"Warren Elementary School","=""2060312""",0,"*","*","*",0,89,96
,,"Stepping Stones Preschool Program","=""2068012""",0,0,"*",0,0,"*",14
"Regional School District 07","=""2070012""","Links","=""2079212""","*",0,"*","*",0,20,23
,,"Northwestern Regional High School","=""2076112""",0,"*","*",6,0,742,757
,,"Northwestern Regional Middle School","=""2075112""",0,"*","*","*",0,331,342
,,"FLEX","=""2079012""",0,0,"*",0,0,"*","*"
,,"AIM","=""2079112""",0,0,0,"*",0,"*",13
,,"Intensive Learning Program","=""2079412""",0,0,0,0,0,6,6
,,"STEP","=""2079312""",0,0,0,0,0,21,21
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","*",20,"*",17,0,1037,1085
,,"RHAM Middle School","=""2085112""",0,"*","*",14,0,614,644
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","*",28,"*",24,0,895,958
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","*",16,"*",22,0,767,813
,,"Har-Bur Middle School","=""2105112""",0,19,"*","*",0,864,906
,,"Harwinton Consolidated School","=""2100312""",0,"*","*",6,0,464,477
,,"Lake Garda Elementary School","=""2100212""",0,13,7,18,0,583,621
