"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
,,"Hartford Public High School","=""0646211""","*",38,539,928,0,"*",1539
,,"Kennelly School","=""0641011""",6,6,199,553,0,35,799
,,"Kinsella Magnet School of Performing Arts: PK-8 Campus","=""0641111""","*","*",171,325,"*",65,569
,,"M. D. Fox School","=""0640811""","*","*",113,620,0,41,783
,,"M. L. King, Jr. Middle School","=""0641611""","*","*",450,67,0,"*",522
,,"Milner Middle School","=""0641911""","*","*",247,165,0,"*",417
,,"Naylor/CCSU Leadership Academy","=""0641411""","*","*",91,383,0,121,608
,,"Pathways Academy of Technology and Design","=""0646611""","*","*",197,122,0,61,391
,,"Rawson School","=""0641711""","*",0,700,47,0,"*",755
,,"STEM Magnet at Annie Fisher School","=""0642511""","*",0,316,54,0,"*",376
,,"Sport and Medical Sciences Academy","=""0646511""","*","*",223,223,0,124,578
,,"University High School of Science and Engineering","=""0646711""","*","*",155,113,0,59,346
,,"Weaver High School","=""0646311""","*","*",729,135,0,"*",871
,,"Webster Micro Society Magnet School","=""0642011""","*","*",301,199,0,90,610
,,"Betances Learning Lab Magnet School","=""0642811""",0,"*",77,349,0,"*",439
,,"Burns Latino Studies Academy","=""0640611""",0,"*",94,432,0,"*",534
,,"Burr Middle School","=""0642311""",0,17,99,374,0,30,520
,,"Capital Preparatory Magnet School","=""0646911""",0,7,158,67,0,39,271
,,"Clark School","=""0642411""",0,"*",286,171,0,"*",466
,,"Dr. Joseph Bellizzi Middle School","=""0645311""",0,9,70,335,0,14,428
,,"Dwight-Bellizzi Dual Language Academy","=""0640711""",0,6,70,250,0,29,355
,,"Environmental Sciences Magnet at Hooker School","=""0640911""",0,"*",68,313,0,"*",407
,,"Expeditionary Learning Academy at Moylan School","=""0643211""",0,"*",78,447,0,"*",537
,,"Fox Middle School","=""0645111""",0,"*",128,33,0,"*",163
,,"Little Owls Learning Center","=""0648011""",0,"*",11,"*",0,0,17
,,"McDonough Middle School","=""0641211""",0,"*",44,341,0,"*",396
,,"Montessori Magnet at Fisher School","=""0643711""",0,9,42,20,0,30,101
,,"Parkville Community School","=""0641511""",0,19,111,405,0,43,578
,,"Quirk Middle School","=""0645211""",0,"*",142,415,0,"*",568
,,"Sanchez School","=""0643011""",0,"*",69,456,"*","*",528
,,"West Middle School","=""0642111""",0,54,315,283,0,18,670
,,"Wish Museum School","=""0642211""",0,"*",208,212,0,"*",424
,,"Breakthrough Magnet School, North","=""0643511""",0,0,57,"*",0,"*",102
,,"Culinary Arts Academy at Weaver High School","=""0646011""",0,0,182,39,0,0,221
,,"Global Communications Academy","=""0643611""",0,0,140,"*",0,"*",208
,,"Hartford Transitional Learning Academy (Elementary)","=""0649011""",0,0,24,35,0,0,59
,,"Hartford Transitional Learning Academy (Secondary)","=""0649111""",0,0,26,36,0,0,62
,,"SAND School","=""0640111""",0,0,"*",283,0,"*",442
,,"Simpson-Waverly School","=""0642611""",0,0,289,"*",0,"*",347
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*",7,0,"*",0,225,238
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","*","*",46,27,0,235,330
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","*","*",44,66,0,67,182
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",9,12,18,16,0,410,465
,,"Killingly High School","=""0696111""",8,13,30,30,0,713,794
,,"Killingly Intermediate School","=""0695211""","*",20,25,"*",0,767,832
,,"Killingly Memorial School","=""0690311""",8,11,22,27,0,463,531
,,"Goodyear Early Childhood Center","=""0698011""",0,"*","*","*",0,74,83
"Learn","=""2450014""","Learn Special Education","=""2459014""","*",0,"*","*",0,22,29
,,"Regional Multicultural Magnet School","=""2450114""",8,25,91,134,0,251,509
,,"The Friendship School","=""2450214""",9,30,77,130,0,253,499
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",6,9,10,16,0,480,521
,,"Lebanon Middle School","=""0715111""","*","*",9,12,0,385,413
,,"Lyman Memorial High School","=""0716211""","*","*","*",13,0,580,599
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","*",13,13,"*",0,168,208
,,"Gallup Hill School","=""0720411""",19,27,31,31,0,237,345
,,"Juliet W. Long School","=""0720311""",8,13,25,20,0,285,351
,,"Ledyard Center School","=""0720111""",33,19,16,20,0,316,404
,,"Ledyard High School","=""0726111""",40,53,53,63,0,768,977
,,"Ledyard Middle School","=""0725111""",17,26,18,25,0,369,455
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","*",23,"*",14,0,505,557
,,"Community Connection - The Big Picture High School","=""0736011""",0,0,0,0,0,"*","*"
"Litchfield School District","=""0740011""","Center School","=""0740211""","*",9,"*",18,0,318,348
,,"Litchfield High School","=""0746111""","*",14,"*",9,0,547,578
,,"Litchfield Intermediate School","=""0740311""","*",7,"*",7,0,257,276
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","*",49,16,"*",0,1151,1230
,,"Island Avenue Elementary School","=""0760211""","*",8,"*",6,0,303,323
,,"J. Milton Jeffrey Elementary School","=""0760111""","*",17,"*",11,0,568,604
,,"Kathleen H. Ryerson Elementary School","=""0760311""","*",18,"*",6,0,294,320
,,"Walter C. Polson Middle School","=""0765211""","*",19,6,"*",0,607,639
,,"Dr. Robert H. Brown Elementary School","=""0760611""",0,25,"*","*",0,555,593
"Manchester School District","=""0770011""","Bowers School","=""0770111""","*","*",74,74,0,234,412
,,"Buckley School","=""0770311""","*","*",42,54,0,190,313
,,"Elisabeth M. Bennet Academy","=""0771711""","*","*",117,97,0,228,467
,,"Illing Middle School","=""0775311""",6,50,203,182,0,430,871
,,"Keeney School","=""0770611""","*","*",61,49,0,259,395
,,"Manchester High School","=""0776111""",7,106,401,383,0,1140,2037
,,"Manchester Regional Academy","=""0779011""","*","*",38,14,0,38,92
,,"Nathan Hale School","=""0770911""","*","*",116,112,0,72,311
,,"Robertson School","=""0771011""","*",73,128,109,"*",104,420
,,"Verplanck School","=""0771211""","*","*",114,134,0,98,395
,,"Waddell School","=""0771311""","*","*",67,60,0,169,336
,,"Washington School","=""0771411""","*","*",115,95,0,100,324
,,"Highland Park School","=""0770411""",0,14,44,39,0,185,282
,,"Martin School","=""0771611""",0,19,33,22,0,134,208
"Mansfield School District","=""0780011""","Mansfield Elementary at Goodwin","=""0780211""","*",37,"*",17,0,142,202
,,"Mansfield Elementary at Vinton","=""0780411""","*",19,"*",13,0,208,249
,,"Mansfield Middle School","=""0785111""","*",53,"*",35,0,467,580
,,"Southeast Elementary School","=""0780511""",0,33,10,14,0,190,247
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",0,31,18,223,0,234,506
,,"Nathan Hale School","=""0800711""","*","*",84,297,0,248,648
,,"Benjamin Franklin School","=""0800111""","*","*",57,182,0,206,466
,,"Francis T. Maloney High School","=""0806111""","*","*",187,490,0,572,1284
,,"Hanover School","=""0800311""","*","*",31,170,0,312,520
,,"Israel Putnam School","=""0800411""","*",16,84,245,"*",212,561
,,"John Barry School","=""0800511""","*","*",77,347,0,100,533
,,"Lincoln Middle School","=""0805211""","*","*",102,319,0,324,752
,,"Orville H. Platt High School","=""0806211""","*","*",160,476,0,527,1182
,,"Roger Sherman School","=""0800811""","*","*",85,285,0,159,554
,,"Washington Middle School","=""0805411""","*","*",159,395,0,336,911
,,"Casimir Pulaski School","=""0801111""",0,16,112,340,0,229,697
"Middletown School District","=""0830011""","Beman Middle School","=""0835411""","*","*",178,86,0,431,729
,,"Bielefield School","=""0830211""","*","*",90,39,0,175,317
,,"Farm Hill School","=""0830511""","*","*",61,48,0,177,303
,,"Keigwin Middle School","=""0831511""","*","*",106,56,0,197,375
,,"Lawrence School","=""0831311""","*",51,59,"*",0,166,314
,,"Middletown High School","=""0836211""","*","*",352,141,0,779,1339
,,"Moody School","=""0831211""","*","*",81,72,0,272,449
,,"Spencer School","=""0830111""","*","*",77,45,0,220,368
,,"Wesley School","=""0831411""","*","*",77,43,0,215,349
,,"Snow School","=""0831111""",0,30,99,45,0,178,352
,,"DEAL Program","=""0839011""",0,0,11,"*",0,"*",25
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","*",16,"*",9,0,287,321
,,"East Shore Middle School","=""0845111""","*",34,"*",26,0,534,614
,,"Jonathan Law High School","=""0846211""","*","*",61,82,0,863,1055
,,"Joseph A. Foran High School","=""0846311""","*",46,"*",51,0,894,1031
,,"Live Oaks School","=""0841611""","*",28,14,"*",0,291,345
,,"Orange Avenue School","=""0840811""","*",30,"*",15,0,426,485
,,"Pumpkin Delight School","=""0841011""","*",24,"*",27,0,241,310
,,"Simon Lake School","=""0841411""","*",41,"*",41,0,253,363
,,"West Shore Middle School","=""0845311""","*",43,"*",56,0,439,575
,,"Harborside Middle School","=""0845211""",0,34,15,21,0,485,555
,,"J. F. Kennedy School","=""0841911""",0,25,9,22,0,336,392
,,"Mathewson School","=""0841711""",0,56,24,9,0,383,472
,,"Meadowside School","=""0840711""",0,74,16,23,0,247,360
,,"Orchard Hills School","=""0841811""",0,28,17,21,0,361,427
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""","*",21,"*",35,0,568,639
,,"Fawn Hollow Elementary School","=""0850511""","*",20,18,"*",0,512,565
,,"Jockey Hollow School","=""0855211""","*",21,"*",25,0,601,659
,,"Masuk High School","=""0856111""","*",42,"*",65,0,1201,1345
,,"Monroe Elementary School","=""0850111""","*",6,"*","*",0,332,348
,,"Stepney Elementary School","=""0850311""","*",21,"*",16,0,445,489
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",10,14,13,31,0,328,396
,,"Leonard J. Tyl Middle School","=""0865111""",22,39,33,33,0,516,643
,,"Mohegan School","=""0860111""",33,86,34,"*","*",246,425
,,"Montville High School","=""0866111""",17,60,45,53,0,655,830
,,"Oakdale School","=""0860511""",18,26,20,30,0,366,460
,,"The Palmer School","=""0869011""","*",0,"*","*",0,19,23
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","*",18,"*",45,0,154,227
,,"City Hill Middle School","=""0885111""","*",18,47,45,"*",359,472
,,"Cross Street Intermediate School","=""0880211""","*","*",37,32,0,329,407
,,"Head Start","=""0888111""","*","*",15,31,0,46,102
,,"Hillside Intermediate School","=""0880411""","*","*",34,57,0,247,353
,,"Hillside Middle School","=""0885211""","*","*",35,34,0,223,305
,,"Hop Brook Elementary School","=""0880511""","*","*",20,47,0,223,310
,,"Maple Hill School","=""0880311""","*","*",44,34,0,346,455
,,"Salem School","=""0880611""","*",7,34,39,"*",168,250
,,"Central Avenue School","=""0880111""",0,21,32,53,0,199,305
,,"Naugatuck High School","=""0886111""",0,36,94,145,0,1092,1367
,,"Western School","=""0880711""",0,6,22,28,0,206,262
"New Britain School District","=""0890011""","Holmes Elementary School","=""0890611""","*","*",56,304,0,114,493
,,"Chamberlain Elementary School","=""0890311""","*","*",86,266,0,76,438
,,"Jefferson Elementary School","=""0890711""","*","*",62,184,0,104,399
,,"Lincoln Elementary School","=""0890811""","*","*",95,395,0,114,621
,,"New Britain High School","=""0896111""","*","*",553,1528,0,825,2972
,,"Northend Elementary School","=""0890911""","*","*",62,187,0,39,295
,,"Pulaski Middle School","=""0895311""","*","*",110,448,0,128,704
,,"Slade Middle School","=""0895211""","*","*",157,359,0,135,663
,,"Vance Elementary School","=""0891511""","*","*",108,243,0,157,525
,,"DiLoreto Elementary & Middle School","=""0891111""",0,"*","*",603,0,108,795
,,"Gaffney Elementary School","=""0890511""",0,26,80,226,0,158,490
,,"House of Arts Letters and Science (HALS) Academy","=""0895411""",0,7,29,43,0,83,162
,,"Roosevelt Middle School","=""0895111""",0,7,119,290,0,61,477
,,"Smalley Elementary School","=""0891211""",0,9,161,448,0,115,733
,,"Smith Elementary School","=""0891311""",0,15,127,365,0,131,638
"New Canaan School District","=""0900011""","East School","=""0900411""","*",27,"*",17,0,493,547
,,"Saxe Middle School","=""0905111""","*",36,"*",22,0,1193,1266
,,"South School","=""0900211""","*",15,"*",12,0,505,535
,,"West School","=""0900311""","*",8,"*",11,0,498,519
,,"New Canaan High School","=""0906111""",0,32,16,22,0,1152,1222
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","*",12,"*",28,0,612,664
,,"New Fairfield High School","=""0916111""","*",21,"*",30,0,910,972
,,"New Fairfield Elementary School","=""0910211""",0,6,6,25,0,631,668
,,"New Fairfield Middle School","=""0915211""",0,8,8,28,0,704,748
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","*","*",70,174,0,298,555
,,"Barack H. Obama Magnet University School","=""0932811""","*","*",80,108,0,8,199
,,"Barnard Environmental Magnet School","=""0930211""","*",0,333,85,0,"*",479
,,"Celentano BioTech, Health and Medical Magnet School","=""0934811""","*","*",306,98,0,49,467
,,"Clarence Rogers School","=""0930511""","*","*",96,24,0,9,132
,,"Conte/West Hills Magnet School","=""0933111""","*","*",325,252,0,49,629
,,"Davis Academy for Arts & Design Innovation","=""0930911""",6,10,260,41,0,74,391
,,"East Rock Community Magnet School","=""0934611""","*","*",329,196,0,44,590
,,"Edgewood School","=""0931211""","*","*",271,54,0,115,451
,,"James Hillhouse High School","=""0936211""","*","*",846,151,0,13,1015
,,"John S. Martinez Sea and Sky STEM School","=""0930811""","*",0,98,461,0,"*",580
,,"Ross/Woodward School","=""0931011""","*","*",233,224,0,57,533
,,"Truman School","=""0932911""","*",0,145,400,0,"*",556
,,"Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""","*","*",176,197,0,64,440
,,"Wilbur Cross High School","=""0936111""","*","*",713,745,0,170,1661
,,"Worthington Hooker School","=""0933811""","*",98,96,"*",0,191,405
,,"Zigler PreK Center","=""0938311""","*","*",295,113,0,9,422
,,"Augusta Lewis Troup School","=""0931511""",0,"*",376,161,0,"*",549
,,"Beecher School","=""0930311""",0,8,398,61,0,25,492
,,"Benjamin Jepson Magnet School","=""0931811""",0,6,191,153,0,122,472
,,"Betsy Ross Arts and Design Academy","=""0935511""",0,"*",225,"*",0,120,458
,,"Bishop Woods Architecture and Design Magnet School","=""0934311""",0,14,160,142,0,37,353
,,"Clinton Avenue School","=""0930611""",0,"*",137,383,0,"*",546
,,"Cooperative High School - Inter-District Magnet","=""0936411""",0,6,226,112,0,110,454
,,"Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",0,"*",150,31,0,"*",192
,,"Early Learning Center","=""0938111""",0,"*",86,17,0,"*",107
,,"Engineering - Science University Magnet School","=""0931711""",0,"*",41,"*",0,18,80
,,"High School In The Community","=""0936611""",0,"*",148,84,0,"*",311
,,"Hill Regional Career High School","=""0936311""",0,20,368,202,0,119,709
,,"John C. Daniels","=""0931311""",0,"*",109,378,0,"*",530
,,"King/Robinson Magnet School","=""0933011""",0,14,344,37,0,46,441
,,"Lulac","=""0938011""",0,"*",114,290,0,"*",413
,,"Sheridan Communications and Technology Magnet School","=""0935311""",0,10,99,39,0,47,195
,,"Sound School","=""0936711""",0,"*","*",75,0,231,332
,,"West Rock Authors Academy","=""0934911""",0,"*",129,66,0,"*",226
,,"Wexler/Grant - Lincoln/Bassett Community School","=""0933211""",0,"*",411,27,0,"*",452
,,"Dwight Early Childhood Program","=""0938211""",0,0,34,"*",0,"*",43
,,"Fair Haven School","=""0931611""",0,0,91,455,0,15,561
,,"Family Academy of Multilingual Exploration","=""0934111""",0,0,"*",366,0,"*",396
,,"Hill Central Music Academy","=""0930711""",0,0,"*",338,0,"*",439
,,"Katherine Brennan School","=""0930411""",0,0,157,31,0,6,194
,,"Lincoln-Bassett School","=""0932011""",0,0,307,"*",0,"*",323
,,"Metropolitan Business Academy","=""0936011""",0,0,97,37,0,10,144
,,"New Haven Academy","=""0937011""",0,0,115,48,"*","*",200
,,"Polly T. McCabe Center","=""0936511""",0,0,20,"*",0,"*",33
,,"Riverside Education Academy","=""0936911""",0,0,113,45,0,0,158
,,"Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",0,0,239,140,0,10,389
,,"Urban Youth Center Middle School","=""0935111""",0,0,20,"*",0,"*",34
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",19,10,215,280,0,97,621
,,"C.B. Jennings International Elementary Magnet","=""0950311""","*","*",108,416,0,40,573
,,"Harbor School","=""0950211""","*","*",143,101,0,71,332
,,"Nathan Hale Arts Magnet School","=""0950911""",8,9,112,101,0,76,306
,,"New London Clinical Day Program","=""0959111""","*",0,6,6,0,"*",16
,,"New London High School","=""0956111""","*",21,288,353,"*",190,871
,,"Shoreline Academy","=""0950511""","*","*",29,22,0,32,91
,,"Winthrop STEM Elementary Magnet School","=""0950811""","*","*",89,93,0,34,225
,,"Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",0,0,"*",34,0,"*",50
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","*",23,"*",39,0,395,479
,,"Sarah Noble Intermediate School","=""0960911""","*",49,"*",82,0,934,1095
,,"Hill And Plain School","=""0960511""",0,35,12,34,0,380,461
,,"New Milford High School","=""0966111""",0,48,30,88,0,1376,1542
,,"Northville Elementary School","=""0960811""",0,17,13,24,0,487,541
,,"Schaghticoke Middle School","=""0965211""",0,29,10,67,0,670,776
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*",54,"*",47,0,339,455
,,"Elizabeth Green School","=""0940211""","*","*",24,30,0,235,308
,,"John Paterson School","=""0940811""","*",51,"*",40,0,347,471
,,"John Wallace Middle School","=""0945311""","*",71,"*",69,0,561,751
,,"Martin Kellogg Middle School","=""0945111""","*","*",49,77,0,512,681
,,"Newington High School","=""0946111""","*",100,"*",121,0,1166,1465
,,"Ruth Chaffee School","=""0940711""","*",31,"*",55,0,262,379
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*",13,"*",12,0,401,430
,,"Newtown High School","=""0976111""","*",51,"*",55,0,1576,1704
,,"Reed Intermediate School","=""0970511""","*",25,"*",32,0,835,902
,,"Hawley Elementary School","=""0970111""",0,17,"*","*",0,376,403
,,"Middle Gate Elementary School","=""0970311""",0,17,7,11,0,481,516
,,"Newtown Middle School","=""0975111""",0,29,14,32,0,854,929
,,"Newtown Preschool","=""0978011""",0,"*","*","*",0,50,54
,,"Newtown Preschool at RIS","=""0978111""",0,"*",0,"*",0,26,30
,,"Sandy Hook Elementary School","=""0970211""",0,27,16,22,0,568,633
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*","*","*",8,0,318,339
,,"North Branford High School","=""0996111""","*","*",14,18,0,655,701
,,"North Branford Intermediate School","=""0995111""","*","*",17,30,0,558,622
,,"Stanley T. Williams School","=""0990511""","*",7,"*",6,0,232,250
,,"Totoket Valley Elementary School","=""0990611""",0,"*",6,"*",0,470,486
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","*",23,"*",16,0,431,478
,,"North Haven High School","=""1016111""","*",73,80,"*",0,1006,1222
,,"Clintonville Elementary School","=""1010811""",0,23,19,13,0,298,353
,,"Green Acres Elementary School","=""1010711""",0,39,35,21,0,331,426
,,"North Haven Middle School","=""1015211""",0,54,37,53,0,765,909
,,"Ridge Road Elementary School","=""1010311""",0,38,17,15,0,349,419
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",8,7,8,8,0,350,381
,,"Wheeler High School","=""1026111""",6,7,"*","*",0,208,228
,,"Wheeler Middle School","=""1025111""","*","*",8,"*",0,165,186
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",7,67,524,494,0,616,1708
,,"Jefferson Marine Science Elementary School","=""1030711""","*","*",124,261,0,85,518
,,"Kendall College & Career Academy","=""1030811""","*","*",136,222,0,85,472
,,"Marvin Elementary School","=""1032211""","*","*",74,157,0,199,449
,,"Nathan Hale Middle School","=""1035211""","*","*",77,140,0,287,533
,,"Norwalk High School","=""1036111""","*","*",335,409,0,702,1515
,,"Roton Middle School","=""1035511""","*","*",107,128,0,161,412
,,"Rowayton School","=""1031311""","*","*",66,91,0,270,444
,,"Silvermine Dual Language Magnet School","=""1032311""","*","*",59,188,0,96,356
,,"Tracey Magnet School","=""1031411""","*","*",100,188,0,120,433
,,"Brookside Elementary School","=""1030211""",0,12,84,232,0,107,435
,,"Concord Magnet School","=""1030311""",0,39,83,52,0,164,338
,,"Cranbury Elementary School","=""1030411""",0,19,64,104,0,279,466
,,"Fox Run Elementary School","=""1032011""",0,23,108,86,0,235,452
,,"Naramake Elementary School","=""1032111""",0,20,49,108,0,228,405
,,"Norwalk Pathways Academy at Briggs","=""1036311""",0,"*",50,37,0,"*",106
,,"Ponus Ridge STEAM Academy","=""1035311""",0,45,179,230,0,231,685
,,"West Rocks Middle School","=""1035411""",0,23,176,243,0,265,707
,,"Wolfpit Integrated Arts Elementary School","=""1032411""",0,11,58,97,0,144,310
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",36,164,335,259,0,1694,2488
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",7,15,44,38,0,69,173
,,"Deborah-Tennant Zinewicz  School","=""1049111""","*",0,"*",10,0,26,47
,,"Greeneville School","=""1040611""","*","*",105,126,0,78,326
,,"John B. Stanton School","=""1041411""",13,42,97,74,0,163,389
,,"Kelly STEAM Magnet Middle School","=""1045111""",24,19,164,137,0,334,678
,,"Moriarty Magnet School","=""1042011""",12,19,78,91,0,229,429
,,"Samuel Huntington School","=""1040811""","*","*",56,52,0,247,378
,,"Teachers' Memorial Middle School","=""1045211""",13,57,101,103,0,198,472
,,"Thames River Academy","=""1046111""","*","*",25,14,0,49,91
,,"Thomas W. Mahan School","=""1041711""",9,72,50,45,0,113,289
,,"Uncas Elementary School","=""1041911""","*","*",60,42,0,55,178
,,"Veterans' Memorial School","=""1041811""",9,6,69,61,0,89,234
,,"Wequonnoc Magnet School","=""1041511""","*","*",68,43,0,104,225
,,"Hickory Street School","=""1049011""",0,0,"*","*",0,7,14
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*","*",52,36,0,83,178
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","*",23,"*",17,0,437,487
,,"Old Saybrook Senior High School","=""1066111""","*",25,"*",13,0,477,525
,,"Old Saybrook Middle School","=""1065211""",0,43,19,28,0,519,609
"Orange School District","=""1070011""","Peck Place School","=""1070511""","*",52,"*",16,0,361,439
,,"Mary L. Tracy School","=""1070211""",0,20,"*","*",0,156,184
,,"Race Brook School","=""1070311""",0,46,9,16,0,324,395
,,"Turkey Hill School","=""1070411""",0,30,15,8,0,245,298
"Oxford School District","=""1080011""","Great Oak Elementary School","=""1080111""","*",14,"*",18,0,490,533
,,"Oxford High School","=""1086011""","*","*",9,12,0,388,418
,,"Oxford Middle School","=""1085111""","*","*",10,26,0,446,490
,,"Quaker Farms School","=""1080311""","*",10,"*",12,0,544,573
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","*","*",150,67,0,"*",224
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""","*","*",9,16,"*",248,277
,,"Moosup Elementary School","=""1090111""","*","*",8,17,0,252,287
,,"Plainfield Central School","=""1095111""",12,11,20,24,0,493,560
,,"Plainfield High School","=""1096111""",6,11,20,38,0,798,873
,,"Plainfield Memorial School","=""1090311""",9,8,16,16,0,349,398
,,"Shepard Hill Elementary School","=""1090411""","*","*",11,19,0,267,308
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","*","*",14,43,0,338,408
,,"Louis Toffolon School","=""1100511""","*","*",16,23,0,293,338
,,"Middle School of Plainville","=""1105211""","*","*",39,41,0,488,580
,,"Plainville High School","=""1106111""","*","*",54,44,0,715,841
,,"Frank T. Wheeler School","=""1100411""",0,13,34,28,0,239,314
,,"Prekindergarten Program","=""1108011""",0,"*","*","*",0,33,39
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","*","*",7,16,0,525,556
,,"Eli Terry Jr. Middle School","=""1115111""",0,"*","*",13,0,444,475
,,"Harry S. Fisher Elementary School","=""1110411""",0,"*","*",11,0,379,400
,,"Plymouth Center School","=""1110211""",0,"*","*",17,0,393,417
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","*","*",10,8,0,208,229
,,"Portland High School","=""1136111""","*","*",11,15,0,333,362
,,"Portland Middle School","=""1135111""","*","*",8,6,0,225,245
,,"Valley View School","=""1130211""","*","*",20,10,0,323,364
,,"Gildersleeve School","=""1130411""",0,7,8,8,0,206,229
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","*",8,"*",6,0,145,168
,,"Preston Veterans' Memorial School","=""1140411""",11,12,"*","*",0,285,320
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","*","*",18,24,0,593,646
,,"Putnam High School","=""1166111""","*","*",13,9,0,299,325
,,"Putnam Middle School","=""1165111""","*","*","*",13,0,248,270
,,"Helping Hands","=""1169011""",0,0,0,0,0,"*","*"
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*",16,"*","*",0,562,587
,,"Redding Elementary School","=""1170111""","*",45,"*",25,0,637,714
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","*","*","*",9,0,315,332
,,"Valley Regional High School","=""2046112""","*",16,"*",19,0,573,617
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","*",46,"*",12,0,363,431
,,"Amity Regional High School","=""2056112""","*",146,"*",50,0,1418,1657
,,"Amity Middle School: Bethany","=""2055112""",0,43,9,9,0,339,400
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","*","*",7,8,0,539,559
,,"James Morris School","=""2060212""",0,"*","*","*",0,201,208
,,"Warren Elementary School","=""2060312""",0,"*","*","*",0,83,90
,,"Goshen Center School","=""2060112""",0,0,"*","*",0,211,215
,,"Stepping Stones Preschool Program","=""2068012""",0,0,"*",0,0,"*",10
"Regional School District 07","=""2070012""","Links","=""2079212""","*","*",0,0,0,19,21
,,"Northwestern Regional High School","=""2076112""",0,7,"*","*",0,740,753
,,"Northwestern Regional Middle School","=""2075112""",0,"*","*","*",0,350,358
,,"FLEX","=""2079012""",0,0,"*","*",0,10,12
,,"AIM","=""2079112""",0,0,0,"*",0,"*",9
,,"Intensive Learning Program","=""2079412""",0,0,0,0,0,"*","*"
,,"STEP","=""2079312""",0,0,0,0,0,33,33
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","*",18,"*",15,0,1044,1084
,,"RHAM Middle School","=""2085112""","*",9,"*",9,0,634,660
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","*",24,"*",29,0,895,957
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","*",16,"*",21,0,786,830
,,"Har-Bur Middle School","=""2105112""",0,"*","*",19,0,846,889
,,"Harwinton Consolidated School","=""2100312""",0,6,"*","*",0,499,508
,,"Lake Garda Elementary School","=""2100212""",0,13,7,23,0,577,620
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","*","*","*",11,0,290,309
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""","*","*",6,8,0,327,347
,,"Shepaug Valley Middle School","=""2125112""","*",8,"*",9,0,224,244
,,"The Burnham School","=""2120112""","*","*",0,0,0,91,94
,,"Booth Free School","=""2120212""",0,"*",0,"*",0,115,121
,,"Washington Primary School","=""2120412""",0,"*","*",7,0,171,184
,,"Early Childhood Education Center","=""2128012""",0,0,0,0,0,21,21
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","*","*",6,10,0,546,569
,,"Francis E. Korn School","=""2130212""","*","*","*",14,0,177,199
,,"Frank Ward Strong School","=""2135112""","*",6,"*","*",0,338,350
