"Student Counts by School and Race"
"All Districts, All Schools"
"2021-22"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*",47,81,0,10,164,310
,,"Broad Brook Elementary School","=""0470111""",0,45,46,86,0,43,208,428
,,"East Windsor High School","=""0476111""",0,"*",53,66,"*",15,139,280
,,"East Windsor Transition Program","=""0470411""",0,0,"*","*",0,0,7,11
"EdAdvance","=""2420014""","B.E.A.M Elementary School","=""2429014""","*","*",0,"*",0,0,11,15
,,"EdAdvance Headstart","=""2428014""","*",6,7,68,0,"*",73,162
,,"ACCESS HS- Expelled Student","=""2420414""",0,0,"*",0,0,0,"*","*"
,,"ACCESS Middle and High School","=""2420714""",0,0,"*","*",0,0,"*",9
,,"Steps Middle and High School","=""2420114""",0,0,"*",7,0,"*",17,27
,,"UPP @ POST","=""2420514""",0,0,"*",0,0,0,"*",30
,,"Partnership Learning Academy","=""2420614""",0,0,0,"*",0,0,"*",8
,,"Steps-Expelled Student","=""2420314""",0,0,0,"*",0,0,0,"*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*",159,32,60,0,"*",367,647
,,"Center School","=""0480111""",0,13,22,38,"*","*",380,465
,,"Crystal Lake School","=""0480211""",0,15,12,24,0,12,256,319
,,"ECLIPSE - Ellington Continuing Life Independence Post-Secondary Education","=""0480411""",0,"*",0,0,0,"*","*","*"
,,"Ellington High School","=""0486111""",0,61,28,38,0,28,607,762
,,"Ellington Middle School","=""0485111""",0,41,14,32,0,13,311,411
,,"BASES - Behavioral, Academic, Social and Emotional Support Program","=""0480811""",0,0,"*","*",0,0,"*",9
,,"TEPSEP - The Ellington Public Schools Expulsion Program","=""0480511""",0,0,0,0,0,0,"*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*",0,505,238,0,"*",24,776
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",21,71,0,9,227,336
,,"Enfield Alternative Education Program","=""0492311""","*",0,"*","*",0,"*","*",8
,,"Enfield High School","=""0496111""","*",52,89,272,"*",79,1007,1504
,,"John F. Kennedy Middle School","=""0495211""","*","*",75,207,0,38,716,1064
,,"Edgar H. Parkman School","=""0491311""",0,"*","*",53,0,17,214,298
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",0,"*",0,"*",0,0,"*",7
,,"Enfield Street School","=""0490211""",0,8,13,49,0,25,179,274
,,"Enfield Transitional Learning Academy","=""0499011""",0,"*","*","*",0,"*",14,19
,,"Hazardville Memorial School","=""0490411""",0,6,11,71,0,34,208,330
,,"Henry Barnard - DLP","=""0490311""",0,"*",6,"*",0,"*",20,34
,,"Henry Barnard School","=""0491811""",0,15,27,87,0,23,211,363
,,"Prudence Crandall School","=""0491511""",0,"*",29,81,"*",24,207,356
,,"SELC Integrated Pre-Kindergarten","=""0492211""",0,"*","*",11,0,"*",47,66
,,"EPS PK STEAM Academy","=""0491011""",0,0,"*",13,0,"*",28,54
,,"Eagle Academy - Elementary","=""0492611""",0,0,"*",0,0,0,"*",8
,,"Eagle Academy - High","=""0492411""",0,0,"*","*",0,0,"*",6
,,"Eagle Academy - Middle","=""0492511""",0,0,"*","*",0,0,7,9
,,"Edgar H. Parkman - Adaptive Learning","=""0490511""",0,0,"*","*",0,0,"*",7
,,"Eli Whitney - Adaptive Learning (IAL)","=""0491411""",0,0,"*",0,0,"*","*",6
,,"Head Start Program","=""0498011""",0,0,"*",38,0,"*",42,100
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",0,0,"*","*",0,0,12,22
,,"Prudence Crandall - SOAR","=""0490711""",0,0,"*","*",0,"*","*",7
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",26,"*",32,0,30,242,339
,,"Early Childhood Center at Stratfield","=""0510811""","*","*",0,21,0,"*",34,61
,,"Fairfield Warde High School","=""0516211""","*",96,47,239,"*",62,951,1398
,,"McKinley School","=""0510611""","*",43,44,135,0,"*",196,441
