"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
,,"Ellsworth Avenue School","=""0341411""",0,24,35,138,0,136,333
,,"Great Plain School","=""0341111""",0,16,24,98,0,177,315
,,"King Street Intermediate School","=""0341711""",0,20,22,80,0,195,317
,,"Mill Ridge Educational Center","=""0341811""",0,29,50,89,0,179,347
,,"Mill Ridge Primary School","=""0340511""",0,21,41,88,0,148,298
,,"Morris Street School","=""0340611""",0,19,30,188,0,106,343
,,"Park Avenue School","=""0340811""",0,38,34,159,0,145,376
,,"Pembroke School","=""0341511""",0,35,26,91,0,184,336
,,"Rogers Park Middle School","=""0345211""",0,82,123,379,0,447,1031
,,"Stadley Rough School","=""0341611""",0,34,29,111,0,281,455
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,21,21,39,0,236,317
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",26,"*",24,0,1120,1180
,,"Hindley Elementary School","=""0350211""","*",11,"*","*",0,497,519
,,"Holmes Elementary School","=""0350711""","*",18,"*",16,0,444,484
,,"Middlesex Middle School","=""0355111""",7,33,7,18,0,1052,1117
,,"Ox Ridge Elementary School","=""0351311""","*",11,"*",9,0,489,512
,,"Royle Elementary School","=""0350511""","*",22,"*",12,0,414,451
,,"Tokeneke Elementary School","=""0350611""",0,"*",8,"*",0,375,390
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*",11,27,0,346,389
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",93,117,0,442,669
,,"Irving School","=""0370411""","*","*",90,120,0,193,417
,,"Bradley School","=""0370611""",0,21,35,49,0,259,364
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",10,"*",9,0,267,294
,,"East Granby High School","=""0406111""","*",8,11,"*",0,232,258
,,"East Granby Middle School","=""0405111""","*","*",13,10,0,187,218
,,"R. Dudley Seymour School","=""0400211""",0,"*","*","*",0,128,141
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",9,17,0,501,536
,,"Nathan Hale-Ray High School","=""0416111""","*",6,"*",11,0,384,406
,,"Nathan Hale-Ray Middle School","=""0415111""","*","*","*",8,0,461,477
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",10,8,"*",0,551,580
,,"Center School","=""0420311""",0,"*","*",11,0,330,349
,,"East Hampton Middle School","=""0425111""",0,7,10,6,0,485,508
,,"Memorial School","=""0420111""",0,"*","*",24,0,588,633
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",123,124,0,35,298
,,"Connecticut IB Academy","=""0436311""","*","*",45,39,0,72,166
,,"Dr. John A. Langford School","=""0432211""","*","*",143,129,0,54,347
,,"East Hartford High School","=""0436211""","*","*",725,657,0,531,2022
,,"East Hartford Middle School","=""0435111""","*","*",346,368,0,225,1002
,,"Governor William Pitkin School","=""0432011""","*","*",91,84,0,106,352
,,"Joseph O. Goodwin School","=""0430411""","*","*",100,82,0,120,320
,,"Robert J. O'Brien School","=""0431811""","*","*",178,194,0,52,464
,,"Silver Lane School","=""0431211""","*","*",133,154,0,27,323
,,"Sunset Ridge Middle School","=""0432411""","*","*",158,178,0,89,452
,,"Willowbrook Early Childhood","=""0438011""","*","*",92,128,0,45,288
,,"Woodland School","=""0439011""","*","*",71,67,0,38,180
,,"Dr. Franklin H. Mayberry School","=""0430611""",0,26,139,187,0,56,408
,,"Dr. Thomas S. O'Connell School","=""0431011""",0,13,87,102,0,112,314
,,"Hockanum School","=""0430511""",0,13,152,132,0,57,354
,,"Synergy Alternative Program","=""0436411""",0,"*",53,51,0,"*",151
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","*","*",10,44,0,180,239
,,"East Haven High School","=""0446111""","*",43,"*",109,0,917,1097
,,"Grove J. Tuttle School","=""0441011""","*","*",7,28,0,169,212
,,"Hays School","=""0441911""","*",6,"*",29,0,136,178
,,"Momauguin School","=""0440711""","*","*","*",43,0,159,209
,,"Overbrook Early Learning Center","=""0441811""","*",11,"*",28,0,122,165
,,"Robert W. Carbone School","=""0441611""","*",19,"*",41,0,251,319
,,"Carbone School/East Haven Academy","=""0441711""",0,15,"*","*",0,198,221
,,"Deer Run School","=""0440111""",0,22,9,54,0,250,335
,,"Dominick H. Ferrara School","=""0441311""",0,9,7,13,0,157,186
,,"Joseph Melillo Middle School","=""0445111""",0,16,20,48,0,398,482
,,"Pathways","=""0449011""",0,0,"*",0,0,"*",35
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",19,86,17,43,0,1139,1304
,,"East Lyme Middle School","=""0455111""",9,79,22,32,0,771,913
,,"Flanders School","=""0450111""","*",49,"*",7,0,339,399
,,"Lillie B. Haynes School","=""0450411""","*",31,"*",13,0,283,340
,,"Integrated Preschool","=""0458011""",0,"*","*",0,0,44,53
,,"Niantic Center School","=""0450211""",0,14,7,10,0,210,241
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*","*",82,80,0,413,620
,,"East Windsor High School","=""0476111""","*","*",61,36,0,350,456
,,"East Windsor Middle School","=""0475411""","*","*",59,26,0,300,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,"*","*",0,15,20
,,"EastConn Special Education","=""2539014""","*",0,"*","*",0,41,44
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*","*",6,0,172,187
"Ellington School District","=""0480011""","Center School","=""0480111""","*",10,20,"*",0,368,408
,,"Ellington High School","=""0486111""","*",18,18,"*",0,719,770
,,"Windermere Intermediate School","=""0480711""","*","*",12,10,0,368,401
,,"Windermere School","=""0480611""","*",31,14,"*",0,349,404
,,"Crystal Lake School","=""0480211""",0,"*","*","*",0,200,207
,,"Ellington Middle School","=""0485111""",0,7,13,8,0,380,408
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",30,16,0,327,387
,,"Enfield High School","=""0496111""","*","*",81,56,0,762,926
,,"Enrico Fermi High School","=""0496211""","*","*",56,42,0,1028,1156
,,"Harriet Beecher Stowe School","=""0491211""","*","*",23,11,0,245,282
,,"Hazardville Memorial School","=""0490411""","*","*",26,10,0,370,413
,,"Head Start Program","=""0498011""","*","*",19,15,0,65,104
,,"Henry Barnard School","=""0491811""","*","*",83,36,0,292,429
,,"John F. Kennedy Middle School","=""0495211""","*","*",71,38,0,860,992
,,"Prudence Crandall School","=""0491511""","*","*",20,18,0,366,416
,,"Nathan Hale School","=""0491111""",0,"*",25,"*",0,234,272
,,"Edgar H. Parkman School","=""0491311""",0,9,"*","*",0,341,363
,,"Enfield Street School","=""0490211""",0,8,37,21,0,267,333
,,"Thomas G. Alcorn School","=""0491711""",0,7,45,58,0,173,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*",14,"*",17,0,509,551
"Explorations District","=""2720013""","Explorations","=""2726113""","*",0,0,"*",0,81,86
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","*",60,"*",87,0,1037,1231
,,"Fairfield Woods Middle School","=""0515211""","*",22,"*",28,0,534,597
,,"North Stratfield School","=""0511611""","*",33,"*",28,0,425,495
,,"Sherman School","=""0511311""","*",16,"*",15,0,411,453
,,"Tomlinson Middle School","=""0515111""","*",41,"*",33,0,648,737
,,"Burr Elementary School","=""0510211""",0,"*","*",9,0,424,445
,,"Dwight Elementary School","=""0510111""",0,8,7,12,0,313,340
,,"Early Childhood Center","=""0518011""",0,7,"*","*",0,107,121
,,"Fairfield Ludlowe High School","=""0516011""",0,46,31,53,0,1250,1380
,,"Holland Hill School","=""0510411""",0,38,15,29,0,276,358
,,"Jennings School","=""0511711""",0,23,11,12,0,307,353
,,"McKinley School","=""0510611""",0,62,30,93,0,277,462
,,"Mill Hill School","=""0510711""",0,"*","*",24,0,420,465
,,"Osborn Hill School","=""0511811""",0,19,"*","*",0,484,519
,,"Riverfield School","=""0511211""",0,19,"*","*",0,436,473
,,"Roger Ludlowe Middle School","=""0515311""",0,45,26,66,0,750,887
,,"Stratfield School","=""0511411""",0,29,9,21,0,401,460
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*",95,63,"*",0,1186,1389
,,"Irving A. Robbins Middle School","=""0525111""","*",56,33,"*",0,538,652
,,"Union School","=""0520111""","*",18,27,"*",0,235,298
,,"West Woods Upper Elementary School","=""0520511""","*",70,37,"*",0,544,687
,,"East Farms School","=""0520411""",0,57,29,17,0,327,430
,,"Farmington Collaborative PK","=""0528011""",0,"*",0,"*",0,49,57
,,"Noah Wallace School","=""0520211""",0,52,25,20,0,233,330
,,"West District School","=""0520311""",0,25,13,11,0,301,350
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*","*","*",7,0,220,233
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",49,29,"*",0,467,575
,,"Gideon Welles School","=""0540811""","*",49,"*",25,0,456,551
,,"Glastonbury High School","=""0546111""","*",128,"*",92,0,1769,2065
,,"Hebron Avenue School","=""0540411""","*",44,15,"*",0,452,525
,,"Hopewell School","=""0540611""","*",47,"*",21,0,465,542
,,"Smith Middle School","=""0545211""","*",72,"*",47,0,918,1070
,,"Eastbury School","=""0540311""",0,33,12,17,0,295,357
,,"Naubuc School","=""0540711""",0,63,43,52,0,323,481
,,"Nayaug Elementary School","=""0540911""",0,36,11,11,0,617,675
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*",9,33,"*",0,443,497
,,"Granby Memorial High School","=""0566111""","*","*",22,13,0,703,749
,,"Kelly Lane Primary School","=""0560411""","*","*",17,10,0,332,363
,,"Granby Memorial Middle School","=""0565111""",0,"*",14,"*",0,350,374
,,"Wells Road Intermediate School","=""0560311""",0,"*",14,"*",0,319,344
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*",69,"*",81,0,537,713
,,"Greenwich High School","=""0576111""","*",196,"*",397,0,2015,2693
,,"New Lebanon School","=""0570611""","*",11,"*",105,0,103,229
,,"North Mianus School","=""0570711""","*",68,"*",36,0,347,454
,,"North Street School","=""0570811""","*",40,"*",33,0,432,515
,,"Parkway School","=""0571111""","*",27,0,"*",0,277,332
,,"Cos Cob School","=""0570211""",0,66,"*","*",0,287,407
,,"Eastern Middle School","=""0575211""",0,63,7,51,0,604,725
,,"Glenville School","=""0570411""",0,"*","*",37,0,269,344
,,"Hamilton Avenue School","=""0570511""",0,28,47,129,0,173,377
,,"International School At Dundee","=""0571311""",0,43,11,64,0,254,372
,,"Julian Curtiss School","=""0570311""",0,35,21,79,0,192,327
,,"Old Greenwich School","=""0570911""",0,"*","*",17,0,421,454
,,"Riverside School","=""0571011""",0,36,0,41,0,422,499
,,"Western Middle School","=""0575311""",0,36,20,142,0,329,527
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",9,16,21,37,0,823,906
,,"Griswold High School","=""0586211""",18,16,13,13,0,732,792
,,"Griswold Middle School","=""0585111""","*","*",13,10,0,403,439
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*",22,23,"*",0,319,376
,,"Charles Barnum Magnet School","=""0591811""",6,14,68,32,0,247,367
,,"Claude Chester School","=""0590311""",18,53,63,48,0,171,353
,,"Eastern Point School","=""0590511""",9,38,130,113,0,208,498
,,"Fitch Middle School","=""0595111""",12,41,67,50,0,285,455
,,"Noank School","=""0590911""","*",23,12,"*",0,192,240
,,"Pleasant Valley School","=""0591211""",9,26,48,49,0,297,429
,,"Robert E. Fitch High School","=""0596111""",14,121,204,111,0,964,1414
,,"S. B. Butler School","=""0590111""","*","*",16,11,0,276,317
,,"Thames River Magnet School","=""0591711""","*","*",28,29,0,214,282
,,"West Side Middle School","=""0595211""",8,18,60,61,0,146,293
,,"Colonel Ledyard School","=""0590411""",0,12,"*","*",0,115,139
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*",28,"*",20,0,553,608
,,"Calvin Leete School","=""0600411""","*",17,"*",24,0,262,307
,,"E. C. Adams Middle School","=""0605111""","*",17,"*",34,0,540,600
,,"A. W. Cox School","=""0600611""",0,15,8,16,0,308,347
,,"Guilford High School","=""0606111""",0,32,15,31,0,1076,1154
,,"Guilford Lakes School","=""0600211""",0,21,6,17,0,405,449
,,"Melissa Jones School","=""0600311""",0,"*","*",24,0,312,350
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*",35,98,"*",0,295,464
,,"Dunbar Hill School","=""0620311""","*","*",166,47,0,142,377
,,"Hamden High School","=""0626111""","*","*",737,251,0,1114,2192
,,"Hamden Middle School","=""0625211""","*","*",331,128,0,408,913
,,"Ridge Hill School","=""0621111""","*","*",133,83,0,98,348
,,"Alice Peck Learning Center","=""0628011""",0,9,24,17,0,46,96
,,"Church Street School","=""0620211""",0,12,190,87,0,93,382
,,"Helen Street School","=""0620411""",0,12,162,74,0,95,343
,,"Shepherd Glen School","=""0620111""",0,69,105,52,0,104,330
,,"Spring Glen School","=""0621011""",0,14,73,15,0,217,319
