"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,"Math","N",603,602,99.8,602,25,4.2,126,20.9,190,31.6,261,43.4,451,74.9
,,,"Y",357,352,98.6,352,101,28.7,111,31.5,90,25.6,50,14.2,140,39.8
"Colebrook School District","=""0290011""","ELA","N",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",17,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",22,22,100.0,22,0,0.0,"*","*","*","*","*","*","*","*"
,,,"Y",17,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","ELA","N",191,181,94.8,181,"*","*",42,23.2,63,34.8,"*","*","*","*"
,,,"Y",99,93,93.9,93,40,43.0,25,26.9,"*","*","*","*",28,30.1
,,"Math","N",191,180,94.2,180,20,11.1,50,27.8,51,28.3,59,32.8,110,61.1
,,,"Y",99,93,93.9,93,40,43.0,31,33.3,12,12.9,10,10.8,22,23.7
"Cooperative Educational Services","=""2430014""","ELA","N",89,86,96.6,86,11,12.8,24,27.9,28,32.6,23,26.7,51,59.3
,,,"Y",179,177,98.9,177,90,50.8,45,25.4,33,18.6,9,5.1,42,23.7
,,"Math","N",89,86,96.6,86,7,8.1,25,29.1,36,41.9,18,20.9,54,62.8
,,,"Y",179,177,98.9,177,84,47.5,55,31.1,26,14.7,12,6.8,38,21.5
"Cornwall School District","=""0310011""","ELA","N",31,30,96.8,30,"*","*","*","*",12,40.0,13,43.3,25,83.3
,,,"Y",24,23,95.8,23,"*","*","*","*",6,26.1,8,34.8,14,60.9
,,"Math","N",31,30,96.8,30,0,0.0,"*","*","*","*",12,40.0,"*","*"
,,,"Y",24,23,95.8,23,"*","*","*","*","*","*",11,47.8,"*","*"
"Coventry School District","=""0320011""","ELA","N",461,461,100.0,461,17,3.7,56,12.1,194,42.1,194,42.1,388,84.2
,,,"Y",261,257,98.5,257,61,23.7,56,21.8,77,30.0,63,24.5,140,54.5
,,"Math","N",461,461,100.0,461,23,5.0,93,20.2,147,31.9,198,43.0,345,74.8
,,,"Y",260,253,97.3,253,73,28.9,68,26.9,59,23.3,53,20.9,112,44.3
"Cromwell School District","=""0330011""","ELA","N",559,555,99.3,555,36,6.5,108,19.5,217,39.1,194,35.0,411,74.1
,,,"Y",330,320,97.0,320,121,37.8,76,23.8,86,26.9,37,11.6,123,38.4
,,"Math","N",559,555,99.3,555,47,8.5,135,24.3,165,29.7,208,37.5,373,67.2
,,,"Y",330,318,96.4,318,138,43.4,87,27.4,56,17.6,37,11.6,93,29.2
"Danbury School District","=""0340011""","ELA","N",1371,1363,99.4,1363,176,12.9,324,23.8,490,36.0,373,27.4,863,63.3
,,,"Y",4070,4063,99.8,4063,2124,52.3,986,24.3,681,16.8,272,6.7,953,23.5
,,"Math","N",1371,1363,99.4,1363,262,19.2,359,26.3,360,26.4,382,28.0,742,54.4
,,,"Y",4070,4059,99.7,4059,2093,51.6,1077,26.5,571,14.1,318,7.8,889,21.9
"Darien School District","=""0350011""","ELA","N",1666,1665,99.9,1665,24,1.4,118,7.1,548,32.9,975,58.6,1523,91.5
