District,District Code,fiscal_year,ppe_total,cpi_u,deflator,ppe_total_real
North Canaan School District,1000011.0,2007,13722.0,207.344,1.5527914962574272,21307.40491164441
North Canaan School District,1000011.0,2008,14144.0,215.254,1.4957306252148626,21155.613963039017
North Canaan School District,1000011.0,2009,15880.0,214.565,1.5005336378253675,23828.474168666835
North Canaan School District,1000011.0,2010,16262.0,218.076,1.4763752086428583,24008.813642950165
North Canaan School District,1000011.0,2011,17059.0,224.923,1.431432090093054,24418.80002489741
North Canaan School District,1000011.0,2012,17762.0,229.586,1.402359028860645,24908.70107062277
North Canaan School District,1000011.0,2013,17381.0,232.952,1.3820958824135443,24022.20853222981
North Canaan School District,1000011.0,2014,18510.0,236.715,1.3601250448851994,25175.91458082504
North Canaan School District,1000011.0,2015,20149.0,237.002,1.3584779875275312,27371.972970692223
North Canaan School District,1000011.0,2016,22124.0,240.005,1.3414803858252953,29678.912055998837
North Canaan School District,1000011.0,2017,20320.0,245.121,1.3134819130143889,26689.952472452376
North Canaan School District,1000011.0,2018,20690.0,251.1,1.282206292313819,26528.84818797292
North Canaan School District,1000011.0,2019,22226.0,255.653,1.2593711006716135,27990.782083527283
North Canaan School District,1000011.0,2020,22150.0,258.856,1.2437880520443798,27549.90535278301
North Canaan School District,1000011.0,2021,22423.0,270.973,1.1881700390813843,26642.33678632188
North Canaan School District,1000011.0,2022,24596.0,292.626,1.1002508321201807,27061.76946682797
North Canaan School District,1000011.0,2023,24648.0,304.703,1.056642041594602,26044.11304122375
North Canaan School District,1000011.0,2024,25170.0,313.698,1.026343808376209,25833.073656829183
North Canaan School District,1000011.0,2025,25810.0,321.962,1.0,25810.0
North Haven School District,1010011.0,2007,10278.0,207.344,1.5527914962574272,15959.590998533837
North Haven School District,1010011.0,2008,10861.0,215.254,1.4957306252148626,16245.130320458622
North Haven School District,1010011.0,2009,11449.0,214.565,1.5005336378253675,17179.609619462633
North Haven School District,1010011.0,2010,12175.0,218.076,1.4763752086428583,17974.868165226802
North Haven School District,1010011.0,2011,12771.0,224.923,1.431432090093054,18280.819222578397
North Haven School District,1010011.0,2012,12990.0,229.586,1.402359028860645,18216.64378489977
North Haven School District,1010011.0,2013,13445.0,232.952,1.3820958824135443,18582.279139050104
North Haven School District,1010011.0,2014,14344.0,236.715,1.3601250448851994,19509.6336438333
North Haven School District,1010011.0,2015,15034.0,237.002,1.3584779875275312,20423.358064488904
North Haven School District,1010011.0,2016,15804.0,240.005,1.3414803858252953,21200.756017582968
North Haven School District,1010011.0,2017,16370.0,245.121,1.3134819130143889,21501.69891604554
North Haven School District,1010011.0,2018,16995.0,251.1,1.282206292313819,21791.09593787336
North Haven School District,1010011.0,2019,17594.0,255.653,1.2593711006716135,22157.375145216367
North Haven School District,1010011.0,2020,17547.0,258.856,1.2437880520443798,21824.74894922273
North Haven School District,1010011.0,2021,19184.0,270.973,1.1881700390813843,22793.854029737275
North Haven School District,1010011.0,2022,19543.0,292.626,1.1002508321201807,21502.202012124693
North Haven School District,1010011.0,2023,19676.0,304.703,1.056642041594602,20790.48881041539
North Haven School District,1010011.0,2024,19720.0,313.698,1.026343808376209,20239.49990117884
North Haven School District,1010011.0,2025,20718.0,321.962,1.0,20718.0
North Stonington School District,1020011.0,2007,14375.0,207.344,1.5527914962574272,22321.37775870052
North Stonington School District,1020011.0,2008,14574.0,215.254,1.4957306252148626,21798.77813188141
North Stonington School District,1020011.0,2009,14921.0,214.565,1.5005336378253675,22389.46240999231
North Stonington School District,1020011.0,2010,15309.0,218.076,1.4763752086428583,22601.82806911352
North Stonington School District,1020011.0,2011,15153.0,224.923,1.431432090093054,21690.490461180045
North Stonington School District,1020011.0,2012,15511.0,229.586,1.402359028860645,21751.99089665746
North Stonington School District,1020011.0,2013,15647.0,232.952,1.3820958824135443,21625.654272124728
North Stonington School District,1020011.0,2014,16701.0,236.715,1.3601250448851994,22715.448374627715
North Stonington School District,1020011.0,2015,16568.0,237.002,1.3584779875275312,22507.263297356138
North Stonington School District,1020011.0,2016,17089.0,240.005,1.3414803858252953,22924.55831336847
North Stonington School District,1020011.0,2017,17161.0,245.121,1.3134819130143889,22540.66310923992
North Stonington School District,1020011.0,2018,16819.0,251.1,1.282206292313819,21565.42763042612
