fiscal_year,lea_id,district,required_nss,actual_nss,foundation_budget,actual_to_required,actual_to_foundation
2024,300,Truro,2327812.0,6692002.504415,2300504.74,2.874804,2.908928
2024,301,Tyngsborough,21616591.0,28066961.553152,21286361.98,1.298399,1.318542
2024,304,Uxbridge,24572198.0,28853255.534477,22214657.67,1.174224,1.298839
2024,305,Wakefield,43061535.0,62578757.94,43061534.5506,1.45324,1.45324
2024,306,Wales,1744156.0,2187956.7476,1628374.74,1.25445,1.343644
2024,307,Walpole,47191403.0,64467521.78,47191402.9124,1.366086,1.366086
2024,308,Waltham,98129290.0,134798051.033672,98129290.06085,1.373678,1.373678
2024,309,Ware,19400007.0,20089652.106016,19400007.25,1.035549,1.035549
2024,310,Wareham,37763668.0,44102633.63416,37763668.48,1.167859,1.167859
2024,314,Watertown,39855551.0,67010721.18075,39855550.60148,1.68134,1.68134
2024,315,Wayland,33119434.0,57811002.933,33119434.22491,1.745531,1.745531
2024,316,Webster,31971770.0,33969451.992888,31971769.84,1.062483,1.062483
2024,317,Wellesley,53340471.0,108971307.304238,52634797.2425,2.042939,2.070328
2024,318,Wellfleet,1630848.0,3555549.782935,1610248.39,2.180185,2.208075
2024,321,Westborough,47697092.0,73438010.32365,47373904.24,1.539675,1.550179
2024,322,West Boylston,11634221.0,16430253.304073,11278495.76,1.412235,1.456777
2024,323,West Bridgewater,15250442.0,19996252.246257,15250441.9,1.311192,1.311192
2024,325,Westfield,75008744.0,79690104.46563,75008744.26,1.062411,1.062411
2024,326,Westford,60265719.0,76220212.047655,56419497.77494,1.264736,1.350955
2024,327,Westhampton,1520553.0,3049960.0816,1280165.03,2.005823,2.382474
2024,330,Weston,25392259.0,56188068.588,25392258.95496,2.212803,2.212803
2024,331,Westport,20926189.0,24648432.619371,20926189.14,1.177875,1.177875
2024,332,West Springfield,63567924.0,64880160.099167,63567924.09,1.020643,1.020643
2024,335,Westwood,36039141.0,62553015.44625,36039140.91565,1.735697,1.735697
2024,336,Weymouth,94987512.0,100265384.816154,89980250.50715,1.055564,1.114304
2024,337,Whately,1127263.0,2423297.91,1127263.18,2.149718,2.149718
2024,340,Williamsburg,2186793.0,3318440.2602,2130357.69,1.517492,1.557692
2024,342,Wilmington,40471399.0,65513190.625795,36154606.17328,1.618753,1.812029
2024,343,Winchendon,20130691.0,20333625.245426,20130691.02,1.010081,1.010081
2024,344,Winchester,54251903.0,77311230.955402,53860981.50427,1.425042,1.435385
2024,346,Winthrop,28718694.0,31889060.9444,28718694.13187,1.110394,1.110394
2024,347,Woburn,65492150.0,96065708.800314,65492150.3446,1.466828,1.466828
2024,348,Worcester,481008495.391943,476115898.291523,477974878.61,0.989828,0.996111
2024,349,Worthington,1568790.0,2271824.7737,1568790.01,1.448138,1.448138
2024,350,Wrentham,12695553.0,17007531.1,11250378.93804,1.339645,1.51173
2024,406,Northampton Smith,3801037.0,4039087.15,3641524.64,1.062628,1.109175
2024,600,Acton Boxborough,66342124.0,95815743.24928,64406283.82384,1.444267,1.487677
2024,603,Hoosac Valley,17400552.0,19374214.97993,17400551.63,1.113425,1.113425
2024,605,Amherst Pelham,23559940.0,31279019.17998,18078526.21,1.327636,1.730175
2024,610,Ashburnham Westminster,29646113.0,32982289.184003,29646112.5,1.112533,1.112533
2024,615,Athol Royalston,27758996.0,27472090.073239,27758995.79,0.989664,0.989664
2024,616,Ayer Shirley,23367466.0,27562766.435625,23119470.37,1.179536,1.192188
2024,618,Berkshire Hills,14093085.0,27575467.72475,14027795.75,1.956667,1.965773
2024,620,Berlin Boylston,12479596.0,21237264.433978,12479595.73,1.701759,1.701759
2024,622,Blackstone Millville,21759625.0,24698769.465756,21242438.94,1.135073,1.162709
2024,625,Bridgewater Raynham,73247623.0,79301649.879806,73247622.79,1.082652,1.082652
2024,632,Chesterfield Goshen,1834390.0,2574551.909,1596663.71,1.403492,1.612457
2024,635,Central Berkshire,21682071.0,26596281.422558,21682070.82,1.226649,1.226649
2024,640,Concord Carlisle,18314203.0,31734884.948237,18206295.7252,1.732802,1.743072
2024,645,Dennis Yarmouth,49764295.0,66618329.960022,49764294.76,1.338677,1.338677
2024,650,Dighton Rehoboth,35849991.0,42151643.622048,33303334.11,1.175778,1.265688
2024,655,Dover Sherborn,15080795.0,25168915.02,15061557.8442,1.668938,1.67107
2024,658,Dudley Charlton,45132027.0,50448101.11189,44767304.4,1.117789,1.126896
2024,660,Nauset,17316820.0,34333557.776072,17092062.4,1.982671,2.008743
2024,662,Farmington River,2976319.0,5200869.048235,2970098.28,1.747417,1.751076
2024,665,Freetown Lakeville,35485916.0,38401771.538579,35485915.87,1.082169,1.082169
2024,670,Frontier,8434576.0,12306666.33495,6859405.61,1.459074,1.79413
2024,672,Gateway,11571635.0,13799903.115373,11571635.25,1.192563,1.192563
2024,673,Groton Dunstable,33191487.0,45046433.376298,27429942.14,1.357168,1.642236
2024,674,Gill Montague,14680312.0,20724461.726687,14525789.26,1.411718,1.426736
