District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Park City Prep Charter School District,4204,880,216,1212,3227,3155,,0,12894,2014,2830013.0
Plainfield School District,7661,363,284,1062,1556,1402,990.0,137,13951,2014,1090011.0
Plainville School District,9648,277,524,734,1709,1593,761.0,0,15212,2014,1100011.0
Plymouth School District,9089,484,331,458,1347,1664,1136.0,236,14035,2014,1110011.0
Pomfret School District,10533,393,361,440,1563,1741,971.0,72,18074,2014,1120011.0
Portland School District,7957,558,374,851,1509,1804,590.0,259,13698,2014,1130011.0
Preston School District,10895,335,259,928,2221,1910,1415.0,111,20535,2014,1140011.0
Putnam School District,8136,396,209,1812,1672,1836,990.0,208,16993,2014,1160011.0
Redding School District,14454,254,481,207,1888,2110,744.0,4,21350,2014,1170011.0
Regional School District 01,11352,750,1085,1669,2391,3095,361.0,979,22664,2014,2010012.0
Regional School District 04,8605,333,374,999,2213,1940,717.0,812,16413,2014,2040012.0
Regional School District 05,8454,298,511,1103,2373,1657,866.0,425,16663,2014,2050012.0
Regional School District 06,9654,485,755,1150,2012,1922,949.0,302,17360,2014,2060012.0
Regional School District 07,8675,496,224,698,1786,1907,1412.0,414,15947,2014,2070012.0
Regional School District 08,8187,117,381,864,1482,1438,739.0,290,13525,2014,2080012.0
Regional School District 09,12277,330,420,127,1718,2164,1160.0,0,19269,2014,2090012.0
Regional School District 10,7844,287,857,822,1276,1478,842.0,0,13813,2014,2100012.0
Regional School District 11,9178,264,396,1415,3500,3222,1287.0,716,20042,2014,2110012.0
Regional School District 12,12547,1108,1269,2355,2775,3387,1811.0,514,27099,2014,2120012.0
Regional School District 13,9985,217,475,1660,2211,1923,856.0,354,17968,2014,2130012.0
Regional School District 14,8304,278,871,1466,1580,1939,1105.0,421,16931,2014,2140012.0
Regional School District 15,8904,123,310,1287,1508,1498,964.0,321,15260,2014,2150012.0
Regional School District 16,7541,205,907,1019,1859,1360,1004.0,284,14496,2014,2160012.0
Regional School District 17,8660,241,286,776,1791,2183,1451.0,298,16175,2014,2170012.0
Regional School District 18,9517,324,894,1429,2204,2962,874.0,383,18844,2014,2180012.0
Regional School District 19,9080,547,345,974,2015,1298,1364.0,644,16486,2014,2190012.0
Ridgefield School District,9566,194,971,807,1271,1773,848.0,234,16329,2014,1180011.0
Rocky Hill School District,8953,261,1109,979,1154,1996,588.0,0,14668,2014,1190011.0
Salem School District,9218,470,54,304,2600,5010,1343.0,0,20807,2014,1210011.0
Salisbury School District,13246,422,796,1037,1984,3128,1232.0,6,23220,2014,1220011.0
Scotland School District,11274,472,967,1276,2604,2212,683.0,154,19700,2014,1230011.0
Seymour School District,7529,327,342,979,1863,1553,719.0,189,13712,2014,1240011.0
Sharon School District,14265,527,526,1919,3617,3917,1364.0,134,27350,2014,1250011.0
Shelton School District,8611,171,277,432,1430,1601,748.0,149,13503,2014,1260011.0
Sherman School District,11551,250,972,144,1603,1724,852.0,108,18025,2014,1270011.0
Side By Side Charter School District,6692,256,51,1447,2448,1210,,0,12104,2014,2700013.0
Simsbury School District,9252,190,917,1066,1333,1633,634.0,165,15234,2014,1280011.0
Somers School District,8372,309,318,877,1352,1438,678.0,185,14025,2014,1290011.0
South Windsor School District,9129,514,643,1197,1644,1595,762.0,422,16061,2014,1320011.0
Southington School District,8023,192,218,976,1441,1195,538.0,130,13193,2014,1310011.0
Sprague School District,9208,548,227,279,1391,1360,949.0,0,14370,2014,1330011.0
Stafford School District,9756,291,707,1098,1899,1918,1195.0,54,17219,2014,1340011.0
Stamford Academy District,6629,74,0,3556,8583,265,,587,20133,2014,2820013.0
Stamford School District,9955,276,859,1052,2103,1522,787.0,0,17242,2014,1350011.0
Sterling School District,7848,106,444,365,1247,1014,1018.0,62,13197,2014,1360011.0
Stonington School District,8480,53,684,949,1652,1562,987.0,207,15178,2014,1370011.0
Stratford School District,7819,147,400,1430,1377,1275,643.0,224,13683,2014,1380011.0
Suffield School District,8371,518,170,968,1669,1052,670.0,206,14114,2014,1390011.0
The Bridge Academy District,7827,655,140,1117,1331,891,,472,12443,2014,2690013.0
Thomaston School District,8929,327,28,835,2031,3598,904.0,212,15459,2014,1400011.0
Thompson School District,8244,177,160,1181,1643,2193,858.0,45,15641,2014,1410011.0
Tolland School District,8065,202,569,541,1407,1542,823.0,42,13733,2014,1420011.0
Torrington School District,9799,352,372,932,1545,1470,935.0,133,16286,2014,1430011.0
Trailblazers Academy District,8379,223,0,3250,11932,2188,,761,26759,2014,2780013.0
Trumbull School District,8408,173,636,1220,1673,1351,702.0,62,14688,2014,1440011.0
Union School District,9706,813,80,578,3330,1689,1363.0,0,14848,2014,1450011.0
Vernon School District,9370,164,710,1059,1404,1460,634.0,160,14491,2014,1460011.0
Voluntown School District,8941,389,273,1865,2327,1478,932.0,196,17303,2014,1470011.0
Wallingford School District,8877,175,566,990,2069,3036,1052.0,254,17245,2014,1480011.0
Waterbury School District,8499,374,1302,560,1293,1152,645.0,525,14594,2014,1510011.0
Waterford School District,10722,305,193,1177,1756,1843,848.0,348,15878,2014,1520011.0
Watertown School District,7333,161,225,918,2180,1810,841.0,16,13776,2014,1530011.0
West Hartford School District,8417,176,802,992,1770,1360,634.0,131,14394,2014,1550011.0
West Haven School District,8203,261,423,727,1021,2567,675.0,285,13013,2014,1560011.0
Westbrook School District,11870,1347,396,343,1834,1988,736.0,688,19847,2014,1540011.0
Weston School District,10644,177,1597,1402,1561,2576,695.0,524,19919,2014,1570011.0
Westport School District,11155,600,539,1696,1837,2023,778.0,285,19320,2014,1580011.0
Wethersfield School District,7673,412,365,2142,1176,1313,646.0,187,14297,2014,1590011.0
Willington School District,10994,402,663,982,2246,1674,719.0,3,18351,2014,1600011.0
Wilton School District,10651,202,688,1747,1887,1589,783.0,0,18348,2014,1610011.0
Windham School District,9848,488,472,1368,1900,1361,827.0,23,16849,2014,1630011.0
Windsor Locks School District,10522,702,844,963,1900,2403,742.0,308,17774,2014,1650011.0
Windsor School District,12436,536,278,600,1970,1577,1087.0,223,17380,2014,1640011.0
Wolcott School District,8425,229,359,523,1386,1523,720.0,291,12885,2014,1660011.0
Woodbridge School District,10829,533,125,253,2829,1870,372.0,0,17301,2014,1670011.0
Woodstock School District,7887,320,191,645,1019,1342,727.0,8,13013,2014,1690011.0
Achievement First Bridgeport Academy District,6491,463,425,717,2771,513,,644,12279,2015,2850013.0
Achievement First Hartford Academy District,7194,678,326,1138,3878,87,,18,13422,2015,2880013.0
Amistad Academy District,6351,362,474,1238,2565,521,,600,12306,2015,2790013.0
Andover School District,9864,446,306,574,2237,1781,324.0,0,15640,2015,10011.0
Ansonia School District,7755,218,216,635,1654,1215,832.0,251,13263,2015,20011.0
Ashford School District,10687,998,179,651,2200,1537,666.0,153,17887,2015,30011.0
Avon School District,9300,306,325,1104,1860,1366,710.0,321,15833,2015,40011.0
Barkhamsted School District,8232,137,606,185,1561,1379,504.0,11,13377,2015,50011.0
Berlin School District,8125,339,606,1651,1627,1933,787.0,395,15425,2015,70011.0
Bethany School District,10285,680,245,418,2291,2456,382.0,0,17561,2015,80011.0
Bethel School District,8856,257,1144,1178,1579,1367,828.0,221,16235,2015,90011.0
Bloomfield School District,11273,382,664,1417,3274,2311,1021.0,314,19521,2015,110011.0
Bolton School District,8904,296,670,1192,2287,1714,866.0,270,16296,2015,120011.0
Booker T. Washington Academy District,7046,504,324,475,5789,3178,,40,17461,2015,2950013.0
Bozrah School District,11496,403,208,1056,2059,2051,993.0,66,20273,2015,130011.0
Branford School District,9837,327,798,1162,1802,1436,877.0,376,16842,2015,140011.0
Brass City Charter School District,6809,1154,135,104,3331,1447,,848,13844,2015,2900013.0
Bridgeport School District,7704,426,335,922,1758,1251,879.0,43,13887,2015,150011.0
Bristol School District,8418,146,543,958,1006,1264,854.0,349,13833,2015,170011.0
Brookfield School District,8287,135,651,1027,1886,1090,867.0,330,14727,2015,180011.0
Brooklyn School District,7885,229,301,1065,1108,1460,854.0,42,13706,2015,190011.0
Canaan School District,16722,414,950,1385,3862,2954,1128.0,154,26309,2015,210011.0
Canterbury School District,10841,190,236,1009,1828,2560,991.0,69,19134,2015,220011.0
Canton School District,8049,416,344,2082,1696,1497,922.0,698,15774,2015,230011.0
Chaplin School District,12361,244,674,1738,2093,1855,761.0,64,19744,2015,240011.0
Cheshire School District,8795,235,591,885,1420,1381,797.0,220,14864,2015,250011.0
Chester School District,10039,425,200,2881,2716,2056,266.0,291,18714,2015,260011.0
Clinton School District,10929,204,350,1047,1580,1435,789.0,72,16660,2015,270011.0
Colchester School District,8468,270,313,1178,1711,1598,933.0,174,14913,2015,280011.0
Colebrook School District,12834,229,233,436,3277,2307,600.0,105,19042,2015,290011.0
Columbia School District,8534,305,233,3874,1645,2868,1011.0,804,19950,2015,300011.0
Common Ground High School District,6649,241,2893,984,3195,902,,1450,16353,2015,2680013.0
Cornwall School District,20597,514,995,1273,4271,3635,1876.0,9,34241,2015,310011.0
Coventry School District,10070,319,216,952,1693,1589,984.0,14,15742,2015,320011.0
Cromwell School District,8870,260,167,727,1541,1395,556.0,210,13863,2015,330011.0
Danbury School District,8387,350,201,582,1242,1030,645.0,85,13007,2015,340011.0
Darien School District,11718,404,896,551,1581,1763,678.0,275,18918,2015,350011.0
Deep River School District,9483,213,264,2541,2173,1752,376.0,271,17865,2015,360011.0
Derby School District,8524,689,9,1313,1811,4263,554.0,148,17177,2015,370011.0
East Granby School District,9810,671,1032,973,2138,1910,874.0,229,17677,2015,400011.0
East Haddam School District,9872,531,372,1007,1975,2389,1077.0,5,17625,2015,410011.0
East Hampton School District,9672,206,483,982,1947,1352,682.0,8,14970,2015,420011.0
East Hartford School District,9052,259,369,1345,1955,1757,619.0,12,13834,2015,430011.0
East Haven School District,9519,362,253,1460,2094,1342,831.0,347,15518,2015,440011.0
East Lyme School District,9289,95,617,888,1466,1981,617.0,403,15515,2015,450011.0
East Windsor School District,10510,250,505,1547,3125,1170,1124.0,149,17837,2015,470011.0
Eastford School District,12156,241,701,1986,2902,2090,1185.0,0,24309,2015,390011.0
Easton School District,11727,210,404,204,2195,1567,755.0,4,17990,2015,460011.0
Ellington School District,7634,267,593,1410,1082,1295,703.0,183,13173,2015,480011.0
Elm City College Preparatory School District,6046,1579,499,1371,4673,782,,644,15794,2015,2890013.0
Elm City Montessori School District,8536,5365,2135,3376,3196,1934,,587,25129,2015,2910013.0
Enfield School District,9251,185,265,207,2042,1418,807.0,229,14177,2015,490011.0
Essex School District,9642,317,163,2330,2103,1565,337.0,204,17944,2015,500011.0
Explorations District,9216,121,365,779,2307,2626,,65,16088,2015,2720013.0
Fairfield School District,9154,132,1032,1223,1795,1560,807.0,197,16407,2015,510011.0
Farmington School District,9898,396,627,1129,1120,2004,677.0,38,16183,2015,520011.0
Franklin School District,9784,139,804,1024,2272,2021,888.0,0,17601,2015,530011.0
Glastonbury School District,8817,527,857,948,1687,1776,858.0,219,15741,2015,540011.0
Granby School District,8113,506,544,1126,1587,1671,705.0,330,14656,2015,560011.0
Great Oaks Charter School District,4986,1419,3584,296,3437,1080,,577,15378,2015,2940013.0
Greenwich School District,14835,352,476,1440,2075,1553,571.0,0,21964,2015,570011.0
Griswold School District,7787,110,130,560,2037,2460,826.0,245,14423,2015,580011.0
Groton School District,9027,155,897,1821,1749,1574,918.0,0,15842,2015,590011.0
Guilford School District,9758,290,569,1068,1730,1565,935.0,241,17084,2015,600011.0
Hamden School District,11491,431,265,1496,1788,2043,1099.0,184,18079,2015,620011.0
Hampton School District,11912,252,591,2278,2973,2267,817.0,149,23624,2015,630011.0
Hartland School District,9019,229,1115,2179,2197,1622,1010.0,725,17460,2015,650011.0
Hebron School District,9553,235,950,1251,1750,1516,303.0,0,15487,2015,670011.0
Highville Charter School District,5311,179,365,254,2793,1820,,739,11480,2015,2860013.0
Integrated Day Charter School District,6370,440,476,560,2450,1289,,625,12245,2015,2640013.0
Interdistrict School for Arts and Comm District,7077,219,989,613,2539,1557,,0,13032,2015,2650013.0
Jumoke Academy District,6007,660,109,1632,2213,1276,,1,11900,2015,2610013.0
Kent School District,13776,609,467,1088,2243,2104,1236.0,118,22168,2015,680011.0
Killingly School District,8112,168,911,862,1817,1803,1309.0,0,16925,2015,690011.0
Lebanon School District,9493,505,368,520,1354,2207,1101.0,413,16600,2015,710011.0
Ledyard School District,8357,367,456,870,1951,1339,970.0,148,14631,2015,720011.0
Lisbon School District,10058,390,195,1462,1701,2049,1088.0,71,19253,2015,730011.0
Litchfield School District,9501,330,1080,1553,1796,1880,925.0,491,18115,2015,740011.0
Madison School District,8955,324,813,1345,1274,1843,1076.0,472,16637,2015,760011.0
Manchester School District,10202,292,1292,1213,1960,1790,702.0,216,16248,2015,770011.0
Mansfield School District,11434,600,466,1094,2338,1276,555.0,75,18250,2015,780011.0
Marlborough School District,8207,439,494,231,1250,1208,298.0,0,12268,2015,790011.0
Meriden School District,8580,330,108,1062,1341,1586,703.0,130,13822,2015,800011.0
Middletown School District,9956,291,390,894,1330,1823,1413.0,344,16528,2015,830011.0
Milford School District,11494,575,342,555,1849,1963,671.0,206,18131,2015,840011.0
Monroe School District,9446,140,896,1148,1720,1602,812.0,166,16336,2015,850011.0
Montville School District,9539,403,337,962,1398,1654,1091.0,248,15473,2015,860011.0
Naugatuck School District,9611,237,240,1116,2067,1674,725.0,139,15375,2015,880011.0
New Britain School District,9595,169,334,271,1210,1057,1102.0,0,13715,2015,890011.0
New Canaan School District,10842,189,802,1774,1882,2433,1041.0,381,20138,2015,900011.0
New Fairfield School District,8745,423,440,1067,1520,1321,701.0,220,14915,2015,910011.0
New Hartford School District,9994,240,138,665,1458,1882,617.0,27,15754,2015,920011.0
New Haven School District,9849,370,425,241,1688,1458,1308.0,156,16062,2015,930011.0
New London School District,8267,799,474,1218,2800,1836,1039.0,161,15134,2015,950011.0
New Milford School District,8065,230,283,956,1864,1366,1078.0,246,14574,2015,960011.0
Newington School District,9388,529,497,941,1765,2112,913.0,179,16253,2015,940011.0
Newtown School District,8327,241,373,1674,1765,2263,873.0,180,16251,2015,970011.0
Norfolk School District,11135,259,1119,494,5075,2905,945.0,19,23250,2015,980011.0
North Branford School District,7627,198,914,1251,1619,1947,1186.0,445,15242,2015,990011.0
North Canaan School District,13036,429,192,1154,2080,2030,919.0,67,20149,2015,1000011.0
North Haven School District,7994,192,348,1523,2167,1276,861.0,177,15034,2015,1010011.0
North Stonington School District,9714,723,231,999,2400,1730,1131.0,0,16568,2015,1020011.0
Norwalk School District,10473,220,94,1288,2227,1602,577.0,138,17220,2015,1030011.0
Norwich School District,9085,728,86,1417,1127,1276,1212.0,0,17111,2015,1040011.0
Odyssey Community School District,6455,179,285,183,1807,1502,,0,10411,2015,2630013.0
Old Saybrook School District,9155,639,899,1139,1765,1970,922.0,423,17855,2015,1060011.0
Orange School District,10003,389,745,1059,1743,1861,438.0,116,16985,2015,1070011.0
Oxford School District,8699,266,95,999,1791,1034,832.0,276,14372,2015,1080011.0
Park City Prep Charter School District,3852,1936,576,976,2284,2276,,0,11902,2015,2830013.0
Path Academy District,5728,724,1030,2625,2791,1470,,472,14850,2015,2930013.0
Plainfield School District,8055,204,302,1136,1568,1489,1308.0,144,14661,2015,1090011.0
Plainville School District,9569,358,526,725,1507,1394,758.0,0,15034,2015,1100011.0
Plymouth School District,9155,434,279,486,1662,1585,1061.0,301,14330,2015,1110011.0
Pomfret School District,10281,408,440,334,1745,1648,1194.0,79,18513,2015,1120011.0
Portland School District,8351,426,374,895,1506,2172,654.0,339,14624,2015,1130011.0
Preston School District,12169,175,253,1156,1971,1793,1507.0,88,21005,2015,1140011.0
Putnam School District,8400,461,187,1877,1739,1760,1001.0,212,17508,2015,1160011.0
Redding School District,15025,410,589,224,1927,2328,813.0,2,22645,2015,1170011.0
Regional School District 01,13310,1030,1703,1559,2621,3300,342.0,1034,26782,2015,2010012.0
Regional School District 04,8713,156,362,1020,2218,1913,677.0,936,16948,2015,2040012.0
Regional School District 05,8695,250,505,1138,2422,1553,999.0,440,17110,2015,2050012.0
Regional School District 06,9969,410,812,1252,2246,2004,1122.0,327,18201,2015,2060012.0
Regional School District 07,9446,405,202,742,2069,1985,1583.0,468,17391,2015,2070012.0
Regional School District 08,8164,133,498,1157,1596,1630,756.0,330,14479,2015,2080012.0
Regional School District 09,12927,348,448,141,1688,1996,1104.0,0,19731,2015,2090012.0
Regional School District 10,8074,283,962,852,1338,1629,930.0,0,14402,2015,2100012.0
Regional School District 11,10048,285,424,1428,3667,2416,1361.0,826,20501,2015,2110012.0
Regional School District 12,13095,945,1225,2300,3025,4381,2032.0,599,28917,2015,2120012.0
Regional School District 13,10301,203,583,1688,2404,1854,961.0,322,18583,2015,2130012.0
Regional School District 14,8807,272,906,1584,1728,2254,1155.0,439,18082,2015,2140012.0
Regional School District 15,9403,118,376,1482,1679,1619,1042.0,340,16431,2015,2150012.0
Regional School District 16,7787,277,868,970,1835,2291,1028.0,247,15598,2015,2160012.0
Regional School District 17,9386,228,332,897,1946,2187,1440.0,337,17220,2015,2170012.0
Regional School District 18,10033,272,1122,1494,2334,3256,883.0,435,19910,2015,2180012.0
Regional School District 19,9671,532,255,1012,2230,1439,1307.0,691,17351,2015,2190012.0
Ridgefield School District,9858,192,1072,923,1322,1823,888.0,261,17130,2015,1180011.0
Rocky Hill School District,9318,283,955,959,1200,1902,547.0,0,14847,2015,1190011.0
Salem School District,7655,110,244,2527,2496,3478,1291.0,0,20291,2015,1210011.0
Salisbury School District,14193,300,720,745,2165,3575,1363.0,27,24526,2015,1220011.0
Scotland School District,11457,361,838,1321,2867,2743,645.0,155,20373,2015,1230011.0
Seymour School District,7800,164,408,1024,1902,1665,787.0,212,14362,2015,1240011.0
Sharon School District,15406,542,485,1698,3813,3210,1481.0,248,27682,2015,1250011.0
Shelton School District,8711,348,300,553,1482,1602,694.0,151,13793,2015,1260011.0
Sherman School District,12645,358,1194,158,1667,1901,890.0,132,19992,2015,1270011.0
Side By Side Charter School District,6492,354,21,1200,2505,1327,,0,11899,2015,2700013.0
Simsbury School District,9262,217,913,1177,1386,1689,651.0,178,15527,2015,1280011.0
Somers School District,8671,332,328,983,1350,1607,658.0,206,14533,2015,1290011.0
South Windsor School District,9424,388,676,1261,1766,1509,788.0,430,16401,2015,1320011.0
Southington School District,8360,188,209,1030,1495,1239,556.0,134,13580,2015,1310011.0
Sprague School District,9198,429,80,273,1516,1129,992.0,0,13885,2015,1330011.0
Stafford School District,9696,297,356,1143,2020,2349,1272.0,91,17335,2015,1340011.0
Stamford Academy District,7448,201,0,3312,9012,245,,546,21182,2015,2820013.0
Stamford School District,9943,171,1078,1049,2151,1520,843.0,0,17585,2015,1350011.0
Sterling School District,6912,397,593,390,1319,1098,1010.0,55,12783,2015,1360011.0
Stonington School District,8744,85,772,879,1950,1789,978.0,206,16029,2015,1370011.0
Stratford School District,8487,127,393,1500,1457,1368,691.0,250,14630,2015,1380011.0
Suffield School District,8747,366,186,1051,1813,1220,623.0,218,14643,2015,1390011.0
The Bridge Academy District,8296,402,107,1229,1449,872,,542,12903,2015,2690013.0
Thomaston School District,8840,286,33,1003,2367,1921,1032.0,211,14516,2015,1400011.0
Thompson School District,8039,168,290,1287,1869,2221,965.0,15,16145,2015,1410011.0
Tolland School District,8511,225,569,557,1455,1355,863.0,48,14205,2015,1420011.0
Torrington School District,10039,127,332,1140,1791,1394,985.0,149,16675,2015,1430011.0
Trailblazers Academy District,9788,193,0,4120,16986,2499,,869,34512,2015,2780013.0
Trumbull School District,8810,225,703,1205,1671,1211,705.0,182,15187,2015,1440011.0
Union School District,12221,787,242,491,3228,1732,1418.0,0,21172,2015,1450011.0
Vernon School District,9606,309,808,1044,1548,1556,723.0,163,15118,2015,1460011.0
Voluntown School District,8760,349,425,1720,2239,1324,908.0,194,17136,2015,1470011.0
Wallingford School District,9098,103,516,989,2187,1482,1077.0,290,16060,2015,1480011.0
Waterbury School District,9041,266,1113,463,1323,1185,691.0,541,14870,2015,1510011.0
Waterford School District,10742,370,213,1227,1777,1959,850.0,351,16306,2015,1520011.0
Watertown School District,8053,142,261,947,1791,1773,766.0,0,14476,2015,1530011.0
West Hartford School District,8846,258,718,1054,1876,1403,675.0,142,15041,2015,1550011.0
West Haven School District,8381,273,446,761,1068,2648,726.0,296,13592,2015,1560011.0
Westbrook School District,13197,540,401,388,2026,2238,654.0,660,20527,2015,1540011.0
Weston School District,11513,193,1395,1324,1616,2411,703.0,422,20482,2015,1570011.0
Westport School District,11420,638,534,1781,1966,2321,838.0,295,20217,2015,1580011.0
Wethersfield School District,9090,559,284,1017,1352,1616,729.0,150,14977,2015,1590011.0
Willington School District,11312,293,661,1075,2528,1834,763.0,3,18903,2015,1600011.0
Wilton School District,11133,218,727,1933,1950,1555,886.0,0,19253,2015,1610011.0
Windham School District,10285,445,441,1621,1886,2181,1023.0,28,18678,2015,1630011.0
Windsor Locks School District,11087,716,816,1137,2039,2202,732.0,316,18420,2015,1650011.0
Windsor School District,11550,314,913,1598,2435,1646,1149.0,205,18195,2015,1640011.0
Wolcott School District,8951,274,305,587,1604,1548,787.0,321,13821,2015,1660011.0
Woodbridge School District,10904,394,90,233,2718,1235,383.0,0,16488,2015,1670011.0
Woodstock School District,8171,194,149,707,1125,1561,736.0,23,13333,2015,1690011.0
Achievement First Bridgeport Academy District,4889,509,413,907,2635,489,,486,10483,2016,2850013.0
Achievement First Hartford Academy District,7124,466,409,1232,4333,22,,21,13712,2016,2880013.0
Amistad Academy District,5239,230,377,1040,3234,506,,537,11379,2016,2790013.0
Andover School District,11290,508,487,626,2118,1831,346.0,33,17232,2016,10011.0
Ansonia School District,8366,190,265,690,1672,1229,878.0,0,13932,2016,20011.0
Ashford School District,11304,875,253,599,2590,1732,642.0,261,19165,2016,30011.0
Avon School District,9878,246,284,1071,1578,1417,785.0,330,16218,2016,40011.0
Barkhamsted School District,9202,166,798,206,1879,2978,481.0,0,17098,2016,50011.0
Berlin School District,8805,304,478,1624,1782,1942,850.0,412,16044,2016,70011.0
Bethany School District,11108,952,301,586,2067,1703,389.0,0,17925,2016,80011.0
Bethel School District,9141,220,1231,1124,1520,1390,824.0,263,16291,2016,90011.0
Bloomfield School District,11779,380,667,1514,3388,3093,1107.0,306,20879,2016,110011.0
Bolton School District,9455,340,736,1173,2578,1883,819.0,240,17174,2016,120011.0
Booker T. Washington Academy District,7607,770,1510,1599,1065,765,,0,13410,2016,2950013.0
Bozrah School District,12091,538,267,1175,2152,1805,1086.0,62,20502,2016,130011.0
Branford School District,10498,268,1221,822,1802,1506,935.0,359,17758,2016,140011.0
Brass City Charter School District,6961,709,166,706,2212,2034,,914,13744,2016,2900013.0
Bridgeport School District,7831,326,313,1004,1818,1304,976.0,43,14296,2016,150011.0
Bristol School District,8314,165,525,1250,1011,1391,908.0,237,14066,2016,170011.0
Brookfield School District,8362,247,874,1000,1943,1178,929.0,225,14994,2016,180011.0
Brooklyn School District,8188,197,301,1177,1553,1663,913.0,38,14707,2016,190011.0
Canaan School District,17167,853,930,1675,3862,5134,1155.0,205,31627,2016,210011.0
Canterbury School District,10611,273,236,1038,1850,2682,898.0,61,18530,2016,220011.0
Canton School District,8263,295,318,2211,2054,1642,864.0,298,15975,2016,230011.0
Capital Preparatory Harbor School District,5098,1309,1448,738,1750,738,,641,11799,2016,2970013.0
Chaplin School District,12542,410,763,1563,2448,1432,682.0,37,18945,2016,240011.0
Cheshire School District,9284,304,593,938,1533,1561,839.0,222,15781,2016,250011.0
Chester School District,10620,352,184,2913,2885,2239,281.0,364,19352,2016,260011.0
Clinton School District,11532,236,375,1140,1651,1294,799.0,86,17596,2016,270011.0
Colchester School District,8777,274,339,1233,1818,1577,917.0,165,15355,2016,280011.0
Colebrook School District,13373,155,294,481,3664,3241,646.0,243,20345,2016,290011.0
Columbia School District,8290,281,242,3889,2119,927,1207.0,908,19421,2016,300011.0
Common Ground High School District,6961,231,3263,1118,3240,856,,1004,16721,2016,2680013.0
Cornwall School District,19857,395,959,1626,4406,3864,1904.0,9,34236,2016,310011.0
Coventry School District,10361,429,249,995,1700,1635,976.0,9,16406,2016,320011.0
Cromwell School District,8811,404,207,745,1579,1504,673.0,228,14364,2016,330011.0
Danbury School District,8375,385,207,542,1320,989,647.0,86,13039,2016,340011.0
Darien School District,11953,404,1015,580,1565,1941,667.0,296,19727,2016,350011.0
Deep River School District,9843,271,354,2611,2244,1610,345.0,279,18087,2016,360011.0
Derby School District,10085,537,9,1035,1973,1808,731.0,224,16005,2016,370011.0
East Granby School District,11456,833,1104,362,2201,2135,758.0,215,18981,2016,400011.0
East Haddam School District,10821,424,485,1070,2226,2288,1020.0,17,18623,2016,410011.0
East Hampton School District,9790,381,378,906,1825,1193,648.0,9,15020,2016,420011.0
East Hartford School District,9162,356,314,1430,2092,1829,652.0,9,14121,2016,430011.0
East Haven School District,9580,309,411,1580,2252,1692,844.0,332,16354,2016,440011.0
East Lyme School District,9776,126,672,819,1582,1989,726.0,331,15993,2016,450011.0
East Windsor School District,11166,280,473,1582,3708,1371,1057.0,13,19235,2016,470011.0
Eastford School District,13243,158,670,1901,2603,1524,1420.0,0,25137,2016,390011.0
Easton School District,13246,217,467,234,2183,1561,754.0,8,19888,2016,460011.0
Ellington School District,7893,289,583,1593,1134,1303,728.0,200,13632,2016,480011.0
Elm City College Preparatory School District,6452,601,394,1184,4392,771,,623,14612,2016,2890013.0
Elm City Montessori School District,4307,1608,2680,4036,3305,3142,,584,19955,2016,2910013.0
Enfield School District,9313,249,314,185,1909,1476,813.0,242,14371,2016,490011.0
Essex School District,10373,316,203,2453,2168,2706,404.0,242,20887,2016,500011.0
Explorations District,11079,331,731,1132,2087,4348,,138,20464,2016,2720013.0
Fairfield School District,9673,197,1077,1296,1711,1578,801.0,211,17063,2016,510011.0
Farmington School District,10612,364,601,1103,1139,1517,715.0,29,16613,2016,520011.0
Franklin School District,9633,107,237,1180,2411,2047,836.0,67,17307,2016,530011.0
Glastonbury School District,9159,548,970,962,1731,1833,849.0,226,16300,2016,540011.0
Granby School District,8330,246,532,1333,1472,1748,756.0,340,14888,2016,560011.0
Great Oaks Charter School District,6075,988,5023,152,2700,1523,,590,18182,2016,2940013.0
Greenwich School District,14464,263,498,1455,2074,1551,576.0,0,21518,2016,570011.0
Griswold School District,8810,146,164,591,1426,1787,836.0,148,14291,2016,580011.0
Groton School District,9322,200,681,1890,1805,1530,972.0,0,16092,2016,590011.0
Guilford School District,9798,289,569,1119,1894,1631,934.0,299,17493,2016,600011.0
Hamden School District,12538,303,288,1644,1945,2055,1113.0,180,19128,2016,620011.0
Hampton School District,12218,643,570,2363,3123,2285,874.0,125,23845,2016,630011.0
Hartland School District,10111,278,1052,2185,2404,1404,1167.0,825,17704,2016,650011.0
Hebron School District,10286,502,598,1042,1440,1846,314.0,0,16077,2016,670011.0
Highville Charter School District,4863,513,211,678,2724,2079,,693,11773,2016,2860013.0
Integrated Day Charter School District,6934,344,490,595,2264,1365,,661,12715,2016,2640013.0
Interdistrict School for Arts and Comm District,7636,250,1315,637,2484,1181,,0,13531,2016,2650013.0
Jumoke Academy District,6429,344,85,1339,2573,1394,,3,12172,2016,2610013.0
Kent School District,14200,742,500,1668,2555,2429,1311.0,121,24046,2016,680011.0
Killingly School District,8010,253,974,941,1897,1771,1246.0,2,17108,2016,690011.0
Lebanon School District,9096,797,470,1417,1603,2351,1293.0,287,17736,2016,710011.0
Ledyard School District,8664,266,575,954,2057,1171,995.0,142,15183,2016,720011.0
Lisbon School District,10497,688,220,1537,1635,1413,1224.0,90,19897,2016,730011.0
