district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Branford School District,0140011,Mary R. Tisko School,0141511,PK,4,330,33.6,11654,896,1366,101,586,911,1129,0,3,,16646,2021,270.973,1.1881700390813843,13846.933635454452,1064.6003550169203,1623.0402733851708,120.00517394721982,696.2676429016911,1082.422905603141,1341.4439741228828,0.0,3.564510117244153,,19778.278470548725
Branford School District,0140011,Mary T. Murphy School,0141411,PK,4,325,60.0,11636,895,1219,74,586,950,1499,0,0,,16860,2021,270.973,1.1881700390813843,13825.546574750988,1063.412184977839,1448.3792776402074,87.92458289202244,696.2676429016911,1128.761537127315,1781.066888582995,0.0,0.0,,20032.54685891214
Brass City Charter School District,2900013,Brass City Charter School,2900113,PK,8,361,58.7,8423,749,45,0,166,879,990,1,0,,11254,2021,270.973,1.1881700390813843,10007.9562391825,889.9393592719568,53.46765175866229,0.0,197.23622648750978,1044.4014643525368,1176.2883386905705,1.1881700390813843,0.0,,13371.665619821899
Bridgeport School District,0150011,A.B. Skane Center,0154411,PK,PK,205,82.4,16849,3843,1,5,7,1309,1619,0,0,,23634,2021,270.973,1.1881700390813843,20019.476988482245,4566.13746018976,1.1881700390813843,5.940850195406922,8.31719027356969,1555.314581157532,1923.647293272761,0.0,0.0,,28081.210703649438
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",0150811,9,12,314,57.3,10343,378,1,5,5,1041,1543,0,27,,13343,2021,270.973,1.1881700390813843,12289.242714218757,449.1282747727633,1.1881700390813843,5.940850195406922,5.940850195406922,1236.885010683721,1833.346370302576,0.0,32.080591055197374,,15853.75283146291
Bridgeport School District,0150011,Barnum School,0150111,PK,8,597,87.8,8366,1040,1,96,3,502,1174,0,0,,11182,2021,270.973,1.1881700390813843,9940.230546954861,1235.6968406446397,1.1881700390813843,114.06432375181289,3.564510117244153,596.4613596188549,1394.9116258815452,0.0,0.0,,13286.117377008039
Bridgeport School District,0150011,Bassick High School,0156111,9,12,904,86.1,8311,1231,1,5,2,900,1598,0,130,,12178,2021,270.973,1.1881700390813843,9874.881194805384,1462.637318109184,1.1881700390813843,5.940850195406922,2.3763400781627686,1069.3530351732459,1898.6957224520522,0.0,154.46210508057996,,14469.534735933097
Bridgeport School District,0150011,Beardsley School,0150211,PK,6,292,82.5,11222,518,1,5,5,841,1522,0,0,,14116,2021,270.973,1.1881700390813843,13333.644178571294,615.472080244157,1.1881700390813843,5.940850195406922,5.940850195406922,999.2510028674442,1808.3947994818668,0.0,0.0,,16772.208271672822
Bridgeport School District,0150011,"Biotechnology, Research & Zoological Studies Magnet High School",0150611,9,12,382,51.3,7453,568,1,5,3,1029,1543,0,13,,10614,2021,270.973,1.1881700390813843,8855.431301273557,674.8805821982263,1.1881700390813843,5.940850195406922,3.564510117244153,1222.6269702147445,1833.346370302576,0.0,15.446210508057996,,12611.236794809813
Bridgeport School District,0150011,Black Rock School,0150311,PK,8,474,69.0,8628,571,1,5,3,807,1151,0,0,,11167,2021,270.973,1.1881700390813843,10251.531097194184,678.4450923154704,1.1881700390813843,5.940850195406922,3.564510117244153,958.8532215386771,1367.5837149826734,0.0,0.0,,13268.29482642182
Bridgeport School District,0150011,Blackham School,0154011,PK,8,1030,74.9,7397,852,1,141,0,605,1030,0,0,,10028,2021,270.973,1.1881700390813843,8788.893779085,1012.3208732973394,1.1881700390813843,167.53197551047518,0.0,718.8428736442376,1223.8151402538258,0.0,0.0,,11914.969151908123
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,9,12,340,82.6,7463,737,1,5,4,759,1795,0,64,,10828,2021,270.973,1.1881700390813843,8867.313001664372,875.6813188029802,1.1881700390813843,5.940850195406922,4.752680156325537,901.8210596627707,2132.765220151085,0.0,76.0428825012086,,12865.505183173229
Bridgeport School District,0150011,Bryant School,0150411,PK,6,310,86.5,10199,746,1,5,5,720,1325,0,0,,13002,2021,270.973,1.1881700390813843,12118.146228591038,886.3748491547127,1.1881700390813843,5.940850195406922,5.940850195406922,855.4824281385967,1574.3253017828342,0.0,0.0,,15448.58684813616
Bridgeport School District,0150011,Central High School,0156211,9,12,1545,71.5,7831,1059,1,5,1,790,1261,0,121,,11069,2021,270.973,1.1881700390813843,9304.55957604632,1258.2720713871859,1.1881700390813843,5.940850195406922,1.1881700390813843,938.6543308742936,1498.2824192816256,0.0,143.7685747288475,,13151.854162591842
Bridgeport School District,0150011,Cesar Batalla School,0151411,PK,8,1052,88.0,8396,848,1,80,1,666,1148,0,0,,11140,2021,270.973,1.1881700390813843,9975.875648127303,1007.5681931410139,1.1881700390813843,95.05360312651075,1.1881700390813843,791.3212460282019,1364.0192048654292,0.0,0.0,,13236.21423536662
Bridgeport School District,0150011,Classical Studies Academy,0152111,PK,8,425,74.4,6364,616,1,196,4,1126,1463,0,0,,9770,2021,270.973,1.1881700390813843,7561.5141287139295,731.9127440741328,1.1881700390813843,232.88132765995132,4.752680156325537,1337.8794640056387,1738.2927671760651,0.0,0.0,,11608.421281825125
Bridgeport School District,0150011,Columbus School,0150511,PK,8,525,93.1,7798,402,1,212,3,850,1297,0,0,,10563,2021,270.973,1.1881700390813843,9265.349964756635,477.64435571071647,1.1881700390813843,251.89204828525348,3.564510117244153,1009.9445332191766,1541.0565406885555,0.0,0.0,,12550.640122816661
Bridgeport School District,0150011,Edison School,0150711,K,6,196,80.6,8000,1193,1,5,8,1216,1419,0,0,,11843,2021,270.973,1.1881700390813843,9505.360312651075,1417.4868566240914,1.1881700390813843,5.940850195406922,9.505360312651074,1444.8147675229634,1686.0132854564843,0.0,0.0,,14071.497772840834
Bridgeport School District,0150011,Geraldine Claytor Magnet Academy,0153111,PK,8,403,89.1,7098,326,1,5,4,1257,1432,0,0,,10123,2021,270.973,1.1881700390813843,8433.630937399666,387.3434327405313,1.1881700390813843,5.940850195406922,4.752680156325537,1493.5297391253,1701.4594959645424,0.0,0.0,,12027.845305620853
Bridgeport School District,0150011,Geraldine Johnson School,0153211,PK,8,750,86.7,8237,1007,1,166,2,943,1125,0,0,,11481,2021,270.973,1.1881700390813843,9786.956611913363,1196.487229354954,1.1881700390813843,197.23622648750978,2.3763400781627686,1120.4443468537454,1336.6912939665574,0.0,0.0,,13641.380218693374
Bridgeport School District,0150011,Hall School,0151111,K,6,175,85.7,10622,817,1,628,9,1372,1331,0,0,,14780,2021,270.973,1.1881700390813843,12620.742155122463,970.734921929491,1.1881700390813843,746.1707845431093,10.69353035173246,1630.1692936196594,1581.4543220173225,0.0,0.0,,17561.15317762286
Bridgeport School District,0150011,Hallen School,0151211,PK,6,284,71.5,10102,287,1,81,5,920,1535,0,0,,12932,2021,270.973,1.1881700390813843,12002.893734800144,341.0048012163573,1.1881700390813843,96.24177316559212,5.940850195406922,1093.1164359548736,1823.841009989925,0.0,0.0,,15365.414945400462
Bridgeport School District,0150011,High Horizons Magnet School,0154511,PK,8,456,68.4,7035,517,1,5,3,614,1188,0,0,,9364,2021,270.973,1.1881700390813843,8358.77622493754,614.2839102050757,1.1881700390813843,5.940850195406922,3.564510117244153,729.53640399597,1411.5460064286844,0.0,0.0,,11126.024245958082
Bridgeport School District,0150011,Information Technology & Software Engineering Magnet High School,0151511,9,12,374,54.3,7510,378,1,5,5,953,1543,0,41,,10437,2021,270.973,1.1881700390813843,8923.156993501196,449.1282747727633,1.1881700390813843,5.940850195406922,5.940850195406922,1132.3260472445593,1833.346370302576,0.0,48.71497160233675,,12400.930697892409
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,PK,8,486,51.0,9332,394,1,5,3,476,1189,0,0,,11401,2021,270.973,1.1881700390813843,11088.002804707477,468.1389953980654,1.1881700390813843,5.940850195406922,3.564510117244153,565.568938602739,1412.734176467766,0.0,0.0,,13546.326615566863
Bridgeport School District,0150011,James J. Curiale School,0154211,K,8,517,90.9,7836,387,1,5,3,842,1206,0,0,,10281,2021,270.973,1.1881700390813843,9310.500426241728,459.8218051244957,1.1881700390813843,5.940850195406922,3.564510117244153,1000.4391729065255,1432.9330671321495,0.0,0.0,,12215.576171795712
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,PK,8,563,82.9,11389,706,1,183,3,887,1349,0,0,,14517,2021,270.973,1.1881700390813843,13532.068575097886,838.8480475914573,1.1881700390813843,217.43511715189334,3.564510117244153,1053.906824665188,1602.8413827207874,0.0,0.0,,17248.664457344457
Bridgeport School District,0150011,John Winthrop School,0153611,PK,8,607,66.9,8174,609,1,210,3,713,1190,0,0,,10899,2021,270.973,1.1881700390813843,9712.101899451236,723.595553800563,1.1881700390813843,249.5157082070907,3.564510117244153,847.165237865027,1413.9223465068474,0.0,0.0,,12949.865255948007
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,PK,8,788,88.8,7066,527,1,123,2,776,1204,0,0,,9700,2021,270.973,1.1881700390813843,8395.609496149062,626.1656105958896,1.1881700390813843,146.14491480701028,2.3763400781627686,922.0199503271542,1430.5567270539866,0.0,0.0,,11525.249379089428
Bridgeport School District,0150011,Madison School,0152011,K,6,413,80.4,11190,780,1,153,2,668,884,0,0,,13678,2021,270.973,1.1881700390813843,13295.622737320691,926.7726304834797,1.1881700390813843,181.7900159794518,2.3763400781627686,793.6975861063647,1050.3423145479437,0.0,0.0,,16251.789794555174
Bridgeport School District,0150011,Multicultural Magnet School,0154611,K,8,439,78.4,7365,674,1,5,3,576,1140,0,0,,9764,2021,270.973,1.1881700390813843,8750.872337834395,800.826606340853,1.1881700390813843,5.940850195406922,3.564510117244153,684.3859425108774,1354.5138445527782,0.0,0.0,,11601.292261590635
Bridgeport School District,0150011,Park City Magnet School,0151711,PK,8,498,65.7,7841,760,1,139,3,484,1121,0,0,,10349,2021,270.973,1.1881700390813843,9316.441276437134,903.0092297018521,1.1881700390813843,165.1556354323124,3.564510117244153,575.07429891539,1331.9386138102318,0.0,0.0,,12296.371734453247
Bridgeport School District,0150011,Paul Laurence Dunbar School,0154111,PK,8,300,81.0,9175,1188,1,272,3,1475,1472,0,0,,13587,2021,270.973,1.1881700390813843,10901.4601085717,1411.5460064286844,1.1881700390813843,323.18225063013654,3.564510117244153,1752.550807645042,1748.9862975277977,0.0,0.0,,16143.66632099877
Bridgeport School District,0150011,Read School,0152511,PK,8,744,78.2,8186,737,1,137,2,935,1033,0,0,,11031,2021,270.973,1.1881700390813843,9726.359939920212,875.6813188029802,1.1881700390813843,162.77929535414964,2.3763400781627686,1110.9389865410942,1227.37965037107,0.0,0.0,,13106.70370110675
Bridgeport School District,0150011,Roosevelt School,0152611,PK,8,493,88.8,9830,622,1,205,3,994,1347,0,0,,13003,2021,270.973,1.1881700390813843,11679.711484170008,739.041764308621,1.1881700390813843,243.57485801168377,3.564510117244153,1181.041018846896,1600.4650426426247,0.0,0.0,,15449.77501817524
Bridgeport School District,0150011,Thomas Hooker School,0151311,K,8,305,71.1,11221,926,1,5,5,911,1558,0,0,,14627,2021,270.973,1.1881700390813843,13332.456008532214,1100.245456189362,1.1881700390813843,5.940850195406922,5.940850195406922,1082.422905603141,1851.1689208887967,0.0,0.0,,17379.363161643407
Bridgeport School District,0150011,Waltersville School,0153011,PK,8,493,88.0,8873,889,1,161,3,606,1224,0,0,,11758,2021,270.973,1.1881700390813843,10542.632756769122,1056.2831647433507,1.1881700390813843,191.29537629210287,3.564510117244153,720.0310436833189,1454.3201278356144,0.0,0.0,,13970.503319518917
Bridgeport School District,0150011,Warren Harding High School,0156311,9,12,1192,85.5,7342,762,1,106,1,822,1127,0,137,,10299,2021,270.973,1.1881700390813843,8723.544426935523,905.3855697800149,1.1881700390813843,125.94602414262674,1.1881700390813843,976.6757721248979,1339.06763404472,0.0,162.77929535414964,,12236.963232499176
Bridgeport School District,0150011,Wilbur Cross School,0153911,PK,8,315,80.6,10322,905,1,5,3,1276,1516,0,0,,14028,2021,270.973,1.1881700390813843,12264.291143398048,1075.2938853686528,1.1881700390813843,5.940850195406922,3.564510117244153,1516.1049698678464,1801.2657792473785,0.0,0.0,,16667.64930823366
Bristol School District,0170011,Bristol Central High School,0176111,9,12,1202,56.8,8047,817,10,242,0,974,821,0,7,,10920,2021,270.973,1.1881700390813843,9561.2043044879,970.734921929491,11.881700390813844,287.537149457695,0.0,1157.2776180652684,975.4876020858165,0.0,8.31719027356969,,12974.816826768716
Bristol School District,0170011,Bristol Eastern High School,0176211,9,12,1108,54.0,8336,1009,13,272,0,997,918,0,13,,11558,2021,270.973,1.1881700390813843,9904.585445782419,1198.8635694331167,15.446210508057996,323.18225063013654,0.0,1184.6055289641401,1090.7400958767107,0.0,15.446210508057996,,13732.86931170264
Bristol School District,0170011,Chippens Hill Middle School,0175111,6,8,694,60.1,9401,824,31,328,0,1235,1015,0,15,,12851,2021,270.973,1.1881700390813843,11169.986537404095,979.0521122030607,36.83327121152291,389.719772818694,0.0,1467.3899982655096,1205.992589667605,0.0,17.822550586220764,,15269.17317223487
Bristol School District,0170011,Edgewood Pre-K Academy,0170411,PK,PK,96,81.3,10041,0,0,0,0,0,0,0,0,,10041,2021,270.973,1.1881700390813843,11930.415362416179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11930.415362416179
Bristol School District,0170011,Edgewood School,0170311,PK,5,264,50.8,7038,611,42,191,0,1118,737,0,1,,9738,2021,270.973,1.1881700390813843,8362.340735054782,725.9718938787258,49.90314164141814,226.94047746454441,0.0,1328.3741036929875,875.6813188029802,0.0,1.1881700390813843,,11570.39984057452
Bristol School District,0170011,Ellen P. Hubbell School,0171411,PK,5,374,71.1,7297,633,27,394,0,1015,814,0,1,,10181,2021,270.973,1.1881700390813843,8670.076775176862,752.1116347385163,32.080591055197374,468.1389953980654,0.0,1205.992589667605,967.1704118122468,0.0,1.1881700390813843,,12096.759167887574
Bristol School District,0170011,Greene-Hills School,0170511,PK,8,898,62.8,7171,399,28,172,0,855,700,0,5,,9330,2021,270.973,1.1881700390813843,8520.367350252607,474.0798455934723,33.26876109427876,204.3652467219981,0.0,1015.8853834145835,831.719027356969,0.0,5.940850195406922,,11085.626464629315
Bristol School District,0170011,Ivy Drive School,0171911,PK,5,358,57.3,8074,500,36,306,0,928,739,0,1,,10583,2021,270.973,1.1881700390813843,9593.284895543096,594.0850195406922,42.77412140692984,363.5800319589036,0.0,1102.6217962675246,878.057658881143,0.0,1.1881700390813843,,12574.40352359829
Bristol School District,0170011,Mountain View School,0171711,PK,5,316,54.4,7689,714,37,158,0,978,750,0,1,,10326,2021,270.973,1.1881700390813843,9135.839430496764,848.3534079041084,43.96229144601122,187.73086617485873,0.0,1162.0302982215937,891.1275293110382,0.0,1.1881700390813843,,12269.043823554373
Bristol School District,0170011,Northeast Middle School,0175211,6,8,421,57.2,10063,903,36,515,0,1344,842,0,5,,13708,2021,270.973,1.1881700390813843,11956.55510327597,1072.9175452904901,42.77412140692984,611.9075701269129,0.0,1596.9005325253804,1000.4391729065255,0.0,5.940850195406922,,16287.434895727616
Bristol School District,0170011,South Side School,0171111,PK,5,467,61.0,6504,354,34,319,0,774,552,0,1,,8538,2021,270.973,1.1881700390813843,7727.857934185324,420.61219383481006,40.39778132876707,379.0262424669616,0.0,919.6436102489914,655.8698615729242,0.0,1.1881700390813843,,10144.59579367686
Bristol School District,0170011,Stafford School,0171211,PK,5,327,64.5,9410,719,40,193,0,1064,853,0,1,,12282,2021,270.973,1.1881700390813843,11180.680067755826,854.2942580995153,47.526801563255376,229.31681754270716,0.0,1264.2129215825928,1013.5090433364209,0.0,1.1881700390813843,,14593.104419997562
Bristol School District,0170011,West Bristol School,0172011,K,8,843,73.2,6831,453,32,211,0,825,689,0,6,,9049,2021,270.973,1.1881700390813843,8116.389536964936,538.2410277038671,38.0214412506043,250.70387824617208,0.0,980.240282242142,818.6491569270738,0.0,7.129020234488306,,10751.750683647446
Brookfield School District,0180011,Brookfield High School,0186111,9,12,902,30.8,9209,1399,44,312,216,1280,537,65,693,,13754,2021,270.973,1.1881700390813843,10941.857889900468,1662.2498846748567,52.27948171958091,370.7090521933919,256.644728441579,1520.857650024172,638.0473109867033,77.23105254028998,823.4018370833993,,16342.09071752536
Brookfield School District,0180011,Center Elementary School,0180311,PK,1,346,33.8,12199,830,87,365,216,1095,647,0,6,,15444,2021,270.973,1.1881700390813843,14494.486306753806,986.181132437549,103.37079340008043,433.6820642647053,256.644728441579,1301.0461927941158,768.7460152856556,0.0,7.129020234488306,,18350.0980835729
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,2,4,510,32.7,10507,858,61,375,216,995,549,0,22,,13583,2021,270.973,1.1881700390813843,12484.102600628104,1019.4498935318277,72.47837238396444,445.5637646555191,256.644728441579,1182.2291888859775,652.30535145568,0.0,26.139740859790454,,16138.913640842444
Brookfield School District,0180011,Whisconier Middle School,0185311,5,8,790,30.5,9812,1251,28,186,216,1121,518,4,80,,13215,2021,270.973,1.1881700390813843,11658.324423466544,1486.4007188908117,33.26876109427876,220.99962726913748,256.644728441579,1331.9386138102318,615.472080244157,4.752680156325537,95.05360312651075,,15701.667066460494
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,PK,4,482,46.5,9267,847,48,5,1,812,0,0,0,,10980,2021,270.973,1.1881700390813843,11010.771752167188,1006.3800231019325,57.032161875906446,5.940850195406922,1.1881700390813843,964.794071734084,0.0,0.0,0.0,,13046.1070291136
Brooklyn School District,0190011,Brooklyn Middle School,0195111,5,8,334,45.2,11614,712,36,5,41,1169,1,5,0,,13581,2021,270.973,1.1881700390813843,13799.406833891197,845.9770678259456,42.77412140692984,5.940850195406922,48.71497160233675,1388.9707756861383,1.1881700390813843,5.940850195406922,0.0,,16136.53730076428
Canaan School District,0210011,Lee H. Kellogg School,0210111,K,8,68,38.2,20517,2783,657,602,0,3142,4000,0,12,,31712,2021,270.973,1.1881700390813843,24377.68469183276,3306.6772187634924,780.6277156764695,715.2783635269933,0.0,3733.2302627937092,4752.680156325538,0.0,14.258040468976612,,37679.24827934886
Canterbury School District,0220011,Canterbury Elementary School,0220211,PK,4,246,32.1,12319,1270,0,151,0,1125,1157,0,0,,16022,2021,270.973,1.1881700390813843,14637.066711443573,1508.9759496333581,0.0,179.41367590128903,0.0,1336.6912939665574,1374.7127352171617,0.0,0.0,,19036.860366161938
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,5,8,182,37.9,12250,1143,0,174,0,1265,1515,0,0,,16346,2021,270.973,1.1881700390813843,14555.082978746957,1358.0783546700222,0.0,206.74158680016086,0.0,1503.0350994379512,1800.0776092082972,0.0,0.0,,19421.827458824308
Canton School District,0230011,Canton High School,0236111,9,12,481,25.2,9654,2196,74,144,0,911,1472,0,856,,15307,2021,270.973,1.1881700390813843,11470.593557291684,2609.22140582272,87.92458289202244,171.09648562771935,0.0,1082.422905603141,1748.9862975277977,0.0,1017.073553453665,,18187.31878821875
Canton School District,0230011,Canton Intermediate School,0230311,4,6,341,24.6,10134,1733,78,382,0,1149,1349,2,176,,15003,2021,270.973,1.1881700390813843,12040.915176050748,2059.098677728039,92.67726304834798,453.88095492908883,0.0,1365.2073749045105,1602.8413827207874,2.3763400781627686,209.11792687832363,,17826.11509633801
Canton School District,0230011,Canton Middle School,0235111,7,8,243,28.4,10100,1554,73,224,0,1281,769,13,239,,14253,2021,270.973,1.1881700390813843,12000.517394721981,1846.4162407324711,86.73641285294106,266.15008875423007,0.0,1522.0458200632534,913.7027600535845,15.446210508057996,283.9726393404508,,16934.987567026972
Canton School District,0230011,Cherry Brook Primary School,0230211,PK,3,435,23.9,9436,1900,77,164,0,982,1174,0,74,,13806,2021,270.973,1.1881700390813843,11211.572488771943,2257.52307425463,91.4890930092666,194.859886409347,0.0,1166.7829783779193,1394.9116258815452,0.0,87.92458289202244,,16403.875559557593
Capital Preparatory Harbor School District,2970013,Capital Preparatory Harbor School,2970113,K,12,785,68.0,6376,408,337,0,186,1026,1851,75,0,,10259,2021,270.973,1.1881700390813843,7575.7721691829065,484.7733759452048,400.4133031704265,0.0,220.99962726913748,1219.0624600975002,2199.3027423396425,89.11275293110383,0.0,,12189.43643093592
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,6,12,776,64.4,10364,1096,244,122,5,1866,2250,37,0,,15983,2021,270.973,1.1881700390813843,12314.194285039466,1302.234362833197,289.91348953585776,144.95674476792888,5.940850195406922,2217.125292925863,2673.382587933115,43.96229144601122,0.0,,18990.521734637765
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,PK,5,524,55.7,9640,1109,754,0,0,3187,2758,0,0,,17448,2021,270.973,1.1881700390813843,11453.959176744545,1317.6805733412552,895.8802094673638,0.0,0.0,3786.697914552372,3276.972967786458,0.0,0.0,,20731.190841891992
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering,2415214,9,12,410,78.3,11302,1619,319,239,0,1781,3573,46,0,,18879,2021,270.973,1.1881700390813843,13428.697781697805,1923.647293272761,379.0262424669616,283.9726393404508,0.0,2116.1308396039453,4245.331549637786,54.65582179774368,0.0,,22431.462167817455
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering Middle School,2415014,6,8,676,78.0,9783,1540,420,0,0,1522,2410,16,0,,15692,2021,270.973,1.1881700390813843,11623.867492333182,1829.7818601853319,499.0314164141814,0.0,0.0,1808.3947994818668,2863.4897941861364,19.01072062530215,0.0,,18644.764253265083
Capitol Region Education Council,2410014,Academy of International Studies 6-12,2416114,6,12,714,70.9,10004,1838,445,166,0,1764,3782,35,0,,18034,2021,270.973,1.1881700390813843,11886.453070970168,2183.8565318315846,528.735667391216,197.23622648750978,0.0,2095.931948939562,4493.659087805795,41.58595136784845,0.0,,21427.458484793686
Capitol Region Education Council,2410014,Academy of International Studies Elementary School,2410414,PK,5,496,59.3,8816,1539,777,232,0,1130,1990,0,0,,14484,2021,270.973,1.1881700390813843,10474.907064541483,1828.5936901462505,923.2081203662356,275.65544906688115,0.0,1342.6321441619643,2364.458377771955,0.0,0.0,,17209.45484605477
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,6,12,778,74.7,9931,1074,428,108,0,1491,2100,56,0,,15186,2021,270.973,1.1881700390813843,11799.716658117228,1276.0946219734067,508.5367767268325,128.3223642207895,0.0,1771.561528270344,2495.157082070907,66.53752218855752,0.0,,18043.550213489903
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts,2410614,PK,5,483,72.9,9753,1258,1047,0,0,1125,3325,0,0,,16508,2021,270.973,1.1881700390813843,11588.222391160742,1494.7179091643814,1244.0140309182093,0.0,0.0,1336.6912939665574,3950.6653799456026,0.0,0.0,,19614.31100515549
Capitol Region Education Council,2410014,Discovery Academy,2418114,PK,5,522,61.1,8878,1292,743,230,0,1109,1905,0,0,,14158,2021,270.973,1.1881700390813843,10548.57360696453,1535.1156904931486,882.8103390374686,273.2791089887184,0.0,1317.6805733412552,2263.463924450037,0.0,0.0,,16822.11141331424
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,PK,5,465,65.6,11346,1644,336,275,0,1162,1398,0,0,,16160,2021,270.973,1.1881700390813843,13480.977263417386,1953.3515442497958,399.2251331313451,326.7467607473807,0.0,1380.6535854125686,1661.0617146357752,0.0,0.0,,19200.82783155517
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts High School - Full Day,2416414,9,12,439,71.8,9479,2220,372,186,0,2255,6879,-1,0,,21390,2021,270.973,1.1881700390813843,11262.663800452441,2637.737486760673,441.99925453827495,220.99962726913748,0.0,2679.3234381285215,8173.4216988408425,-1.1881700390813843,0.0,,25414.95713595081
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,6,8,349,78.2,10943,1857,660,0,0,1771,2816,0,0,,18046,2021,270.973,1.1881700390813843,13002.144737667588,2206.4317625741305,784.1922257937136,0.0,0.0,2104.2491392131315,3345.886830053178,0.0,0.0,,21441.716525262662
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,PK,6,358,87.7,10691,1673,155,338,47,1595,2891,0,0,,17390,2021,270.973,1.1881700390813843,12702.725887819079,1987.8084753831558,184.16635605761456,401.6014732095079,55.84399183682506,1895.131212334808,3434.999582984282,0.0,0.0,,20662.276979625272
Capitol Region Education Council,2410014,Museum Academy,2410514,PK,5,521,67.9,8930,744,979,257,0,1360,1775,0,0,,14046,2021,270.973,1.1881700390813843,10610.358448996762,883.9985090765499,1163.2184682606753,305.3597000439158,0.0,1615.9112531506826,2109.0018193694573,0.0,0.0,,16689.036368937122
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,PK,5,512,69.5,9857,1161,917,250,0,1201,1937,0,0,,15323,2021,270.973,1.1881700390813843,11711.792075225205,1379.465415373487,1089.5519258376294,297.0425097703461,0.0,1426.9922169367426,2301.4853657006415,0.0,0.0,,18206.32950884405
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,PK,5,478,69.0,10740,1399,1129,247,0,1193,2282,0,0,,16990,2021,270.973,1.1881700390813843,12760.946219734067,1662.2498846748567,1341.4439741228828,293.4779996531019,0.0,1417.4868566240914,2711.404029183719,0.0,0.0,,20187.00896399272
Chaplin School District,0240011,Chaplin Elementary School,0240211,PK,6,130,47.7,16631,1471,0,1035,2417,1500,3427,0,0,,26481,2021,270.973,1.1881700390813843,19760.455919962504,1747.7981274887163,0.0,1229.7559904492327,2871.8069844597057,1782.2550586220764,4071.858723931904,0.0,0.0,,31463.930804914136
Cheshire School District,0250011,Chapman School,0250111,K,6,320,21.3,11111,1315,125,586,99,884,1638,0,15,,15773,2021,270.973,1.1881700390813843,13201.75730423326,1562.4436013920204,148.52125488517305,696.2676429016911,117.62883386905705,1050.3423145479437,1946.2225240153075,0.0,17.822550586220764,,18741.006026430674
Cheshire School District,0250011,Cheshire High School,0256111,9,12,1368,24.3,9744,1561,67,468,98,996,1933,77,651,,15595,2021,270.973,1.1881700390813843,11577.528860809009,1854.733431006041,79.60739261845275,556.0635782900879,116.44066382997566,1183.4173589250588,2296.7326855443157,91.4890930092666,773.4986954419812,,18529.51175947419
Cheshire School District,0250011,Darcey School,0250211,PK,K,156,39.7,16472,2342,132,489,123,894,2201,0,15,,22666,2021,270.973,1.1881700390813843,19571.536883748562,2782.694231528602,156.83844515874273,581.0151491107969,146.14491480701028,1062.2240149387576,2615.1622560181268,0.0,17.822550586220764,,26931.062105818655
Cheshire School District,0250011,Dodd Middle School,0255111,7,8,633,23.4,10011,1385,256,668,99,891,1969,18,94,,15392,2021,270.973,1.1881700390813843,11894.770261243739,1645.6155041277173,304.1715300048344,793.6975861063647,117.62883386905705,1058.6595048215133,2339.506806951246,21.38706070346492,111.68798367365012,,18288.313241540665
Cheshire School District,0250011,Doolittle School,0250611,1,6,429,30.8,10935,1276,125,834,99,762,1826,0,15,,15872,2021,270.973,1.1881700390813843,12992.639377354937,1516.1049698678464,148.52125488517305,990.9338125938744,117.62883386905705,905.3855697800149,2169.5984913626075,0.0,17.822550586220764,,18858.63486029973
