"Smarter Balanced Assessments, 2018-19"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
,,"Math",284,280,98.6,280,47,16.8,76,27.1,61,21.8,96,34.3,157,56.1
"Regional School District 05","=""2050012""","ELA",674,659,97.8,659,31,4.7,79,12.0,268,40.7,281,42.6,549,83.3
,,"Math",674,659,97.8,659,44,6.7,90,13.7,168,25.5,357,54.2,525,79.7
"Regional School District 06","=""2060012""","ELA",293,291,99.3,291,28,9.6,37,12.7,106,36.4,120,41.2,226,77.7
,,"Math",293,291,99.3,291,31,10.7,66,22.7,79,27.1,115,39.5,194,66.7
"Regional School District 07","=""2070012""","ELA",295,279,94.6,279,25,9.0,53,19.0,117,41.9,84,30.1,201,72.0
,,"Math",295,278,94.2,278,77,27.7,71,25.5,61,21.9,69,24.8,130,46.8
"Regional School District 08","=""2080012""","ELA",486,484,99.6,484,57,11.8,107,22.1,192,39.7,128,26.4,320,66.1
,,"Math",486,484,99.6,484,86,17.8,123,25.4,125,25.8,150,31.0,275,56.8
"Regional School District 10","=""2100012""","ELA",1020,1012,99.2,1012,100,9.9,180,17.8,375,37.1,357,35.3,732,72.3
,,"Math",1019,1011,99.2,1011,96,9.5,211,20.9,311,30.8,393,38.9,704,69.6
"Regional School District 11","=""2110012""","ELA",87,87,100.0,87,17,19.5,13,14.9,44,50.6,13,14.9,57,65.5
,,"Math",87,87,100.0,87,30,34.5,24,27.6,16,18.4,17,19.5,33,37.9
"Regional School District 12","=""2120012""","ELA",272,271,99.6,270,18,6.7,42,15.6,88,32.6,122,45.2,210,77.8
,,"Math",272,271,99.6,269,19,7.1,41,15.2,86,32.0,123,45.7,209,77.7
"Regional School District 13","=""2130012""","ELA",708,704,99.4,704,83,11.8,125,17.8,241,34.2,255,36.2,496,70.5
,,"Math",708,704,99.4,704,108,15.3,142,20.2,190,27.0,264,37.5,454,64.5
"Regional School District 14","=""2140012""","ELA",656,651,99.2,649,92,14.2,154,23.7,247,38.1,156,24.0,403,62.1
,,"Math",656,651,99.2,649,135,20.8,181,27.9,178,27.4,155,23.9,333,51.3
"Regional School District 15","=""2150012""","ELA",1604,1578,98.4,1578,137,8.7,258,16.3,572,36.2,611,38.7,1183,75.0
,,"Math",1604,1577,98.3,1577,133,8.4,328,20.8,449,28.5,667,42.3,1116,70.8
"Regional School District 16","=""2160012""","ELA",978,966,98.8,966,118,12.2,172,17.8,328,34.0,348,36.0,676,70.0
,,"Math",979,967,98.8,967,135,14.0,230,23.8,287,29.7,315,32.6,602,62.3
"Regional School District 17","=""2170012""","ELA",931,916,98.4,916,90,9.8,167,18.2,341,37.2,318,34.7,659,71.9
,,"Math",931,914,98.2,914,122,13.3,225,24.6,277,30.3,290,31.7,567,62.0
"Regional School District 18","=""2180012""","ELA",530,528,99.6,523,33,6.3,74,14.1,162,31.0,254,48.6,416,79.5
,,"Math",530,528,99.6,522,38,7.3,71,13.6,135,25.9,278,53.3,413,79.1
"Ridgefield School District","=""1180011""","ELA",2205,2164,98.1,2164,88,4.1,261,12.1,766,35.4,1049,48.5,1815,83.9
,,"Math",2204,2156,97.8,2156,135,6.3,348,16.1,579,26.9,1094,50.7,1673,77.6
"Rocky Hill School District","=""1190011""","ELA",1277,1273,99.7,1273,122,9.6,179,14.1,424,33.3,548,43.0,972,76.4
,,"Math",1276,1272,99.7,1272,139,10.9,255,20.0,332,26.1,546,42.9,878,69.0
"Salem School District","=""1210011""","ELA",278,277,99.6,277,21,7.6,41,14.8,93,33.6,122,44.0,215,77.6
,,"Math",278,276,99.3,276,24,8.7,55,19.9,69,25.0,128,46.4,197,71.4
"Salisbury School District","=""1220011""","ELA",181,180,99.4,180,13,7.2,24,13.3,66,36.7,77,42.8,143,79.4
,,"Math",181,180,99.4,180,21,11.7,48,26.7,63,35.0,48,26.7,111,61.7
"Scotland School District","=""1230011""","ELA",47,46,97.9,46,"*","*","*","*",16,34.8,14,30.4,30,65.2
,,"Math",47,46,97.9,46,"*","*",12,26.1,24,52.2,"*","*","*","*"
"Seymour School District","=""1240011""","ELA",1007,1002,99.5,1002,219,21.9,239,23.9,315,31.4,229,22.9,544,54.3
,,"Math",1007,1002,99.5,1002,251,25.0,257,25.6,251,25.0,243,24.3,494,49.3
"Sharon School District","=""1250011""","ELA",80,79,98.8,79,13,16.5,16,20.3,25,31.6,25,31.6,50,63.3
,,"Math",80,79,98.8,79,18,22.8,18,22.8,26,32.9,17,21.5,43,54.4
"Shelton School District","=""1260011""","ELA",2194,2187,99.7,2184,240,11.0,397,18.2,776,35.5,771,35.3,1547,70.8
,,"Math",2194,2186,99.6,2182,307,14.1,523,24.0,600,27.5,752,34.5,1352,62.0
"Sherman School District","=""1270011""","ELA",194,182,93.8,182,26,14.3,42,23.1,66,36.3,48,26.4,114,62.6
,,"Math",194,182,93.8,182,26,14.3,49,26.9,55,30.2,52,28.6,107,58.8
"Side By Side Charter School District","=""2700013""","ELA",130,130,100.0,130,23,17.7,40,30.8,47,36.2,20,15.4,67,51.5
,,"Math",130,130,100.0,130,20,15.4,44,33.8,29,22.3,37,28.5,66,50.8
"Simsbury School District","=""1280011""","ELA",1749,1735,99.2,1735,97,5.6,221,12.7,566,32.6,851,49.0,1417,81.7
,,"Math",1749,1736,99.3,1735,162,9.3,351,20.2,519,29.9,703,40.5,1222,70.4
"Somers School District","=""1290011""","ELA",606,582,96.0,581,106,18.2,120,20.7,209,36.0,146,25.1,355,61.1
,,"Math",607,581,95.7,581,91,15.7,180,31.0,174,29.9,136,23.4,310,53.4
"South Windsor School District","=""1320011""","ELA",1994,1974,99.0,1974,197,10.0,306,15.5,672,34.0,799,40.5,1471,74.5
,,"Math",1994,1973,98.9,1973,185,9.4,390,19.8,512,26.0,886,44.9,1398,70.9
"Southington School District","=""1310011""","ELA",2940,2911,99.0,2911,318,10.9,612,21.0,1094,37.6,887,30.5,1981,68.1
,,"Math",2940,2908,98.9,2908,343,11.8,748,25.7,938,32.3,879,30.2,1817,62.5
"Sprague School District","=""1330011""","ELA",182,181,99.5,181,60,33.1,50,27.6,58,32.0,13,7.2,71,39.2
,,"Math",182,181,99.5,181,75,41.4,58,32.0,38,21.0,10,5.5,48,26.5
"Stafford School District","=""1340011""","ELA",701,693,98.9,693,160,23.1,155,22.4,235,33.9,143,20.6,378,54.5
,,"Math",701,693,98.9,693,134,19.3,242,34.9,203,29.3,114,16.5,317,45.7
"Stamford Charter School for Excellence District","=""2960013""","ELA",102,102,100.0,102,"*","*","*","*",21,20.6,66,64.7,87,85.3
,,"Math",102,102,100.0,102,0,0.0,"*","*","*","*",62,60.8,"*","*"
"Stamford School District","=""1350011""","ELA",7346,7253,98.7,7250,2083,28.7,1699,23.4,2036,28.1,1432,19.8,3468,47.8
,,"Math",7344,7237,98.5,7235,2257,31.2,1880,26.0,1600,22.1,1498,20.7,3098,42.8
"Sterling School District","=""1360011""","ELA",244,240,98.4,240,83,34.6,44,18.3,68,28.3,45,18.8,113,47.1
,,"Math",244,240,98.4,239,87,36.4,86,36.0,39,16.3,27,11.3,66,27.6
"Stonington School District","=""1370011""","ELA",900,896,99.6,896,80,8.9,125,14.0,319,35.6,372,41.5,691,77.1
,,"Math",900,895,99.4,894,118,13.2,182,20.4,247,27.6,347,38.8,594,66.4
"Stratford School District","=""1380011""","ELA",3142,3132,99.7,3132,806,25.7,810,25.9,998,31.9,518,16.5,1516,48.4
,,"Math",3142,3132,99.7,3132,1018,32.5,992,31.7,696,22.2,426,13.6,1122,35.8
"Suffield School District","=""1390011""","ELA",892,875,98.1,874,110,12.6,155,17.7,324,37.1,285,32.6,609,69.7
,,"Math",893,876,98.1,876,126,14.4,218,24.9,248,28.3,284,32.4,532,60.7
"The Bridge Academy District","=""2690013""","ELA",95,95,100.0,95,31,32.6,33,34.7,24,25.3,7,7.4,31,32.6
,,"Math",94,94,100.0,94,55,58.5,27,28.7,12,12.8,0,0.0,12,12.8
"The Gilbert School District","=""9020022""","ELA",153,150,98.0,150,30,20.0,35,23.3,57,38.0,28,18.7,85,56.7
,,"Math",153,148,96.7,148,46,31.1,35,23.6,43,29.1,24,16.2,67,45.3
"Thomaston School District","=""1400011""","ELA",401,396,98.8,396,88,22.2,93,23.5,131,33.1,84,21.2,215,54.3
,,"Math",401,396,98.8,395,108,27.3,126,31.9,101,25.6,60,15.2,161,40.8
"Thompson School District","=""1410011""","ELA",466,448,96.1,448,147,32.8,125,27.9,121,27.0,55,12.3,176,39.3
,,"Math",466,446,95.7,445,158,35.5,151,33.9,89,20.0,47,10.6,136,30.6
"Tolland School District","=""1420011""","ELA",1092,1034,94.7,1034,146,14.1,240,23.2,352,34.0,296,28.6,648,62.7
,,"Math",1092,1029,94.2,1029,132,12.8,290,28.2,320,31.1,287,27.9,607,59.0
"Torrington School District","=""1430011""","ELA",1998,1968,98.5,1966,597,30.4,498,25.3,578,29.4,293,14.9,871,44.3
,,"Math",1999,1968,98.4,1964,709,36.1,644,32.8,392,20.0,219,11.2,611,31.1
"Trailblazers Academy District","=""2780013""","ELA",124,121,97.6,121,66,54.5,30,24.8,"*","*","*","*",25,20.7
,,"Math",124,120,96.8,120,96,80.0,"*","*","*","*",0,0.0,"*","*"
"Trumbull School District","=""1440011""","ELA",3037,3015,99.3,3015,204,6.8,395,13.1,970,32.2,1446,48.0,2416,80.1
,,"Math",3037,3010,99.1,3010,208,6.9,499,16.6,840,27.9,1463,48.6,2303,76.5
"Unified School District #2","=""3470015""","ELA",37,35,94.6,35,27,77.1,"*","*","*","*","*","*","*","*"
,,"Math",40,37,92.5,37,31,83.8,"*","*","*","*",0,0.0,"*","*"
"Union School District","=""1450011""","ELA",29,29,100.0,29,"*","*","*","*",12,41.4,8,27.6,20,69.0
,,"Math",29,29,100.0,29,"*","*",10,34.5,8,27.6,"*","*","*","*"
"Vernon School District","=""1460011""","ELA",1411,1404,99.5,1403,320,22.8,335,23.9,419,29.9,329,23.4,748,53.3
,,"Math",1411,1396,98.9,1396,362,25.9,377,27.0,361,25.9,296,21.2,657,47.1
"Voluntown School District","=""1470011""","ELA",168,168,100.0,168,25,14.9,20,11.9,69,41.1,54,32.1,123,73.2
,,"Math",168,168,100.0,168,18,10.7,38,22.6,49,29.2,63,37.5,112,66.7
"Wallingford School District","=""1480011""","ELA",2467,2435,98.7,2435,538,22.1,599,24.6,823,33.8,475,19.5,1298,53.3
,,"Math",2467,2432,98.6,2431,615,25.3,776,31.9,639,26.3,401,16.5,1040,42.8
"Waterbury School District","=""1510011""","ELA",8552,8508,99.5,8507,3727,43.8,2201,25.9,1834,21.6,745,8.8,2579,30.3
,,"Math",8541,8491,99.4,8491,4449,52.4,2325,27.4,1170,13.8,547,6.4,1717,20.2
"Waterford School District","=""1520011""","ELA",1118,1114,99.6,1114,136,12.2,197,17.7,390,35.0,391,35.1,781,70.1
,,"Math",1118,1113,99.6,1113,145,13.0,243,21.8,316,28.4,409,36.7,725,65.1
"Watertown School District","=""1530011""","ELA",1269,1256,99.0,1256,180,14.3,271,21.6,476,37.9,329,26.2,805,64.1
,,"Math",1268,1253,98.8,1253,238,19.0,359,28.7,348,27.8,308,24.6,656,52.4
"West Hartford School District","=""1550011""","ELA",4270,4239,99.3,4239,540,12.7,717,16.9,1392,32.8,1590,37.5,2982,70.3
,,"Math",4267,4226,99.0,4225,664,15.7,935,22.1,1142,27.0,1484,35.1,2626,62.2
"West Haven School District","=""1560011""","ELA",2748,2717,98.9,2717,692,25.5,708,26.1,867,31.9,450,16.6,1317,48.5
,,"Math",2748,2707,98.5,2706,750,27.7,824,30.5,662,24.5,470,17.4,1132,41.8
"Westbrook School District","=""1540011""","ELA",283,282,99.6,282,29,10.3,45,16.0,94,33.3,114,40.4,208,73.8
,,"Math",283,282,99.6,282,26,9.2,61,21.6,80,28.4,115,40.8,195,69.1
"Weston School District","=""1570011""","ELA",1082,1072,99.1,1072,62,5.8,178,16.6,404,37.7,428,39.9,832,77.6
,,"Math",1082,1068,98.7,1068,71,6.6,195,18.3,322,30.1,480,44.9,802,75.1
"Westport School District","=""1580011""","ELA",2512,2433,96.9,2433,131,5.4,264,10.9,778,32.0,1260,51.8,2038,83.8
,,"Math",2512,2435,96.9,2435,120,4.9,286,11.7,566,23.2,1463,60.1,2029,83.3
"Wethersfield School District","=""1590011""","ELA",1618,1605,99.2,1604,239,14.9,318,19.8,537,33.5,510,31.8,1047,65.3
,,"Math",1619,1603,99.0,1602,255,15.9,416,26.0,421,26.3,510,31.8,931,58.1
"Willington School District","=""1600011""","ELA",285,278,97.5,278,49,17.6,77,27.7,90,32.4,62,22.3,152,54.7
,,"Math",285,278,97.5,278,43,15.5,80,28.8,95,34.2,60,21.6,155,55.8
"Wilton School District","=""1610011""","ELA",1855,1782,96.1,1781,119,6.7,204,11.5,657,36.9,801,45.0,1458,81.9
,,"Math",1854,1782,96.1,1782,144,8.1,304,17.1,535,30.0,799,44.8,1334,74.9
"Winchester School District","=""1620011""","ELA",294,294,100.0,294,77,26.2,74,25.2,85,28.9,58,19.7,143,48.6
,,"Math",294,294,100.0,294,54,18.4,82,27.9,83,28.2,75,25.5,158,53.7
"Windham School District","=""1630011""","ELA",1657,1642,99.1,1641,649,39.5,390,23.8,377,23.0,225,13.7,602,36.7
,,"Math",1655,1634,98.7,1634,686,42.0,430,26.3,286,17.5,232,14.2,518,31.7
"Windsor Locks School District","=""1650011""","ELA",679,676,99.6,676,184,27.2,162,24.0,213,31.5,117,17.3,330,48.8
,,"Math",679,676,99.6,676,187,27.7,209,30.9,173,25.6,107,15.8,280,41.4
"Windsor School District","=""1640011""","ELA",1392,1369,98.3,1367,397,29.0,342,25.0,378,27.7,250,18.3,628,45.9
,,"Math",1391,1359,97.7,1359,378,27.8,387,28.5,318,23.4,276,20.3,594,43.7
"Wolcott School District","=""1660011""","ELA",991,987,99.6,987,98,9.9,180,18.2,368,37.3,341,34.5,709,71.8
,,"Math",991,987,99.6,987,98,9.9,236,23.9,313,31.7,340,34.4,653,66.2
"Woodbridge School District","=""1670011""","ELA",491,468,95.3,468,25,5.3,68,14.5,136,29.1,239,51.1,375,80.1
,,"Math",491,464,94.5,464,33,7.1,87,18.8,136,29.3,208,44.8,344,74.1
"Woodstock School District","=""1690011""","ELA",568,546,96.1,546,88,16.1,129,23.6,191,35.0,138,25.3,329,60.3
,,"Math",568,546,96.1,546,107,19.6,190,34.8,155,28.4,94,17.2,249,45.6

