"Smarter Balanced Assessments, 2021-22"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"Regional School District 04","=""2040012""","ELA",244,239,98.0,239,43,18.0,54,22.6,93,38.9,49,20.5,142,59.4
,,"Math",244,238,97.5,238,65,27.3,73,30.7,61,25.6,39,16.4,100,42.0
"Regional School District 05","=""2050012""","ELA",715,706,98.7,706,60,8.5,126,17.8,256,36.3,264,37.4,520,73.7
,,"Math",715,701,98.0,701,114,16.3,147,21.0,167,23.8,273,38.9,440,62.8
"Regional School District 06","=""2060012""","ELA",310,308,99.4,308,24,7.8,52,16.9,118,38.3,114,37.0,232,75.3
,,"Math",310,306,98.7,306,38,12.4,65,21.2,98,32.0,105,34.3,203,66.3
"Regional School District 07","=""2070012""","ELA",238,234,98.3,234,29,12.4,61,26.1,101,43.2,43,18.4,144,61.5
,,"Math",238,231,97.1,231,39,16.9,79,34.2,69,29.9,44,19.0,113,48.9
"Regional School District 08","=""2080012""","ELA",380,376,98.9,376,53,14.1,87,23.1,166,44.1,70,18.6,236,62.8
,,"Math",380,375,98.7,375,60,16.0,127,33.9,83,22.1,105,28.0,188,50.1
"Regional School District 10","=""2100012""","ELA",1002,995,99.3,995,138,13.9,244,24.5,366,36.8,247,24.8,613,61.6
,,"Math",1002,993,99.1,993,168,16.9,303,30.5,270,27.2,252,25.4,522,52.6
"Regional School District 11","=""2110012""","ELA",79,79,100.0,79,15,19.0,18,22.8,34,43.0,12,15.2,46,58.2
,,"Math",79,79,100.0,79,18,22.8,26,32.9,20,25.3,15,19.0,35,44.3
"Regional School District 12","=""2120012""","ELA",273,272,99.6,272,14,5.1,38,14.0,95,34.9,125,46.0,220,80.9
,,"Math",273,272,99.6,272,19,7.0,62,22.8,82,30.1,109,40.1,191,70.2
"Regional School District 13","=""2130012""","ELA",610,598,98.0,598,109,18.2,125,20.9,193,32.3,171,28.6,364,60.9
,,"Math",610,596,97.7,596,136,22.8,187,31.4,141,23.7,132,22.1,273,45.8
"Regional School District 14","=""2140012""","ELA",593,588,99.2,588,113,19.2,122,20.7,204,34.7,149,25.3,353,60.0
,,"Math",593,585,98.7,585,112,19.1,150,25.6,169,28.9,154,26.3,323,55.2
"Regional School District 15","=""2150012""","ELA",1595,1575,98.7,1575,265,16.8,393,25.0,528,33.5,389,24.7,917,58.2
,,"Math",1596,1559,97.7,1559,242,15.5,413,26.5,461,29.6,443,28.4,904,58.0
"Regional School District 16","=""2160012""","ELA",896,887,99.0,887,107,12.1,201,22.7,319,36.0,260,29.3,579,65.3
,,"Math",896,886,98.9,886,126,14.2,253,28.6,250,28.2,257,29.0,507,57.2
"Regional School District 17","=""2170012""","ELA",787,774,98.3,774,75,9.7,150,19.4,288,37.2,261,33.7,549,70.9
,,"Math",787,774,98.3,774,110,14.2,209,27.0,215,27.8,240,31.0,455,58.8
"Regional School District 18","=""2180012""","ELA",520,518,99.6,515,46,8.9,76,14.8,188,36.5,205,39.8,393,76.3
,,"Math",519,516,99.4,513,54,10.5,98,19.1,141,27.5,220,42.9,361,70.4
"Ridgefield School District","=""1180011""","ELA",2018,1966,97.4,1966,124,6.3,294,15.0,693,35.2,855,43.5,1548,78.7
,,"Math",2018,1934,95.8,1934,143,7.4,401,20.7,586,30.3,804,41.6,1390,71.9
"Rocky Hill School District","=""1190011""","ELA",1185,1175,99.2,1175,121,10.3,201,17.1,378,32.2,475,40.4,853,72.6
,,"Math",1186,1176,99.2,1176,166,14.1,251,21.3,290,24.7,469,39.9,759,64.5
"Salem School District","=""1210011""","ELA",249,248,99.6,248,35,14.1,36,14.5,91,36.7,86,34.7,177,71.4
,,"Math",250,249,99.6,249,33,13.3,57,22.9,79,31.7,80,32.1,159,63.9
"Salisbury School District","=""1220011""","ELA",182,181,99.5,181,17,9.4,26,14.4,52,28.7,86,47.5,138,76.2
,,"Math",182,181,99.5,181,20,11.0,46,25.4,50,27.6,65,35.9,115,63.5
"Scotland School District","=""1230011""","ELA",51,49,96.1,49,10,20.4,12,24.5,17,34.7,10,20.4,27,55.1
,,"Math",51,49,96.1,49,12,24.5,17,34.7,12,24.5,8,16.3,20,40.8
"Seymour School District","=""1240011""","ELA",965,959,99.4,959,236,24.6,268,27.9,269,28.1,186,19.4,455,47.4
,,"Math",965,959,99.4,959,276,28.8,272,28.4,235,24.5,176,18.4,411,42.9
"Sharon School District","=""1250011""","ELA",63,63,100.0,63,11,17.5,17,27.0,23,36.5,12,19.0,35,55.6
,,"Math",63,63,100.0,63,16,25.4,22,34.9,13,20.6,12,19.0,25,39.7
"Shelton School District","=""1260011""","ELA",2133,2123,99.5,2123,368,17.3,489,23.0,725,34.1,541,25.5,1266,59.6
,,"Math",2132,2118,99.3,2118,406,19.2,596,28.1,570,26.9,546,25.8,1116,52.7
"Sherman School District","=""1270011""","ELA",187,178,95.2,178,18,10.1,36,20.2,67,37.6,57,32.0,124,69.7
,,"Math",187,176,94.1,176,29,16.5,45,25.6,51,29.0,51,29.0,102,58.0
"Side By Side Charter School District","=""2700013""","ELA",131,131,100.0,131,36,27.5,28,21.4,47,35.9,20,15.3,67,51.1
,,"Math",131,131,100.0,131,30,22.9,43,32.8,31,23.7,27,20.6,58,44.3
"Simsbury School District","=""1280011""","ELA",1833,1807,98.6,1807,177,9.8,270,14.9,616,34.1,744,41.2,1360,75.3
,,"Math",1833,1805,98.5,1805,226,12.5,375,20.8,485,26.9,719,39.8,1204,66.7
"Somers School District","=""1290011""","ELA",580,570,98.3,570,104,18.2,125,21.9,208,36.5,133,23.3,341,59.8
,,"Math",580,570,98.3,570,123,21.6,177,31.1,161,28.2,109,19.1,270,47.4
"South Windsor School District","=""1320011""","ELA",2277,2261,99.3,2261,252,11.1,338,14.9,751,33.2,920,40.7,1671,73.9
,,"Math",2277,2258,99.2,2258,317,14.0,425,18.8,593,26.3,923,40.9,1516,67.1
"Southington School District","=""1310011""","ELA",2744,2719,99.1,2719,384,14.1,592,21.8,998,36.7,745,27.4,1743,64.1
,,"Math",2744,2712,98.8,2712,412,15.2,716,26.4,808,29.8,776,28.6,1584,58.4
"Sprague School District","=""1330011""","ELA",167,167,100.0,167,68,40.7,41,24.6,44,26.3,14,8.4,58,34.7
,,"Math",167,166,99.4,166,71,42.8,59,35.5,25,15.1,11,6.6,36,21.7
"Stafford School District","=""1340011""","ELA",640,637,99.5,637,153,24.0,171,26.8,191,30.0,122,19.2,313,49.1
,,"Math",640,636,99.4,636,185,29.1,200,31.4,152,23.9,99,15.6,251,39.5
"Stamford Charter School for Excellence District","=""2960013""","ELA",260,260,100.0,260,22,8.5,36,13.8,76,29.2,126,48.5,202,77.7
,,"Math",260,260,100.0,260,15,5.8,46,17.7,76,29.2,123,47.3,199,76.5
"Stamford School District","=""1350011""","ELA",7184,7105,98.9,7104,2677,37.7,1540,21.7,1684,23.7,1203,16.9,2887,40.6
,,"Math",7184,7079,98.5,7074,3086,43.6,1729,24.4,1206,17.0,1053,14.9,2259,31.9
"Sterling School District","=""1360011""","ELA",212,209,98.6,209,71,34.0,55,26.3,69,33.0,14,6.7,83,39.7
,,"Math",212,209,98.6,209,104,49.8,54,25.8,39,18.7,12,5.7,51,24.4
"Stonington School District","=""1370011""","ELA",798,792,99.2,791,77,9.7,134,16.9,293,37.0,287,36.3,580,73.3
,,"Math",798,790,99.0,789,110,13.9,168,21.3,228,28.9,283,35.9,511,64.8
"Stratford School District","=""1380011""","ELA",3067,3050,99.4,3050,1080,35.4,756,24.8,817,26.8,397,13.0,1214,39.8
,,"Math",3066,3041,99.2,3041,1384,45.5,857,28.2,487,16.0,313,10.3,800,26.3
"Suffield School District","=""1390011""","ELA",851,840,98.7,840,128,15.2,171,20.4,297,35.4,244,29.0,541,64.4
,,"Math",851,843,99.1,843,118,14.0,212,25.1,260,30.8,253,30.0,513,60.9
"The Bridge Academy District","=""2690013""","ELA",101,101,100.0,101,44,43.6,34,33.7,"*","*","*","*",23,22.8
,,"Math",101,101,100.0,101,60,59.4,27,26.7,"*","*","*","*",14,13.9
"The Gilbert School District","=""9020022""","ELA",167,159,95.2,159,49,30.8,47,29.6,42,26.4,21,13.2,63,39.6
,,"Math",167,161,96.4,161,75,46.6,46,28.6,26,16.1,14,8.7,40,24.8
"Thomaston School District","=""1400011""","ELA",390,382,97.9,382,98,25.7,88,23.0,132,34.6,64,16.8,196,51.3
,,"Math",390,377,96.7,377,116,30.8,121,32.1,91,24.1,49,13.0,140,37.1
"Thompson School District","=""1410011""","ELA",457,448,98.0,448,131,29.2,121,27.0,123,27.5,73,16.3,196,43.8
,,"Math",457,446,97.6,446,161,36.1,135,30.3,86,19.3,64,14.3,150,33.6
"Tolland School District","=""1420011""","ELA",977,954,97.6,954,164,17.2,220,23.1,323,33.9,247,25.9,570,59.7
,,"Math",977,955,97.7,955,169,17.7,267,28.0,273,28.6,246,25.8,519,54.3
"Torrington School District","=""1430011""","ELA",1914,1895,99.0,1895,598,31.6,504,26.6,535,28.2,258,13.6,793,41.8
,,"Math",1912,1871,97.9,1870,852,45.6,549,29.4,317,17.0,152,8.1,469,25.1
"Trumbull School District","=""1440011""","ELA",3060,3044,99.5,3043,277,9.1,539,17.7,953,31.3,1274,41.9,2227,73.2
,,"Math",3060,3039,99.3,3039,368,12.1,594,19.5,828,27.2,1249,41.1,2077,68.3
"Unified School District #2","=""3470015""","ELA",34,"*","*","*",24,77.4,7,22.6,0,0.0,0,0.0,0,0.0
,,"Math",34,32,94.1,32,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Union School District","=""1450011""","ELA","*",33,"*",33,"*","*",8,24.2,16,48.5,"*","*","*","*"
,,"Math","*",33,"*",33,11,33.3,13,39.4,"*","*","*","*",9,27.3
"Vernon School District","=""1460011""","ELA",1349,1330,98.6,1330,345,25.9,307,23.1,389,29.2,289,21.7,678,51.0
,,"Math",1348,1317,97.7,1317,359,27.3,390,29.6,300,22.8,268,20.3,568,43.1
"Voluntown School District","=""1470011""","ELA",151,151,100.0,151,26,17.2,38,25.2,57,37.7,30,19.9,87,57.6
,,"Math",151,151,100.0,151,22,14.6,45,29.8,53,35.1,31,20.5,84,55.6
"Wallingford School District","=""1480011""","ELA",2294,2284,99.6,2284,554,24.3,579,25.4,687,30.1,464,20.3,1151,50.4
,,"Math",2293,2271,99.0,2270,685,30.2,721,31.8,521,23.0,343,15.1,864,38.1
"Waterbury School District","=""1510011""","ELA",8247,8177,99.2,8176,4383,53.6,1869,22.9,1361,16.6,563,6.9,1924,23.5
,,"Math",8235,8127,98.7,8126,5379,66.2,1735,21.4,724,8.9,288,3.5,1012,12.5
"Waterford School District","=""1520011""","ELA",1063,1060,99.7,1060,179,16.9,237,22.4,387,36.5,257,24.2,644,60.8
,,"Math",1062,1055,99.3,1055,207,19.6,287,27.2,307,29.1,254,24.1,561,53.2
"Watertown School District","=""1530011""","ELA",1159,1141,98.4,1141,223,19.5,273,23.9,417,36.5,228,20.0,645,56.5
,,"Math",1160,1139,98.2,1139,245,21.5,344,30.2,348,30.6,202,17.7,550,48.3
"West Hartford School District","=""1550011""","ELA",4020,3989,99.2,3978,643,16.2,682,17.1,1210,30.4,1443,36.3,2653,66.7
,,"Math",4019,3960,98.5,3948,788,20.0,868,22.0,944,23.9,1348,34.1,2292,58.1
"West Haven School District","=""1560011""","ELA",2642,2621,99.2,2621,901,34.4,744,28.4,668,25.5,308,11.8,976,37.2
,,"Math",2642,2603,98.5,2602,1044,40.1,808,31.1,473,18.2,277,10.6,750,28.8
"Westbrook School District","=""1540011""","ELA",250,248,99.2,248,42,16.9,43,17.3,89,35.9,74,29.8,163,65.7
,,"Math",250,248,99.2,248,37,14.9,64,25.8,73,29.4,74,29.8,147,59.3
"Weston School District","=""1570011""","ELA",997,990,99.3,990,56,5.7,150,15.2,352,35.6,432,43.6,784,79.2
,,"Math",998,989,99.1,989,66,6.7,187,18.9,287,29.0,449,45.4,736,74.4
"Westport School District","=""1580011""","ELA",2359,2333,98.9,2333,147,6.3,345,14.8,766,32.8,1075,46.1,1841,78.9
,,"Math",2359,2331,98.8,2331,180,7.7,378,16.2,632,27.1,1141,48.9,1773,76.1
"Wethersfield School District","=""1590011""","ELA",1624,1615,99.4,1613,315,19.5,333,20.6,536,33.2,429,26.6,965,59.8
,,"Math",1621,1609,99.3,1608,423,26.3,455,28.3,372,23.1,358,22.3,730,45.4
"Willington School District","=""1600011""","ELA",263,260,98.9,260,71,27.3,75,28.8,74,28.5,40,15.4,114,43.8
,,"Math",263,259,98.5,258,71,27.5,86,33.3,57,22.1,44,17.1,101,39.1
"Wilton School District","=""1610011""","ELA",1691,1663,98.3,1663,110,6.6,252,15.2,588,35.4,713,42.9,1301,78.2
,,"Math",1691,1647,97.4,1647,103,6.3,319,19.4,465,28.2,760,46.1,1225,74.4
"Winchester School District","=""1620011""","ELA",286,285,99.7,285,80,28.1,67,23.5,87,30.5,51,17.9,138,48.4
,,"Math",286,285,99.7,285,66,23.2,80,28.1,65,22.8,74,26.0,139,48.8
"Windham School District","=""1630011""","ELA",1552,1536,99.0,1536,784,51.0,349,22.7,284,18.5,119,7.7,403,26.2
,,"Math",1551,1529,98.6,1527,873,57.2,346,22.7,215,14.1,93,6.1,308,20.2
"Windsor Locks School District","=""1650011""","ELA",645,640,99.2,640,166,25.9,167,26.1,196,30.6,111,17.3,307,48.0
,,"Math",645,640,99.2,640,195,30.5,204,31.9,136,21.3,105,16.4,241,37.7
"Windsor School District","=""1640011""","ELA",1388,1367,98.5,1367,496,36.3,335,24.5,319,23.3,217,15.9,536,39.2
,,"Math",1387,1359,98.0,1358,563,41.5,357,26.3,249,18.3,189,13.9,438,32.3
"Wolcott School District","=""1660011""","ELA",993,990,99.7,990,141,14.2,222,22.4,356,36.0,271,27.4,627,63.3
,,"Math",993,988,99.5,988,186,18.8,305,30.9,256,25.9,241,24.4,497,50.3
"Woodbridge School District","=""1670011""","ELA",497,487,98.0,487,35,7.2,60,12.3,125,25.7,267,54.8,392,80.5
,,"Math",497,487,98.0,487,42,8.6,72,14.8,137,28.1,236,48.5,373,76.6
"Woodstock School District","=""1690011""","ELA",520,513,98.7,513,97,18.9,114,22.2,175,34.1,127,24.8,302,58.9
,,"Math",520,513,98.7,513,148,28.8,188,36.6,112,21.8,65,12.7,177,34.5

