District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Regional School District 18,2021,Non-High Needs,79.0,78.0,98.7
Regional School District 19,2021,High Needs,117.0,102.0,87.2
Regional School District 19,2021,Non-High Needs,160.0,159.0,99.4
Ridgefield School District,2021,High Needs,65.0,56.0,86.2
Ridgefield School District,2021,Non-High Needs,345.0,344.0,99.7
Rocky Hill School District,2021,High Needs,57.0,54.0,94.7
Rocky Hill School District,2021,Non-High Needs,132.0,132.0,100.0
Seymour School District,2021,High Needs,87.0,76.0,87.4
Seymour School District,2021,Non-High Needs,92.0,90.0,97.8
Shelton School District,2021,High Needs,141.0,118.0,83.7
Shelton School District,2021,Non-High Needs,189.0,186.0,98.4
Simsbury School District,2021,High Needs,96.0,85.0,88.5
Simsbury School District,2021,Non-High Needs,233.0,233.0,100.0
Somers School District,2021,High Needs,27.0,26.0,96.3
Somers School District,2021,Non-High Needs,92.0,92.0,100.0
South Windsor School District,2021,High Needs,115.0,109.0,94.8
South Windsor School District,2021,Non-High Needs,204.0,204.0,100.0
Southington School District,2021,High Needs,180.0,167.0,92.8
Southington School District,2021,Non-High Needs,321.0,321.0,100.0
Stafford School District,2021,High Needs,36.0,33.0,91.7
Stafford School District,2021,Non-High Needs,51.0,51.0,100.0
Stamford School District,2021,High Needs,749.0,626.0,83.6
Stamford School District,2021,Non-High Needs,384.0,377.0,98.2
Stonington School District,2021,High Needs,64.0,58.0,90.6
Stonington School District,2021,Non-High Needs,111.0,110.0,99.1
Stratford School District,2021,High Needs,322.0,299.0,92.9
Stratford School District,2021,Non-High Needs,247.0,245.0,99.2
Suffield School District,2021,High Needs,69.0,61.0,88.4
Suffield School District,2021,Non-High Needs,127.0,127.0,100.0
The Bridge Academy District,2021,High Needs,,,
The Bridge Academy District,2021,Non-High Needs,,,
The Gilbert School District,2021,High Needs,49.0,45.0,91.8
The Gilbert School District,2021,Non-High Needs,33.0,32.0,97.0
The Woodstock Academy District,2021,High Needs,40.0,38.0,95.0
The Woodstock Academy District,2021,Non-High Needs,238.0,234.0,98.3
Thomaston School District,2021,High Needs,24.0,23.0,95.8
Thomaston School District,2021,Non-High Needs,41.0,41.0,100.0
Thompson School District,2021,High Needs,31.0,21.0,67.7
Thompson School District,2021,Non-High Needs,25.0,23.0,92.0
Tolland School District,2021,High Needs,52.0,48.0,92.3
Tolland School District,2021,Non-High Needs,170.0,169.0,99.4
Torrington School District,2021,High Needs,153.0,119.0,77.8
Torrington School District,2021,Non-High Needs,58.0,56.0,96.6
Trumbull School District,2021,High Needs,182.0,171.0,94.0
Trumbull School District,2021,Non-High Needs,355.0,355.0,100.0
Unified School District #1,2021,High Needs,306.0,9.0,2.9
Unified School District #2,2021,High Needs,,,
Vernon School District,2021,High Needs,117.0,81.0,69.2
Vernon School District,2021,Non-High Needs,90.0,84.0,93.3
Wallingford School District,2021,High Needs,205.0,187.0,91.2
Wallingford School District,2021,Non-High Needs,296.0,293.0,99.0
Waterbury School District,2021,High Needs,982.0,847.0,86.3
Waterbury School District,2021,Non-High Needs,136.0,133.0,97.8
Waterford School District,2021,High Needs,88.0,80.0,90.9
Waterford School District,2021,Non-High Needs,127.0,127.0,100.0
Watertown School District,2021,High Needs,72.0,63.0,87.5
Watertown School District,2021,Non-High Needs,108.0,102.0,94.4
West Hartford School District,2021,High Needs,295.0,271.0,91.9
West Hartford School District,2021,Non-High Needs,476.0,475.0,99.8
West Haven School District,2021,High Needs,326.0,262.0,80.4
West Haven School District,2021,Non-High Needs,83.0,80.0,96.4
Westbrook School District,2021,High Needs,21.0,20.0,95.2
Westbrook School District,2021,Non-High Needs,28.0,28.0,100.0
Weston School District,2021,High Needs,29.0,25.0,86.2
Weston School District,2021,Non-High Needs,172.0,172.0,100.0
Westport School District,2021,High Needs,87.0,80.0,92.0
Westport School District,2021,Non-High Needs,378.0,378.0,100.0
Wethersfield School District,2021,High Needs,111.0,97.0,87.4
Wethersfield School District,2021,Non-High Needs,179.0,178.0,99.4
Wilton School District,2021,High Needs,95.0,88.0,92.6
Wilton School District,2021,Non-High Needs,245.0,242.0,98.8
Windham School District,2021,High Needs,136.0,108.0,79.4
Windham School District,2021,Non-High Needs,14.0,14.0,
Windsor Locks School District,2021,High Needs,80.0,64.0,80.0
Windsor Locks School District,2021,Non-High Needs,41.0,38.0,92.7
Windsor School District,2021,High Needs,172.0,142.0,82.6
Windsor School District,2021,Non-High Needs,116.0,115.0,99.1
Wolcott School District,2021,High Needs,68.0,60.0,88.2
Wolcott School District,2021,Non-High Needs,111.0,110.0,99.1
