NAME,B19025_001E,B01003_001E,state,county,county subdivision
"Prospect town, New Haven County, Connecticut",357764400,9678,09,009,62290
"Meriden town, New Haven County, Connecticut",1651281000,60439,09,009,46520
"South Windsor town, Hartford County, Connecticut",1151624300,25806,09,003,71390
"Windsor Locks town, Hartford County, Connecticut",412773800,12564,09,003,87070
"Farmington town, Hartford County, Connecticut",1325042000,25563,09,003,27600
"Wethersfield town, Hartford County, Connecticut",1007898700,26510,09,003,84900
"Granby town, Hartford County, Connecticut",592274100,11310,09,003,32640
"Manchester town, Hartford County, Connecticut",1881170100,58187,09,003,44700
"Suffield town, Hartford County, Connecticut",606702200,15657,09,003,74540
"Canterbury town, Windham County, Connecticut",165854400,5097,09,015,12130
"Hebron town, Tolland County, Connecticut",418011600,9611,09,013,37910
"Monroe town, Fairfield County, Connecticut",953912300,19807,09,001,48620
