sedaadmin,sedaadminname,year,fips,stateabb,subcat,subgroup,gap,gradecenter,multi_comp_mth,multi_comp_rla,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,flag_estasmt_mth,flag_estasmt_rla,gcs_mn_avg_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_avg_mth_ol_se_adj,gcs_mn_avg_rla_ol_se_adj,gcs_mn_avg_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_avg_mth_eb_se_adj,gcs_mn_avg_rla_eb_se_adj
904920,West Hartford School District,2011,9,CT,race,wag,1,5.5,0,0,3357,3334,6,6,559.5,555.6666666666666,0,0,.1439467950354478,.9872028567444122,.1688723273726111,.1660500853130222,.1688723273726111,.1660500853130222,.148580502416789,.9907307860927821,.0811315382443149,.0583888681971603,.0811315382443149,.0583888681971603
904920,West Hartford School District,2011,9,CT,race,wbg,1,5.5,0,0,3263,3252,6,6,543.8333333333334,542,0,0,3.291633404349432,3.326787299897332,.1538417311121939,.1713719728521192,.1538417311121939,.1713719728521192,3.006725627937828,3.062372524981246,.0072398658291695,.0104441606082188,.0072398658291695,.0104441606082188
904920,West Hartford School District,2011,9,CT,race,whg,1,5.5,0,0,3550,3539,6,6,591.6666666666666,589.8333333333334,0,0,2.772563199248783,3.215172723522087,.1234796818340249,.1349437815811834,.1234796818340249,.1349437815811834,2.726999963963035,3.129755006329017,.0070775368965874,.0041640916723985,.0070775368965874,.0041640916723985
904920,West Hartford School District,2011,9,CT,race,wht,0,5.5,0,0,2852,2845,6,6,475.3333333333333,474.1666666666667,0,0,7.601378841965045,8.184337705228304,.0699207566426349,.0695986578360501,.1089920610164145,.1052199146661629,7.544583114439985,8.173755844871607,.0466028256857685,.0412845587773277,.091580425576649,.0865110393778126
904920,West Hartford School District,2012,9,CT,all,all,0,5.5,0,0,4636,4637,6,6,772.6666666666666,772.8333333333334,0,0,6.754480294790417,7.439653193620604,.0551565999004376,.0555987145576268,.0769375345582133,.0743996452941101,6.756892403963697,7.440278856737683,.0509754970936204,.0482552590563712,.0732287338833447,.0687005423677781
904920,West Hartford School District,2012,9,CT,race,asn,0,5.5,0,0,525,524,6,6,87.5,87.33333333333333,0,0,7.233235251426469,7.247572279087941,.1507103844325261,.1435828176095008,.1599711026626969,.1518555750445538,7.30385102294574,7.341765670574775,.0924904979377902,.0724805435727635,.1063881495797177,.0874335387115988
904920,West Hartford School District,2012,9,CT,race,blk,0,5.5,0,0,396,398,6,6,66,66.33333333333333,0,0,4.209928337260743,5.074784834339694,.1405228555766938,.1547392880384546,.1504121226854659,.1624448750255814,4.47806514755636,5.296228065464083,.0542456170554319,.0496336496999731,.075541598685364,.0696756318777879
904920,West Hartford School District,2012,9,CT,ecd,ecd,0,5.5,0,0,912,912,6,6,152,152,0,0,4.437481282623136,4.859859881415425,.0927907366365877,.1001818451260937,.1071786103515057,.1117161235108772,4.566178736918476,4.942950590293837,.0612693399165814,.0609539505843125,.0807333770879777,.078144600497182
904920,West Hartford School District,2012,9,CT,gender,fem,0,5.5,0,0,2268,2269,6,6,378,378.1666666666667,0,0,6.688834053039415,7.745929701497987,.0753842312167403,.0821205913099001,.0925198142424544,.0958534385221343,6.732430477529871,7.753709360443432,.0513276064594088,.0491468773373981,.0734742767713162,.0693297197963948
904920,West Hartford School District,2012,9,CT,race,hsp,0,5.5,0,0,706,704,6,6,117.6666666666667,117.3333333333333,0,0,4.597604927406763,5.225380320629207,.1046180701274728,.1153182716402295,.1175673181990477,.1254686970264643,4.725544037917343,5.185954084357952,.0511123777877414,.0488385420692606,.0733240842106659,.0691114873699033
904920,West Hartford School District,2012,9,CT,gender,mal,0,5.5,0,0,2368,2368,6,6,394.6666666666667,394.6666666666667,0,0,6.81686257005889,7.14343062090545,.0803254033686051,.075118923057989,.0965883229880736,.0899274305249572,6.785803870855127,7.137170661815481,.0514927708013039,.0487647611488197,.0735897520515706,.0690593688425459
904920,West Hartford School District,2012,9,CT,gender,mfg,1,5.5,0,0,4636,4637,6,6,772.6666666666666,772.8333333333334,0,0,.1280285170194748,-.602499080592537,.1101587615329261,.1112953014213975,.1101587615329261,.1112953014213975,.0533733933252565,-.6165386986279513,.0094353601820048,.0116737923882383,.0094353601820048,.0116737923882383
904920,West Hartford School District,2012,9,CT,ecd,nec,0,5.5,0,0,3724,3725,6,6,620.6666666666666,620.8333333333334,0,0,7.322588250244464,8.064355717299641,.0625391618762154,.0607565294180352,.0823910218379332,.0783290879964366,7.333325961260615,8.057453600878688,.0567100529189568,.0545676416467628,.0773303062472075,.0732722458364618
904920,West Hartford School District,2012,9,CT,ecd,neg,1,5.5,0,0,4636,4637,6,6,772.6666666666666,772.8333333333334,0,0,2.885106967621327,3.204495835884216,.1118984699347585,.1171655152329097,.1118984699347585,.1171655152329097,2.767147224342139,3.114503010584851,.0421065257175306,.0451206333458356,.0421065257175306,.0451206333458356
904920,West Hartford School District,2012,9,CT,race,wag,1,5.5,0,0,3366,3367,6,6,561,561.1666666666666,0,0,.2976683203565509,1.094548365900571,.166492304918399,.1597802587289329,.166492304918399,.1597802587289329,.1486058230543668,.9332961606212979,.077193794887134,.0541056873971355,.077193794887134,.0541056873971355
904920,West Hartford School District,2012,9,CT,race,wbg,1,5.5,0,0,3237,3241,6,6,539.5,540.1666666666666,0,0,3.320975234522277,3.267335810648818,.1573300370579937,.1698762868367725,.1573300370579937,.1698762868367725,2.974391698443747,2.97883376573199,.018627311400766,.011725843025255,.018627311400766,.011725843025255
904920,West Hartford School District,2012,9,CT,race,whg,1,5.5,0,0,3547,3547,6,6,591.1666666666666,591.1666666666666,0,0,2.933298644376257,3.116740324359305,.1262973009150954,.1349518778709334,.1262973009150954,.1349518778709334,2.726912808082764,3.089107746838121,.0041066925150717,.0076941148655458,.0041066925150717,.0076941148655458
904920,West Hartford School District,2012,9,CT,race,wht,0,5.5,0,0,2841,2843,6,6,473.5,473.8333333333333,0,0,7.53090357178302,8.342120644988512,.0707535696713695,.0700978285455517,.0887873939957731,.0857775945467726,7.452456846000107,8.275061831196073,.0510038466018,.048281841983382,.0732484711812879,.0687192168198797
904920,West Hartford School District,2013,9,CT,all,all,0,5.5,0,0,4576,4573,6,6,762.6666666666666,762.1666666666666,0,0,6.607271989844784,7.459888240911898,.0540542633497552,.0541643869170279,.0862556727203183,.0805163596919174,6.617576162116334,7.460713989042054,.0521052206287114,.0503528871940269,.0844494460944114,.0776573918402497
904920,West Hartford School District,2013,9,CT,race,asn,0,5.5,0,0,528,529,6,6,88,88.16666666666667,0,0,7.354395416501201,7.423087863807691,.1515296908448896,.1412248836063353,.1657691916421679,.1532761270308056,7.268655143285744,7.447363620034172,.1078853623113255,.0870674087579409,.1267122974692361,.1052425338277164
904920,West Hartford School District,2013,9,CT,race,blk,0,5.5,0,0,375,375,6,6,62.5,62.5,0,0,4.037913169594173,5.300585622753731,.1460889170011908,.1559700137557912,.1608109118210912,.166960320312709,4.421705928432944,5.414867421121755,.0538755885728925,.053381319560413,.0855531061561285,.0796543943336876
904920,West Hartford School District,2013,9,CT,ecd,ecd,0,5.5,0,0,872,870,6,6,145.3333333333333,145,0,0,4.348512366290704,4.990150616083985,.0984748471706945,.0997828206616185,.1192286593711496,.1162140897960718,4.455991693381599,5.044868587899709,.0676152645424555,.0692585851140907,.0948081163615882,.0910604682102032
