District,District Code,fiscal_year,rev_local,rev_state,rev_federal,rev_tuition_other,rev_total,pct_local,pct_state,pct_federal,pct_tuition_other
Regional School District 10,2100012,2018,30571178.0,7015894.0,648283.0,197665.0,38433019.0,79.5,18.3,1.7,0.5
Regional School District 11,2110012,2018,4591903.0,1681832.0,150110.0,41085.0,6464930.0,71.0,26.0,2.3,0.6
Regional School District 12,2120012,2018,19093493.0,89140.0,340731.0,544985.0,20068349.0,95.1,0.4,1.7,2.7
Regional School District 13,2130012,2018,28211046.0,5650191.0,395139.0,99974.0,34356351.0,82.1,16.4,1.2,0.3
Regional School District 14,2140012,2018,27035278.0,3530332.0,585986.0,1960644.0,33112240.0,81.6,10.7,1.8,5.9
Regional School District 15,2150012,2018,61311925.0,5585195.0,976071.0,174743.0,68047933.0,90.1,8.2,1.4,0.3
Regional School District 16,2160012,2018,27034546.0,8607931.0,701239.0,38755.0,36382470.0,74.3,23.7,1.9,0.1
Regional School District 17,2170012,2018,34994174.0,4380945.0,456873.0,0.0,39831992.0,87.9,11.0,1.1,0.0
Regional School District 18,2180012,2018,28090224.0,506732.0,400957.0,74390.0,29072304.0,96.6,1.7,1.4,0.3
Regional School District 19,2190012,2018,13095308.0,5661044.0,353975.0,3718939.0,22829266.0,57.4,24.8,1.6,16.3
Ridgefield School District,1180011,2018,92067290.0,1833580.0,1086021.0,126976.0,95113867.0,96.8,1.9,1.1,0.1
Rocky Hill School District,1190011,2018,38691800.0,4653137.0,884475.0,296775.0,44526187.0,86.9,10.5,2.0,0.7
Salem School District,1210011,2018,7822003.0,2714309.0,127454.0,38407.0,10702173.0,73.1,25.4,1.2,0.4
Salisbury School District,1220011,2018,6713157.0,5587.0,153948.0,0.0,6872692.0,97.7,0.1,2.2,0.0
Scotland School District,1230011,2018,1656578.0,772098.0,85328.0,63301.0,2577305.0,64.3,30.0,3.3,2.5
Seymour School District,1240011,2018,23984264.0,9456526.0,1261369.0,0.0,34702159.0,69.1,27.3,3.6,0.0
Sharon School District,1250011,2018,4914972.0,4642.0,117060.0,0.0,5036674.0,97.6,0.1,2.3,0.0
Shelton School District,1260011,2018,68163733.0,6577171.0,1348939.0,0.0,76089843.0,89.6,8.6,1.8,0.0
Sherman School District,1270011,2018,8803356.0,58008.0,135149.0,33847.0,9030360.0,97.5,0.6,1.5,0.4
Side By Side Charter School District,2700013,2018,143146.0,2711226.0,87462.0,0.0,2941835.0,4.9,92.2,3.0,0.0
Simsbury School District,1280011,2018,63005437.0,8090873.0,1178698.0,165746.0,72440753.0,87.0,11.2,1.6,0.2
Somers School District,1290011,2018,17486579.0,5483180.0,484392.0,60026.0,23514177.0,74.4,23.3,2.1,0.3
South Windsor School District,1320011,2018,60359642.0,13552706.0,1019133.0,557546.0,75489026.0,80.0,18.0,1.4,0.7
Southington School District,1310011,2018,74073089.0,20361674.0,2025222.0,1341457.0,97801442.0,75.7,20.8,2.1,1.4
Sprague School District,1330011,2018,4523972.0,2533848.0,224802.0,10246.0,7292869.0,62.0,34.7,3.1,0.1
Stafford School District,1340011,2018,18469396.0,9009007.0,678207.0,152723.0,28309333.0,65.2,31.8,2.4,0.5
Stamford Academy District,2820013,2018,813490.0,1621908.0,76243.0,322056.0,2833697.0,28.7,57.2,2.7,11.4
Stamford Charter School for Excellence District,2960013,2018,92607.0,2112327.0,125590.0,0.0,2330524.0,4.0,90.6,5.4,0.0
Stamford School District,1350011,2018,258687878.0,34523703.0,9368265.0,1784969.0,304364815.0,85.0,11.3,3.1,0.6
Sterling School District,1360011,2018,5205301.0,3159204.0,164769.0,12229.0,8541503.0,60.9,37.0,1.9,0.1
Stonington School District,1370011,2018,36675230.0,2068756.0,974395.0,38807.0,39757188.0,92.2,5.2,2.5,0.1
Stratford School District,1380011,2018,91238879.0,20991782.0,3028316.0,314707.0,115573684.0,78.9,18.2,2.6,0.3
Suffield School District,1390011,2018,28638159.0,7099989.0,786249.0,1328260.0,37852657.0,75.7,18.8,2.1,3.5
The Bridge Academy District,2690013,2018,505986.0,2913990.0,151103.0,72481.0,3643560.0,13.9,80.0,4.1,2.0
Thomaston School District,1400011,2018,10024285.0,5477728.0,450907.0,107782.0,16060702.0,62.4,34.1,2.8,0.7
Thompson School District,1410011,2018,10485614.0,8268826.0,629116.0,27011.0,19410568.0,54.0,42.6,3.2,0.1
Tolland School District,1420011,2018,29087230.0,10407436.0,526938.0,35542.0,40057146.0,72.6,26.0,1.3,0.1
Torrington School District,1430011,2018,47387592.0,26811743.0,3602881.0,687251.0,78489467.0,60.4,34.2,4.6,0.9
Trailblazers Academy District,2780013,2018,1646937.0,1314636.0,64835.0,1011600.0,4038008.0,40.8,32.6,1.6,25.1
Trumbull School District,1440011,2018,101348883.0,4918851.0,2151255.0,1681133.0,110100123.0,92.1,4.5,2.0,1.5
Union School District,1450011,2018,1839744.0,206385.0,37254.0,637.0,2084020.0,88.3,9.9,1.8,0.0
Vernon School District,1460011,2018,34451909.0,20744026.0,2122703.0,611090.0,57929728.0,59.5,35.8,3.7,1.1
Voluntown School District,1470011,2018,4550811.0,2439161.0,146112.0,23787.0,7159871.0,63.6,34.1,2.0,0.3
Wallingford School District,1480011,2018,84561864.0,21519522.0,2252570.0,1522062.0,109856018.0,77.0,19.6,2.1,1.4
Waterbury School District,1510011,2018,105449930.0,168206244.0,20225338.0,1356381.0,295237894.0,35.7,57.0,6.9,0.5
Waterford School District,1520011,2018,47981784.0,886971.0,965044.0,56063.0,49889862.0,96.2,1.8,1.9,0.1
Watertown School District,1530011,2018,33570281.0,11120305.0,1065880.0,290978.0,46047443.0,72.9,24.1,2.3,0.6
West Hartford School District,1550011,2018,140792531.0,23299202.0,3764338.0,836870.0,168692941.0,83.5,13.8,2.2,0.5
West Haven School District,1560011,2018,48343290.0,49364997.0,4653041.0,462196.0,102823524.0,47.0,48.0,4.5,0.4
Westbrook School District,1540011,2018,17629784.0,388121.0,248218.0,34767.0,18300890.0,96.3,2.1,1.4,0.2
Weston School District,1570011,2018,51431627.0,1014704.0,554797.0,272748.0,53273876.0,96.5,1.9,1.0,0.5
Westport School District,1580011,2018,119318866.0,1373542.0,1370036.0,302836.0,122365280.0,97.5,1.1,1.1,0.2
Wethersfield School District,1590011,2018,50122094.0,10600058.0,1180159.0,441869.0,62344179.0,80.4,17.0,1.9,0.7
Willington School District,1600011,2018,6179726.0,2198210.0,235611.0,248.0,8613795.0,71.7,25.5,2.7,0.0
Wilton School District,1610011,2018,81307862.0,2211466.0,988806.0,558244.0,85066379.0,95.6,2.6,1.2,0.7
Winchester School District,1620011,2018,12390528.0,10346403.0,539563.0,149219.0,23425713.0,52.9,44.2,2.3,0.6
Windham School District,1630011,2018,23377617.0,33414418.0,6042307.0,2262184.0,65096526.0,35.9,51.3,9.3,3.5
Windsor Locks School District,1650011,2018,24805534.0,6633221.0,672949.0,1567065.0,33678770.0,73.7,19.7,2.0,4.7
Windsor School District,1640011,2018,59363485.0,13933695.0,1816225.0,67738.0,75181143.0,79.0,18.5,2.4,0.1
Wolcott School District,1660011,2018,22552076.0,12641094.0,1219370.0,5672.0,36418212.0,61.9,34.7,3.3,0.0
Woodbridge School District,1670011,2018,13795668.0,630163.0,238881.0,25017.0,14689729.0,93.9,4.3,1.6,0.2
Woodstock School District,1690011,2018,12879526.0,5165676.0,490383.0,134607.0,18670193.0,69.0,27.7,2.6,0.7
Achievement First Bridgeport Academy District,2850013,2019,347000.0,12310224.0,558049.0,172562.0,13387835.0,2.6,92.0,4.2,1.3
Achievement First Hartford Academy District,2880013,2019,1350165.0,13082988.0,846950.0,140566.0,15420669.0,8.8,84.8,5.5,0.9
Amistad Academy District,2790013,2019,281580.0,12203451.0,614432.0,166962.0,13266425.0,2.1,92.0,4.6,1.3
Andover School District,10011,2019,3250406.0,1001484.0,122158.0,98338.0,4472386.0,72.7,22.4,2.7,2.2
Ansonia School District,20011,2019,17154715.0,20556398.0,1944118.0,71087.0,39726318.0,43.2,51.7,4.9,0.2
Area Cooperative Educational Services,2440014,2019,1937376.0,12360171.0,847162.0,59942184.0,75086894.0,2.6,16.5,1.1,79.8
Ashford School District,30011,2019,5051163.0,2811908.0,258157.0,8858.0,8130085.0,62.1,34.6,3.2,0.1
Avon School District,40011,2019,54460778.0,2450359.0,730103.0,813212.0,58454452.0,93.2,4.2,1.2,1.4
Barkhamsted School District,50011,2019,3368208.0,675882.0,138724.0,95218.0,4278033.0,78.7,15.8,3.2,2.2
Berlin School District,70011,2019,41495554.0,7931509.0,875018.0,71821.0,50373902.0,82.4,15.7,1.7,0.1
Bethany School District,80011,2019,5832152.0,1010638.0,149037.0,28851.0,7020678.0,83.1,14.4,2.1,0.4
Bethel School District,90011,2019,40562201.0,8609428.0,1040580.0,38720.0,50250929.0,80.7,17.1,2.1,0.1
Bloomfield School District,110011,2019,37880285.0,13331564.0,1157644.0,1564833.0,53934326.0,70.2,24.7,2.1,2.9
Bolton School District,120011,2019,10502000.0,3363019.0,235676.0,805644.0,14906339.0,70.5,22.6,1.6,5.4
Booker T. Washington Academy District,2950013,2019,30556.0,3785938.0,191311.0,403315.0,4411121.0,0.7,85.8,4.3,9.1
Bozrah School District,130011,2019,5514953.0,1271923.0,150832.0,0.0,6937708.0,79.5,18.3,2.2,0.0
Branford School District,140011,2019,54564226.0,3452924.0,1236537.0,178021.0,59431708.0,91.8,5.8,2.1,0.3
Brass City Charter School District,2900013,2019,595025.0,2933990.0,103731.0,443687.0,4076433.0,14.6,72.0,2.5,10.9
Bridgeport School District,150011,2019,63635893.0,220602105.0,22181063.0,3598313.0,310017374.0,20.5,71.2,7.2,1.2
Bristol School District,170011,2019,69714089.0,52249456.0,4718354.0,638747.0,127320646.0,54.8,41.0,3.7,0.5
Brookfield School District,180011,2019,41754109.0,1833947.0,713148.0,155070.0,44456274.0,93.9,4.1,1.6,0.3
Brooklyn School District,190011,2019,11183653.0,7512190.0,583322.0,6436.0,19285600.0,58.0,39.0,3.0,0.0
Canaan School District,210011,2019,2142082.0,121269.0,44918.0,1228.0,2309497.0,92.8,5.3,1.9,0.1
Canterbury School District,220011,2019,7464380.0,4511947.0,351654.0,34836.0,12362817.0,60.4,36.5,2.8,0.3
Canton School District,230011,2019,22719662.0,4749927.0,372572.0,165987.0,28008148.0,81.1,17.0,1.3,0.6
Capital Preparatory Harbor School District,2970013,2019,605844.0,5443873.0,171525.0,147518.0,6368759.0,9.5,85.5,2.7,2.3
Capitol Region Education Council,2410014,2019,3756801.0,114805102.0,5281982.0,78983351.0,202827237.0,1.9,56.6,2.6,38.9
Chaplin School District,240011,2019,2455620.0,1285811.0,96171.0,39408.0,3877011.0,63.3,33.2,2.5,1.0
Cheshire School District,250011,2019,61545837.0,10113680.0,935169.0,304310.0,72898997.0,84.4,13.9,1.3,0.4
Chester School District,260011,2019,4145927.0,325324.0,103946.0,0.0,4575197.0,90.6,7.1,2.3,0.0
Clinton School District,270011,2019,27225479.0,6142457.0,695890.0,80489.0,34144315.0,79.7,18.0,2.0,0.2
Colchester School District,280011,2019,26718869.0,13647729.0,938110.0,833248.0,42137955.0,63.4,32.4,2.2,2.0
Colebrook School District,290011,2019,1750631.0,216546.0,56549.0,214.0,2023940.0,86.5,10.7,2.8,0.0
Columbia School District,300011,2019,10004546.0,2624838.0,232060.0,54034.0,12915479.0,77.5,20.3,1.8,0.4
Common Ground High School District,2680013,2019,239173.0,2324085.0,245426.0,874841.0,3683524.0,6.5,63.1,6.7,23.8
Connecticut Technical Education and Career System,9000016,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooperative Educational Services,2430014,2019,801851.0,4824255.0,99013.0,26163233.0,31888352.0,2.5,15.1,0.3,82.0
Cornwall School District,310011,2019,2760976.0,4972.0,79800.0,0.0,2845748.0,97.0,0.2,2.8,0.0
Coventry School District,320011,2019,19366117.0,9227919.0,685059.0,76663.0,29355758.0,66.0,31.4,2.3,0.3
Cromwell School District,330011,2019,25190060.0,6187529.0,629917.0,170376.0,32177882.0,78.3,19.2,2.0,0.5
Danbury School District,340011,2019,107201655.0,41158640.0,6935092.0,1154009.0,156449395.0,68.5,26.3,4.4,0.7
Darien School District,350011,2019,99912934.0,3956784.0,1236038.0,576223.0,105681980.0,94.5,3.7,1.2,0.5
Deep River School District,360011,2019,4668486.0,735859.0,135525.0,0.0,5539870.0,84.3,13.3,2.4,0.0
Derby School District,370011,2019,15011971.0,9619971.0,1658762.0,1102.0,26291806.0,57.1,36.6,6.3,0.0
East Granby School District,400011,2019,15657652.0,2015763.0,267053.0,0.0,17940468.0,87.3,11.2,1.5,0.0
East Haddam School District,410011,2019,16864382.0,3730361.0,292066.0,686440.0,21573249.0,78.2,17.3,1.4,3.2
