district,district_code,fiscal_year,subject,needs_group,total_students,total_tested,participation_rate,n_scored,level1_count,level1_pct,level2_count,level2_pct,level3_count,level3_pct,level4_count,level4_pct,level3_4_count,pct_prof
Vernon School District,1460011,2023,Math,High Needs,820.0,805.0,98.2,805.0,297.0,36.9,257.0,31.9,157.0,19.5,94.0,11.7,251.0,31.2
Voluntown School District,1470011,2023,ELA,Non-High Needs,82.0,82.0,100.0,82.0,,,18.0,22.0,31.0,37.8,,,,
Voluntown School District,1470011,2023,ELA,High Needs,59.0,59.0,100.0,59.0,19.0,32.2,,,19.0,32.2,,,,
Voluntown School District,1470011,2023,Math,Non-High Needs,82.0,82.0,100.0,82.0,,,27.0,32.9,25.0,30.5,,,,
Voluntown School District,1470011,2023,Math,High Needs,59.0,59.0,100.0,59.0,26.0,44.1,17.0,28.8,,,,,16.0,27.1
Wallingford School District,1480011,2023,ELA,Non-High Needs,1276.0,1274.0,99.8,1274.0,130.0,10.2,337.0,26.5,471.0,37.0,336.0,26.4,807.0,63.3
Wallingford School District,1480011,2023,ELA,High Needs,1002.0,992.0,99.0,991.0,449.0,45.3,264.0,26.6,191.0,19.3,87.0,8.8,278.0,28.1
Wallingford School District,1480011,2023,Math,Non-High Needs,1276.0,1272.0,99.7,1272.0,187.0,14.7,392.0,30.8,366.0,28.8,327.0,25.7,693.0,54.5
Wallingford School District,1480011,2023,Math,High Needs,1002.0,981.0,97.9,980.0,475.0,48.5,279.0,28.5,156.0,15.9,70.0,7.1,226.0,23.1
Waterbury School District,1510011,2023,ELA,Non-High Needs,955.0,953.0,99.8,953.0,288.0,30.2,246.0,25.8,257.0,27.0,162.0,17.0,419.0,44.0
Waterbury School District,1510011,2023,ELA,High Needs,7196.0,7138.0,99.2,7138.0,4115.0,57.6,1611.0,22.6,1086.0,15.2,326.0,4.6,1412.0,19.8
Waterbury School District,1510011,2023,Math,Non-High Needs,955.0,953.0,99.8,953.0,373.0,39.1,284.0,29.8,177.0,18.6,119.0,12.5,296.0,31.1
Waterbury School District,1510011,2023,Math,High Needs,7185.0,7102.0,98.8,7102.0,4726.0,66.5,1528.0,21.5,585.0,8.2,263.0,3.7,848.0,11.9
Waterford School District,1520011,2023,ELA,Non-High Needs,586.0,585.0,99.8,585.0,45.0,7.7,132.0,22.6,221.0,37.8,187.0,32.0,408.0,69.7
Waterford School District,1520011,2023,ELA,High Needs,450.0,446.0,99.1,446.0,147.0,33.0,138.0,30.9,108.0,24.2,53.0,11.9,161.0,36.1
Waterford School District,1520011,2023,Math,Non-High Needs,584.0,583.0,99.8,583.0,43.0,7.4,141.0,24.2,186.0,31.9,213.0,36.5,399.0,68.4
Waterford School District,1520011,2023,Math,High Needs,450.0,444.0,98.7,444.0,148.0,33.3,151.0,34.0,88.0,19.8,57.0,12.8,145.0,32.7
Watertown School District,1530011,2023,ELA,Non-High Needs,627.0,617.0,98.4,617.0,77.0,12.5,164.0,26.6,224.0,36.3,152.0,24.6,376.0,60.9
Watertown School District,1530011,2023,ELA,High Needs,570.0,564.0,98.9,564.0,208.0,36.9,148.0,26.2,157.0,27.8,51.0,9.0,208.0,36.9
Watertown School District,1530011,2023,Math,Non-High Needs,627.0,616.0,98.2,616.0,73.0,11.9,185.0,30.0,202.0,32.8,156.0,25.3,358.0,58.1
Watertown School District,1530011,2023,Math,High Needs,570.0,564.0,98.9,564.0,211.0,37.4,172.0,30.5,119.0,21.1,62.0,11.0,181.0,32.1
West Hartford School District,1550011,2023,ELA,Non-High Needs,2461.0,2457.0,99.8,2456.0,81.0,3.3,330.0,13.4,833.0,33.9,1212.0,49.3,2045.0,83.3
West Hartford School District,1550011,2023,ELA,High Needs,1557.0,1543.0,99.1,1541.0,631.0,40.9,393.0,25.5,322.0,20.9,195.0,12.7,517.0,33.5
West Hartford School District,1550011,2023,Math,Non-High Needs,2460.0,2455.0,99.8,2454.0,126.0,5.1,403.0,16.4,663.0,27.0,1262.0,51.4,1925.0,78.4
West Hartford School District,1550011,2023,Math,High Needs,1555.0,1529.0,98.3,1528.0,680.0,44.5,407.0,26.6,247.0,16.2,194.0,12.7,441.0,28.9
West Haven School District,1560011,2023,ELA,Non-High Needs,730.0,726.0,99.5,725.0,110.0,15.2,203.0,28.0,255.0,35.2,157.0,21.7,412.0,56.8
West Haven School District,1560011,2023,ELA,High Needs,1861.0,1842.0,99.0,1841.0,735.0,39.9,540.0,29.3,410.0,22.3,156.0,8.5,566.0,30.7
West Haven School District,1560011,2023,Math,Non-High Needs,730.0,724.0,99.2,722.0,136.0,18.8,225.0,31.2,185.0,25.6,176.0,24.4,361.0,50.0
West Haven School District,1560011,2023,Math,High Needs,1862.0,1831.0,98.3,1829.0,828.0,45.3,513.0,28.0,330.0,18.0,158.0,8.6,488.0,26.7
Westbrook School District,1540011,2023,ELA,Non-High Needs,134.0,133.0,99.3,133.0,,,,,52.0,39.1,54.0,40.6,106.0,79.7
Westbrook School District,1540011,2023,ELA,High Needs,104.0,103.0,99.0,103.0,,,27.0,26.2,26.0,25.2,,,,
Westbrook School District,1540011,2023,Math,Non-High Needs,134.0,133.0,99.3,133.0,,,,,41.0,30.8,70.0,52.6,111.0,83.5
Westbrook School District,1540011,2023,Math,High Needs,104.0,103.0,99.0,103.0,,,32.0,31.1,23.0,22.3,,,,
Weston School District,1570011,2023,ELA,Non-High Needs,828.0,828.0,100.0,828.0,15.0,1.8,85.0,10.3,296.0,35.7,432.0,52.2,728.0,87.9
Weston School District,1570011,2023,ELA,High Needs,155.0,153.0,98.7,153.0,45.0,29.4,55.0,35.9,35.0,22.9,18.0,11.8,53.0,34.6
Weston School District,1570011,2023,Math,Non-High Needs,828.0,828.0,100.0,828.0,8.0,1.0,137.0,16.5,229.0,27.7,454.0,54.8,683.0,82.5
Weston School District,1570011,2023,Math,High Needs,155.0,153.0,98.7,153.0,55.0,35.9,37.0,24.2,40.0,26.1,21.0,13.7,61.0,39.9
Westport School District,1580011,2023,ELA,Non-High Needs,1993.0,1984.0,99.5,1984.0,40.0,2.0,228.0,11.5,708.0,35.7,1008.0,50.8,1716.0,86.5
Westport School District,1580011,2023,ELA,High Needs,406.0,395.0,97.3,395.0,144.0,36.5,105.0,26.6,90.0,22.8,56.0,14.2,146.0,37.0
Westport School District,1580011,2023,Math,Non-High Needs,1993.0,1980.0,99.3,1980.0,26.0,1.3,204.0,10.3,542.0,27.4,1208.0,61.0,1750.0,88.4
Westport School District,1580011,2023,Math,High Needs,406.0,395.0,97.3,395.0,147.0,37.2,109.0,27.6,74.0,18.7,65.0,16.5,139.0,35.2
Wethersfield School District,1590011,2023,ELA,Non-High Needs,1004.0,1000.0,99.6,996.0,71.0,7.1,190.0,19.1,381.0,38.3,354.0,35.5,735.0,73.8
Wethersfield School District,1590011,2023,ELA,High Needs,626.0,625.0,99.8,624.0,236.0,37.8,175.0,28.0,141.0,22.6,72.0,11.5,213.0,34.1
Wethersfield School District,1590011,2023,Math,Non-High Needs,1004.0,999.0,99.5,997.0,115.0,11.5,268.0,26.9,305.0,30.6,309.0,31.0,614.0,61.6
Wethersfield School District,1590011,2023,Math,High Needs,626.0,622.0,99.4,619.0,287.0,46.4,187.0,30.2,91.0,14.7,54.0,8.7,145.0,23.4
Willington School District,1600011,2023,ELA,Non-High Needs,131.0,130.0,99.2,130.0,22.0,16.9,30.0,23.1,48.0,36.9,30.0,23.1,78.0,60.0
Willington School District,1600011,2023,ELA,High Needs,132.0,129.0,97.7,129.0,59.0,45.7,35.0,27.1,24.0,18.6,11.0,8.5,35.0,27.1
Willington School District,1600011,2023,Math,Non-High Needs,131.0,130.0,99.2,130.0,9.0,6.9,38.0,29.2,51.0,39.2,32.0,24.6,83.0,63.8
Willington School District,1600011,2023,Math,High Needs,132.0,129.0,97.7,129.0,52.0,40.3,43.0,33.3,18.0,14.0,16.0,12.4,34.0,26.4
Wilton School District,1610011,2023,ELA,Non-High Needs,1311.0,1301.0,99.2,1301.0,29.0,2.2,131.0,10.1,467.0,35.9,674.0,51.8,1141.0,87.7
Wilton School District,1610011,2023,ELA,High Needs,360.0,333.0,92.5,333.0,76.0,22.8,104.0,31.2,104.0,31.2,49.0,14.7,153.0,45.9
Wilton School District,1610011,2023,Math,Non-High Needs,1311.0,1299.0,99.1,1299.0,18.0,1.4,142.0,10.9,345.0,26.6,794.0,61.1,1139.0,87.7
Wilton School District,1610011,2023,Math,High Needs,361.0,330.0,91.4,330.0,72.0,21.8,109.0,33.0,79.0,23.9,70.0,21.2,149.0,45.2
Winchester School District,1620011,2023,ELA,Non-High Needs,123.0,123.0,100.0,123.0,20.0,16.3,33.0,26.8,35.0,28.5,35.0,28.5,70.0,56.9
Winchester School District,1620011,2023,ELA,High Needs,201.0,197.0,98.0,197.0,77.0,39.1,52.0,26.4,40.0,20.3,28.0,14.2,68.0,34.5
Winchester School District,1620011,2023,Math,Non-High Needs,123.0,123.0,100.0,123.0,18.0,14.6,38.0,30.9,32.0,26.0,35.0,28.5,67.0,54.5
Winchester School District,1620011,2023,Math,High Needs,201.0,197.0,98.0,197.0,67.0,34.0,55.0,27.9,48.0,24.4,27.0,13.7,75.0,38.1
Windham School District,1630011,2023,ELA,Non-High Needs,308.0,307.0,99.7,307.0,56.0,18.2,59.0,19.2,114.0,37.1,78.0,25.4,192.0,62.5
Windham School District,1630011,2023,ELA,High Needs,1225.0,1211.0,98.9,1211.0,696.0,57.5,276.0,22.8,187.0,15.4,52.0,4.3,239.0,19.7
Windham School District,1630011,2023,Math,Non-High Needs,308.0,307.0,99.7,307.0,50.0,16.3,94.0,30.6,91.0,29.6,72.0,23.5,163.0,53.1
Windham School District,1630011,2023,Math,High Needs,1224.0,1203.0,98.3,1202.0,720.0,59.9,292.0,24.3,134.0,11.1,56.0,4.7,190.0,15.8
Windsor Locks School District,1650011,2023,ELA,Non-High Needs,293.0,292.0,99.7,292.0,39.0,13.4,67.0,22.9,106.0,36.3,80.0,27.4,186.0,63.7
Windsor Locks School District,1650011,2023,ELA,High Needs,379.0,374.0,98.7,374.0,141.0,37.7,115.0,30.7,82.0,21.9,36.0,9.6,118.0,31.6
Windsor Locks School District,1650011,2023,Math,Non-High Needs,292.0,291.0,99.7,291.0,45.0,15.5,82.0,28.2,84.0,28.9,80.0,27.5,164.0,56.4
Windsor Locks School District,1650011,2023,Math,High Needs,379.0,374.0,98.7,374.0,177.0,47.3,109.0,29.1,56.0,15.0,32.0,8.6,88.0,23.5
Windsor School District,1640011,2023,ELA,Non-High Needs,607.0,603.0,99.3,603.0,103.0,17.1,150.0,24.9,197.0,32.7,153.0,25.4,350.0,58.0
Windsor School District,1640011,2023,ELA,High Needs,782.0,770.0,98.5,770.0,377.0,49.0,182.0,23.6,146.0,19.0,65.0,8.4,211.0,27.4
Windsor School District,1640011,2023,Math,Non-High Needs,607.0,599.0,98.7,599.0,117.0,19.5,167.0,27.9,176.0,29.4,139.0,23.2,315.0,52.6
Windsor School District,1640011,2023,Math,High Needs,782.0,758.0,96.9,758.0,414.0,54.6,189.0,24.9,93.0,12.3,62.0,8.2,155.0,20.4
Wolcott School District,1660011,2023,ELA,Non-High Needs,542.0,541.0,99.8,541.0,35.0,6.5,114.0,21.1,205.0,37.9,187.0,34.6,392.0,72.5
Wolcott School District,1660011,2023,ELA,High Needs,416.0,411.0,98.8,411.0,113.0,27.5,102.0,24.8,136.0,33.1,60.0,14.6,196.0,47.7
Wolcott School District,1660011,2023,Math,Non-High Needs,542.0,542.0,100.0,542.0,38.0,7.0,141.0,26.0,177.0,32.7,186.0,34.3,363.0,67.0
Wolcott School District,1660011,2023,Math,High Needs,415.0,408.0,98.3,408.0,130.0,31.9,117.0,28.7,109.0,26.7,52.0,12.7,161.0,39.5
Woodbridge School District,1670011,2023,ELA,Non-High Needs,360.0,355.0,98.6,355.0,9.0,2.5,22.0,6.2,88.0,24.8,236.0,66.5,324.0,91.3
Woodbridge School District,1670011,2023,ELA,High Needs,125.0,114.0,91.2,114.0,23.0,20.2,32.0,28.1,29.0,25.4,30.0,26.3,59.0,51.8
Woodbridge School District,1670011,2023,Math,Non-High Needs,360.0,356.0,98.9,356.0,7.0,2.0,28.0,7.9,102.0,28.7,219.0,61.5,321.0,90.2
Woodbridge School District,1670011,2023,Math,High Needs,125.0,115.0,92.0,115.0,28.0,24.3,28.0,24.3,30.0,26.1,29.0,25.2,59.0,51.3
Woodstock School District,1690011,2023,ELA,Non-High Needs,350.0,342.0,97.7,342.0,24.0,7.0,82.0,24.0,135.0,39.5,101.0,29.5,236.0,69.0
Woodstock School District,1690011,2023,ELA,High Needs,171.0,167.0,97.7,167.0,58.0,34.7,47.0,28.1,42.0,25.1,20.0,12.0,62.0,37.1
Woodstock School District,1690011,2023,Math,Non-High Needs,350.0,342.0,97.7,342.0,53.0,15.5,116.0,33.9,97.0,28.4,76.0,22.2,173.0,50.6
Woodstock School District,1690011,2023,Math,High Needs,171.0,167.0,97.7,167.0,82.0,49.1,48.0,28.7,30.0,18.0,7.0,4.2,37.0,22.2
Achievement First Bridgeport Academy District,2850013,2024,ELA,Non-High Needs,116.0,116.0,100.0,116.0,25.0,21.6,26.0,22.4,36.0,31.0,29.0,25.0,65.0,56.0
Achievement First Bridgeport Academy District,2850013,2024,ELA,High Needs,442.0,442.0,100.0,442.0,167.0,37.8,124.0,28.1,108.0,24.4,43.0,9.7,151.0,34.2
Achievement First Bridgeport Academy District,2850013,2024,Math,Non-High Needs,116.0,116.0,100.0,116.0,37.0,31.9,39.0,33.6,22.0,19.0,18.0,15.5,40.0,34.5
Achievement First Bridgeport Academy District,2850013,2024,Math,High Needs,442.0,431.0,97.5,431.0,236.0,54.8,117.0,27.1,54.0,12.5,24.0,5.6,78.0,18.1
Achievement First Hartford Academy District,2880013,2024,ELA,Non-High Needs,77.0,77.0,100.0,77.0,19.0,24.7,22.0,28.6,25.0,32.5,11.0,14.3,36.0,46.8
Achievement First Hartford Academy District,2880013,2024,ELA,High Needs,383.0,380.0,99.2,380.0,140.0,36.8,97.0,25.5,83.0,21.8,60.0,15.8,143.0,37.6
Achievement First Hartford Academy District,2880013,2024,Math,Non-High Needs,75.0,74.0,98.7,74.0,33.0,44.6,27.0,36.5,,,,,14.0,18.9
Achievement First Hartford Academy District,2880013,2024,Math,High Needs,383.0,377.0,98.4,376.0,198.0,52.7,109.0,29.0,,,,,69.0,18.4
Amistad Academy District,2790013,2024,ELA,Non-High Needs,81.0,81.0,100.0,81.0,19.0,23.5,17.0,21.0,23.0,28.4,22.0,27.2,45.0,55.6
Amistad Academy District,2790013,2024,ELA,High Needs,458.0,456.0,99.6,456.0,177.0,38.8,131.0,28.7,99.0,21.7,49.0,10.7,148.0,32.5
Amistad Academy District,2790013,2024,Math,Non-High Needs,81.0,80.0,98.8,80.0,20.0,25.0,29.0,36.3,12.0,15.0,19.0,23.8,31.0,38.8
Amistad Academy District,2790013,2024,Math,High Needs,458.0,441.0,96.3,441.0,238.0,54.0,109.0,24.7,60.0,13.6,34.0,7.7,94.0,21.3
Andover School District,0010011,2024,ELA,Non-High Needs,57.0,57.0,100.0,57.0,,,13.0,22.8,18.0,31.6,,,,
Andover School District,0010011,2024,ELA,High Needs,35.0,35.0,100.0,35.0,,,11.0,31.4,12.0,34.3,,,,
Andover School District,0010011,2024,Math,Non-High Needs,57.0,57.0,100.0,57.0,,,12.0,21.1,20.0,35.1,,,,
Andover School District,0010011,2024,Math,High Needs,35.0,35.0,100.0,35.0,,,9.0,25.7,12.0,34.3,,,,
Ansonia School District,0020011,2024,ELA,Non-High Needs,299.0,298.0,99.7,298.0,102.0,34.2,79.0,26.5,79.0,26.5,38.0,12.8,117.0,39.3
Ansonia School District,0020011,2024,ELA,High Needs,832.0,825.0,99.2,825.0,471.0,57.1,184.0,22.3,126.0,15.3,44.0,5.3,170.0,20.6
Ansonia School District,0020011,2024,Math,Non-High Needs,299.0,298.0,99.7,298.0,109.0,36.6,95.0,31.9,57.0,19.1,37.0,12.4,94.0,31.5
Ansonia School District,0020011,2024,Math,High Needs,833.0,821.0,98.6,821.0,501.0,61.0,200.0,24.4,90.0,11.0,30.0,3.7,120.0,14.6
Area Cooperative Educational Services,2440014,2024,ELA,Non-High Needs,440.0,438.0,99.5,438.0,123.0,28.1,113.0,25.8,133.0,30.4,69.0,15.8,202.0,46.1
Area Cooperative Educational Services,2440014,2024,ELA,High Needs,623.0,603.0,96.8,602.0,335.0,55.6,147.0,24.4,102.0,16.9,18.0,3.0,120.0,19.9
Area Cooperative Educational Services,2440014,2024,Math,Non-High Needs,441.0,435.0,98.6,435.0,144.0,33.1,126.0,29.0,92.0,21.1,73.0,16.8,165.0,37.9
Area Cooperative Educational Services,2440014,2024,Math,High Needs,624.0,591.0,94.7,590.0,380.0,64.4,125.0,21.2,49.0,8.3,36.0,6.1,85.0,14.4
Ashford School District,0030011,2024,ELA,Non-High Needs,128.0,125.0,97.7,125.0,19.0,15.2,33.0,26.4,34.0,27.2,39.0,31.2,73.0,58.4
Ashford School District,0030011,2024,ELA,High Needs,103.0,101.0,98.1,101.0,40.0,39.6,20.0,19.8,28.0,27.7,13.0,12.9,41.0,40.6
Ashford School District,0030011,2024,Math,Non-High Needs,128.0,125.0,97.7,125.0,14.0,11.2,41.0,32.8,37.0,29.6,33.0,26.4,70.0,56.0
Ashford School District,0030011,2024,Math,High Needs,103.0,101.0,98.1,101.0,44.0,43.6,26.0,25.7,14.0,13.9,17.0,16.8,31.0,30.7
Avon School District,0040011,2024,ELA,Non-High Needs,1078.0,1078.0,100.0,1078.0,47.0,4.4,133.0,12.3,381.0,35.3,517.0,48.0,898.0,83.3
Avon School District,0040011,2024,ELA,High Needs,351.0,349.0,99.4,349.0,129.0,37.0,80.0,22.9,87.0,24.9,53.0,15.2,140.0,40.1
Avon School District,0040011,2024,Math,Non-High Needs,1078.0,1077.0,99.9,1077.0,45.0,4.2,210.0,19.5,300.0,27.9,522.0,48.5,822.0,76.3
Avon School District,0040011,2024,Math,High Needs,351.0,348.0,99.1,348.0,138.0,39.7,95.0,27.3,68.0,19.5,47.0,13.5,115.0,33.0
Barkhamsted School District,0050011,2024,ELA,Non-High Needs,56.0,56.0,100.0,56.0,,,18.0,32.1,19.0,33.9,,,,
Barkhamsted School District,0050011,2024,ELA,High Needs,59.0,58.0,98.3,58.0,,,16.0,27.6,12.0,20.7,,,,
Barkhamsted School District,0050011,2024,Math,Non-High Needs,56.0,56.0,100.0,56.0,,,,,17.0,30.4,26.0,46.4,43.0,76.8
Barkhamsted School District,0050011,2024,Math,High Needs,59.0,58.0,98.3,58.0,,,21.0,36.2,17.0,29.3,,,,
Berlin School District,0070011,2024,ELA,Non-High Needs,749.0,740.0,98.8,740.0,45.0,6.1,145.0,19.6,286.0,38.6,264.0,35.7,550.0,74.3
Berlin School District,0070011,2024,ELA,High Needs,418.0,408.0,97.6,408.0,126.0,30.9,112.0,27.5,121.0,29.7,49.0,12.0,170.0,41.7
Berlin School District,0070011,2024,Math,Non-High Needs,749.0,738.0,98.5,738.0,42.0,5.7,141.0,19.1,233.0,31.6,322.0,43.6,555.0,75.2
Berlin School District,0070011,2024,Math,High Needs,418.0,409.0,97.8,409.0,136.0,33.3,104.0,25.4,99.0,24.2,70.0,17.1,169.0,41.3
Bethany School District,0080011,2024,ELA,Non-High Needs,181.0,179.0,98.9,179.0,,,,,50.0,27.9,103.0,57.5,153.0,85.5
Bethany School District,0080011,2024,ELA,High Needs,74.0,72.0,97.3,72.0,,,,,20.0,27.8,20.0,27.8,40.0,55.6
Bethany School District,0080011,2024,Math,Non-High Needs,181.0,179.0,98.9,179.0,,,,,50.0,27.9,97.0,54.2,147.0,82.1
Bethany School District,0080011,2024,Math,High Needs,74.0,72.0,97.3,72.0,,,,,23.0,31.9,16.0,22.2,39.0,54.2
Bethel School District,0090011,2024,ELA,Non-High Needs,807.0,807.0,100.0,807.0,53.0,6.6,150.0,18.6,286.0,35.4,318.0,39.4,604.0,74.8
Bethel School District,0090011,2024,ELA,High Needs,634.0,625.0,98.6,625.0,210.0,33.6,185.0,29.6,155.0,24.8,75.0,12.0,230.0,36.8
Bethel School District,0090011,2024,Math,Non-High Needs,807.0,807.0,100.0,807.0,47.0,5.8,176.0,21.8,220.0,27.3,364.0,45.1,584.0,72.4
Bethel School District,0090011,2024,Math,High Needs,634.0,624.0,98.4,624.0,214.0,34.3,175.0,28.0,137.0,22.0,98.0,15.7,235.0,37.7
Bloomfield School District,0110011,2024,ELA,Non-High Needs,266.0,262.0,98.5,262.0,55.0,21.0,82.0,31.3,90.0,34.4,35.0,13.4,125.0,47.7
Bloomfield School District,0110011,2024,ELA,High Needs,450.0,446.0,99.1,446.0,219.0,49.1,123.0,27.6,78.0,17.5,26.0,5.8,104.0,23.3
Bloomfield School District,0110011,2024,Math,Non-High Needs,266.0,262.0,98.5,262.0,78.0,29.8,92.0,35.1,54.0,20.6,38.0,14.5,92.0,35.1
Bloomfield School District,0110011,2024,Math,High Needs,450.0,444.0,98.7,443.0,258.0,58.2,112.0,25.3,50.0,11.3,23.0,5.2,73.0,16.5
Bolton School District,0120011,2024,ELA,Non-High Needs,226.0,216.0,95.6,216.0,12.0,5.6,39.0,18.1,79.0,36.6,86.0,39.8,165.0,76.4
Bolton School District,0120011,2024,ELA,High Needs,97.0,92.0,94.8,92.0,39.0,42.4,27.0,29.3,19.0,20.7,7.0,7.6,26.0,28.3
Bolton School District,0120011,2024,Math,Non-High Needs,226.0,216.0,95.6,216.0,8.0,3.7,53.0,24.5,61.0,28.2,94.0,43.5,155.0,71.8
Bolton School District,0120011,2024,Math,High Needs,97.0,92.0,94.8,92.0,42.0,45.7,27.0,29.3,10.0,10.9,13.0,14.1,23.0,25.0
Booker T. Washington Academy District,2950013,2024,ELA,Non-High Needs,25.0,25.0,100.0,25.0,,,,,8.0,32.0,8.0,32.0,16.0,64.0
Booker T. Washington Academy District,2950013,2024,ELA,High Needs,223.0,223.0,100.0,223.0,,,71.0,31.8,51.0,22.9,,,,
Booker T. Washington Academy District,2950013,2024,Math,Non-High Needs,25.0,25.0,100.0,25.0,,,8.0,32.0,7.0,28.0,,,,
Booker T. Washington Academy District,2950013,2024,Math,High Needs,223.0,223.0,100.0,223.0,,,55.0,24.7,51.0,22.9,,,,
Bozrah School District,0130011,2024,ELA,Non-High Needs,49.0,49.0,100.0,49.0,,,,,22.0,44.9,16.0,32.7,38.0,77.6
Bozrah School District,0130011,2024,ELA,High Needs,49.0,49.0,100.0,49.0,18.0,36.7,,,9.0,18.4,,,,
Bozrah School District,0130011,2024,Math,Non-High Needs,49.0,49.0,100.0,49.0,,,,,19.0,38.8,18.0,36.7,37.0,75.5
Bozrah School District,0130011,2024,Math,High Needs,49.0,49.0,100.0,49.0,,,19.0,38.8,12.0,24.5,,,,
Branford School District,0140011,2024,ELA,Non-High Needs,594.0,592.0,99.7,592.0,43.0,7.3,122.0,20.6,222.0,37.5,205.0,34.6,427.0,72.1
Branford School District,0140011,2024,ELA,High Needs,541.0,536.0,99.1,535.0,180.0,33.6,161.0,30.1,110.0,20.6,84.0,15.7,194.0,36.3
Branford School District,0140011,2024,Math,Non-High Needs,595.0,590.0,99.2,590.0,37.0,6.3,146.0,24.7,194.0,32.9,213.0,36.1,407.0,69.0
Branford School District,0140011,2024,Math,High Needs,541.0,526.0,97.2,525.0,179.0,34.1,149.0,28.4,125.0,23.8,72.0,13.7,197.0,37.5
Brass City Charter School District,2900013,2024,ELA,Non-High Needs,58.0,58.0,100.0,58.0,8.0,13.8,16.0,27.6,19.0,32.8,15.0,25.9,34.0,58.6
Brass City Charter School District,2900013,2024,ELA,High Needs,152.0,152.0,100.0,152.0,53.0,34.9,39.0,25.7,40.0,26.3,20.0,13.2,60.0,39.5
Brass City Charter School District,2900013,2024,Math,Non-High Needs,58.0,58.0,100.0,58.0,18.0,31.0,15.0,25.9,12.0,20.7,13.0,22.4,25.0,43.1
Brass City Charter School District,2900013,2024,Math,High Needs,152.0,152.0,100.0,152.0,67.0,44.1,41.0,27.0,25.0,16.4,19.0,12.5,44.0,28.9
Bridgeport School District,0150011,2024,ELA,Non-High Needs,684.0,680.0,99.4,680.0,209.0,30.7,179.0,26.3,186.0,27.4,106.0,15.6,292.0,42.9
Bridgeport School District,0150011,2024,ELA,High Needs,7975.0,7906.0,99.1,7905.0,4910.0,62.1,1580.0,20.0,1113.0,14.1,302.0,3.8,1415.0,17.9
Bridgeport School District,0150011,2024,Math,Non-High Needs,684.0,679.0,99.3,679.0,273.0,40.2,211.0,31.1,124.0,18.3,71.0,10.5,195.0,28.7
Bridgeport School District,0150011,2024,Math,High Needs,7975.0,7884.0,98.9,7882.0,5334.0,67.7,1686.0,21.4,658.0,8.3,204.0,2.6,862.0,10.9
Bristol School District,0170011,2024,ELA,Non-High Needs,1178.0,1167.0,99.1,1150.0,114.0,9.9,249.0,21.7,447.0,38.9,340.0,29.6,787.0,68.4
Bristol School District,0170011,2024,ELA,High Needs,2199.0,2183.0,99.3,2160.0,780.0,36.1,538.0,24.9,555.0,25.7,287.0,13.3,842.0,39.0
Bristol School District,0170011,2024,Math,Non-High Needs,1178.0,1164.0,98.8,1163.0,151.0,13.0,281.0,24.2,351.0,30.2,380.0,32.7,731.0,62.9
Bristol School District,0170011,2024,Math,High Needs,2198.0,2169.0,98.7,2156.0,918.0,42.6,582.0,27.0,381.0,17.7,275.0,12.8,656.0,30.4
Brookfield School District,0180011,2024,ELA,Non-High Needs,762.0,738.0,96.9,738.0,56.0,7.6,135.0,18.3,274.0,37.1,273.0,37.0,547.0,74.1
Brookfield School District,0180011,2024,ELA,High Needs,377.0,356.0,94.4,355.0,125.0,35.2,93.0,26.2,86.0,24.2,51.0,14.4,137.0,38.6
Brookfield School District,0180011,2024,Math,Non-High Needs,762.0,737.0,96.7,737.0,48.0,6.5,196.0,26.6,241.0,32.7,252.0,34.2,493.0,66.9
Brookfield School District,0180011,2024,Math,High Needs,377.0,353.0,93.6,353.0,133.0,37.7,94.0,26.6,85.0,24.1,41.0,11.6,126.0,35.7
Brooklyn School District,0190011,2024,ELA,Non-High Needs,302.0,301.0,99.7,301.0,33.0,11.0,59.0,19.6,121.0,40.2,88.0,29.2,209.0,69.4
Brooklyn School District,0190011,2024,ELA,High Needs,257.0,256.0,99.6,256.0,77.0,30.1,76.0,29.7,67.0,26.2,36.0,14.1,103.0,40.2
Brooklyn School District,0190011,2024,Math,Non-High Needs,302.0,301.0,99.7,301.0,40.0,13.3,89.0,29.6,101.0,33.6,71.0,23.6,172.0,57.1
Brooklyn School District,0190011,2024,Math,High Needs,257.0,255.0,99.2,255.0,99.0,38.8,76.0,29.8,60.0,23.5,20.0,7.8,80.0,31.4
Canaan School District,0210011,2024,ELA,Non-High Needs,27.0,27.0,100.0,27.0,,,,,11.0,40.7,9.0,33.3,20.0,74.1
Canaan School District,0210011,2024,ELA,High Needs,24.0,24.0,100.0,24.0,,,,,6.0,25.0,9.0,37.5,15.0,62.5
Canaan School District,0210011,2024,Math,Non-High Needs,27.0,27.0,100.0,27.0,,,9.0,33.3,,,8.0,29.6,,
Canaan School District,0210011,2024,Math,High Needs,24.0,24.0,100.0,24.0,,,,,7.0,29.2,6.0,25.0,13.0,54.2
Canterbury School District,0220011,2024,ELA,Non-High Needs,167.0,164.0,98.2,164.0,20.0,12.2,40.0,24.4,63.0,38.4,41.0,25.0,104.0,63.4
Canterbury School District,0220011,2024,ELA,High Needs,122.0,121.0,99.2,121.0,39.0,32.2,34.0,28.1,41.0,33.9,7.0,5.8,48.0,39.7
Canterbury School District,0220011,2024,Math,Non-High Needs,167.0,162.0,97.0,162.0,20.0,12.3,41.0,25.3,59.0,36.4,42.0,25.9,101.0,62.3
